dataset,seed,role,arm,level_mse,daily_mse,remainder_mse,mse
electricity,41000,selected,HEAD_ONLY,0.08048496527738795,0.07491916381380845,0.14304837913111432,0.29845250822231073
electricity,41000,selected,LORA_HEAD,0.07533485385145534,0.06837115625693536,0.13457722521554003,0.27828323532393073
electricity,41000,matched_old_epoch,HEAD_ONLY,0.0915691974432338,0.09240700765473094,0.1679636706219501,0.35193987571991486
electricity,41000,matched_old_epoch,LORA_HEAD,0.0869732674645771,0.08248040177847364,0.15228903298631363,0.3217427022293644
electricity,41001,selected,HEAD_ONLY,0.0795316196204624,0.07355415096420366,0.14292270307245875,0.2960084736571248
electricity,41001,selected,LORA_HEAD,0.07476550081324568,0.06974305268853223,0.13722832787839162,0.2817368813801695
electricity,41001,matched_old_epoch,HEAD_ONLY,0.0912855184563961,0.08659426275034145,0.16047958200155202,0.3383593632082895
electricity,41001,matched_old_epoch,LORA_HEAD,0.08180313714102389,0.07643840486383026,0.14472884918683795,0.3029703911916921
traffic,41000,selected,HEAD_ONLY,0.03917747870154789,0.17195886446413683,0.22285226393523724,0.43398860710092196
traffic,41000,selected,LORA_HEAD,0.03620933389932562,0.13924960434194103,0.21044951938504003,0.38590845762630666
traffic,41000,matched_old_epoch,HEAD_ONLY,0.04548755636332639,0.2321476074889213,0.284068997352906,0.5617041612051537
traffic,41000,matched_old_epoch,LORA_HEAD,0.044680884465600375,0.20526911916831134,0.25927110352550164,0.5092211071594134
traffic,41001,selected,HEAD_ONLY,0.04087623270069182,0.1738382955729706,0.22504984916999737,0.4397643774436598
traffic,41001,selected,LORA_HEAD,0.03597826209147606,0.14095072356507957,0.21025796608488484,0.38718695174144047
traffic,41001,matched_old_epoch,HEAD_ONLY,0.046075246675085085,0.2365452825283507,0.2636468708267531,0.5462674000301888
traffic,41001,matched_old_epoch,LORA_HEAD,0.040194401037559065,0.20722173887122594,0.25749129203988563,0.5049074319486706
