dataset,seed,role,channel,head_mse,lora_head_mse,lora_added_gain_percent
electricity,41000,selected,column_000,0.3328198038948466,0.35649887724494755,-7.1146828022235935
electricity,41000,selected,column_001,0.17222726501419378,0.17269570865865677,-0.27199157138353786
electricity,41000,selected,column_002,0.0005744319336694376,0.0006130345772833476,-6.720142344336354
electricity,41000,selected,column_003,0.16584921571528488,0.14914186171071714,10.073821532716462
electricity,41000,selected,column_004,0.2735916194838222,0.2566536819647847,6.190956269418572
electricity,41000,selected,column_005,0.13082186579074423,0.12550821149318994,4.06174783201283
electricity,41000,selected,column_006,0.7195569440053241,0.7672357649926765,-6.626135899954521
electricity,41000,selected,column_007,0.20741012136548445,0.19679554611397845,5.117674673552547
electricity,41000,selected,column_008,0.23561134201091935,0.23408886734666037,0.6461805494017424
electricity,41000,selected,column_009,0.6163790690439981,0.6098850171429506,1.0535808607387842
electricity,41000,selected,column_010,0.16749474558022082,0.16482878911437374,1.5916657305349515
electricity,41000,selected,column_011,0.5336499323418691,0.37045969724348216,30.58001607575269
electricity,41000,selected,column_012,0.1481974536861814,0.1230431692647365,16.97349299584517
electricity,41000,selected,column_013,0.20818571116920623,0.1939093468842405,6.857513997856649
electricity,41000,selected,column_014,0.14332459386113025,0.13355839613246814,6.814041795314452
electricity,41000,selected,column_015,0.2785248533837463,0.27149986307448404,2.5222130893946964
electricity,41000,selected,column_016,0.24261018068800655,0.23335942102343915,3.8130137978272858
electricity,41000,selected,column_017,0.41135883472675216,0.4166510902778844,-1.2865301786085706
electricity,41000,selected,column_018,0.11716204501226794,0.10573725108315202,9.75127561824279
electricity,41000,selected,column_019,0.6335011249878257,0.6092497081154142,3.8281568754716186
electricity,41000,selected,column_020,0.3322945276922467,0.32882030067085805,1.0455264025913502
electricity,41000,selected,column_021,0.19183393952780847,0.19577423529123744,-2.054013889892398
electricity,41000,selected,column_022,0.17615650974724037,0.16033723391835336,8.9802391359737
electricity,41000,selected,column_023,0.17811213035097934,0.16767195787306302,5.8615729638084755
electricity,41000,selected,column_024,0.22180949143986287,0.20876126714965945,5.882626665568573
electricity,41000,selected,column_025,0.6477634503946391,0.4930851267961662,23.87882852980324
electricity,41000,selected,column_026,0.1503271222633393,0.13928147827390522,7.347738600413438
electricity,41000,selected,column_027,0.34125461933174284,0.30177600230462576,11.568668903127389
electricity,41000,selected,column_028,0.3747313636156615,0.35375846427805546,5.596782488459288
electricity,41000,selected,column_029,0.6090140552125329,0.5221404048248761,14.26463800697338
electricity,41000,selected,column_030,0.3415821941900989,0.33659160603521954,1.4610211655534846
electricity,41000,selected,column_031,0.24674970565229598,0.20565214949024208,16.655564412289905
electricity,41000,matched_old_epoch,column_000,0.3435846663082122,0.34241475967500784,0.3405002457690917
electricity,41000,matched_old_epoch,column_001,0.18952428316629902,0.1760560271194938,7.106348496243842
electricity,41000,matched_old_epoch,column_002,0.0005897901648669593,0.0005832188664918937,1.1141756452564577
electricity,41000,matched_old_epoch,column_003,0.2031880143430313,0.17632044053735652,13.223011156709132
electricity,41000,matched_old_epoch,column_004,0.2804556708993702,0.26863100230979553,4.2162344414912685
electricity,41000,matched_old_epoch,column_005,0.16902082440572744,0.1379066740458373,18.408471541472256
electricity,41000,matched_old_epoch,column_006,0.7514779393071511,0.7617247671232342,-1.363556703411745
electricity,41000,matched_old_epoch,column_007,0.2629529181994491,0.22064372910044186,16.090024552196006
electricity,41000,matched_old_epoch,column_008,0.27288301825372613,0.2555219597594817,6.362088269670973
electricity,41000,matched_old_epoch,column_009,0.6822737068277118,0.6645329303914177,2.600243312728749
