dataset,arm,seed_mean_primary,F0_primary,gain_vs_F0_percent,source
ettm2,lora,0.27190112231185665,0.27264369449671844,0.27235993344079595,results/block_shape_pilot/evaluation.json
ettm2,split,0.2728573918040087,0.27264369449671844,-0.07837969907381576,results/block_shape_pilot/evaluation.json
ettm2,center,0.2723562745889383,0.27264369449671844,0.10541960572779695,results/block_shape_pilot/evaluation.json
ettm2,anchor,0.27287549351375834,0.27264369449671844,-0.0850190272941346,results/block_shape_pilot/evaluation.json
ettm2,pooled,0.27295075268959124,0.27264369449671844,-0.11262251761941841,results/block_shape_pilot/evaluation.json
ettm2,block,0.27299562261376864,0.27264369449671844,-0.12907986656351594,results/block_shape_pilot/evaluation.json
electricity,lora,0.176574632233273,0.1771234212305578,0.3098342350616962,results/block_shape_pilot/evaluation.json
electricity,split,0.17704738689699795,0.1771234212305578,0.04292731759109188,results/block_shape_pilot/evaluation.json
electricity,center,0.17705877874897225,0.1771234212305578,0.03649572774534945,results/block_shape_pilot/evaluation.json
electricity,anchor,0.17704758069831808,0.1771234212305578,0.042817901615054166,results/block_shape_pilot/evaluation.json
electricity,pooled,0.17704725947183897,0.1771234212305578,0.04299925904191455,results/block_shape_pilot/evaluation.json
electricity,block,0.17705007202772172,0.1771234212305578,0.04141135165891161,results/block_shape_pilot/evaluation.json
