arm,seed,policy,condition,score,revision
A3,73101,selected,d12_c2,0.11493072867582137,
A3,73101,selected,d12_c3,0.4647739040900636,
A3,73101,selected,all24,0.6680112651186946,
A3,73101,fixed512,PRIMARY,0.3294897874067431,
A3,73101,fixed512,d0_c0,0.4372727390740325,
A3,73101,fixed512,d0_c1,0.2802267099751977,
A3,73101,fixed512,d0_c2,0.010981676077776448,
A3,73101,fixed512,d0_c3,0.3639179964579624,
A3,73101,fixed512,d6_c0,0.4522692066742538,
A3,73101,fixed512,d6_c1,0.29095656672429665,
A3,73101,fixed512,d6_c2,0.015552786810026285,
A3,73101,fixed512,d6_c3,0.406167063837358,
A3,73101,fixed512,d24_c0,0.641106295271992,
A3,73101,fixed512,d24_c1,0.3078468303685991,
A3,73101,fixed512,d24_c2,0.04749026342000935,
A3,73101,fixed512,d24_c3,0.4745292861474095,
A3,73101,fixed512,d12_c0,0.4963622856351713,
A3,73101,fixed512,d12_c1,0.2971336635507022,
A3,73101,fixed512,d12_c2,0.022060320430240275,
A3,73101,fixed512,d12_c3,0.43011226357942195,
A3,73101,fixed512,all24,0.43418698948103246,
A0,73102,selected,PRIMARY,0.2671047854492024,
A0,73102,selected,d0_c0,0.3796480500918305,
A0,73102,selected,d0_c1,0.2688255893626483,
A0,73102,selected,d0_c2,0.009261136299949988,
A0,73102,selected,d0_c3,0.3466646673997102,
A0,73102,selected,d6_c0,0.3735773445792091,
A0,73102,selected,d6_c1,0.29401161926915637,
A0,73102,selected,d6_c2,0.009731507730490271,
A0,73102,selected,d6_c3,0.3769632431522123,
A0,73102,selected,d24_c0,0.3903507151925729,
A0,73102,selected,d24_c1,0.3165990831821712,
A0,73102,selected,d24_c2,0.00876420533445563,
A0,73102,selected,d24_c3,0.36684056515335156,
A0,73102,selected,d12_c0,0.381518342752523,
A0,73102,selected,d12_c1,0.2895097273612661,
A0,73102,selected,d12_c2,0.008614592989374587,
A0,73102,selected,d12_c3,0.38264908659192504,
A0,73102,selected,all24,0.26560366885902115,
A0,73102,fixed512,PRIMARY,0.2858558195856667,
A0,73102,fixed512,d0_c0,0.43854836505554984,
A0,73102,fixed512,d0_c1,0.3038960435675654,
A0,73102,fixed512,d0_c2,0.009334045024228646,
A0,73102,fixed512,d0_c3,0.32884349913692057,
A0,73102,fixed512,d6_c0,0.4338424876663834,
A0,73102,fixed512,d6_c1,0.33506260813008704,
A0,73102,fixed512,d6_c2,0.00909282449864679,
A0,73102,fixed512,d6_c3,0.34082641731608365,
A0,73102,fixed512,d24_c0,0.4879361120612609,
A0,73102,fixed512,d24_c1,0.338062992460611,
A0,73102,fixed512,d24_c2,0.00932570633041533,
A0,73102,fixed512,d24_c3,0.3326974082218454,
A0,73102,fixed512,d12_c0,0.4587813477726464,
A0,73102,fixed512,d12_c1,0.32932255426507917,
A0,73102,fixed512,d12_c2,0.009112339767465302,
A0,73102,fixed512,d12_c3,0.3504026287773073,
A0,73102,fixed512,all24,0.2836844880002766,
A1,73102,selected,PRIMARY,0.39286723979658833,
A1,73102,selected,d0_c0,0.3504009073836706,
A1,73102,selected,d0_c1,0.2252368775752988,
A1,73102,selected,d0_c2,0.004708168648916376,
A1,73102,selected,d0_c3,0.3325943359017374,
A1,73102,selected,d6_c0,0.4014722116950244,
A1,73102,selected,d6_c1,0.2513385024331369,
A1,73102,selected,d6_c2,0.0699392869852466,
A1,73102,selected,d6_c3,0.44127048450871453,
A1,73102,selected,d24_c0,0.7948993878081223,
A1,73102,selected,d24_c1,0.43940879398687777,
A1,73102,selected,d24_c2,0.15523757237246952,
A1,73102,selected,d24_c3,0.5893716785831145,
A1,73102,selected,d12_c0,0.5165441460401403,
A1,73102,selected,d12_c1,0.31519709037596155,
A1,73102,selected,d12_c2,0.12398737573010475,
A1,73102,selected,d12_c3,0.4813021593430648,
A1,73102,selected,all24,0.6757399113274596,
A1,73102,fixed512,PRIMARY,0.31849378741870954,
A1,73102,fixed512,d0_c0,0.40793219375910283,
A1,73102,fixed512,d0_c1,0.2705554596966269,
A1,73102,fixed512,d0_c2,0.009982248583761545,
A1,73102,fixed512,d0_c3,0.3486168782385903,
A1,73102,fixed512,d6_c0,0.4227511457120291,
A1,73102,fixed512,d6_c1,0.2760289598679202,
A1,73102,fixed512,d6_c2,0.01854028832614101,
A1,73102,fixed512,d6_c3,0.39065478639692003,
A1,73102,fixed512,d24_c0,0.6159232618979745,
A1,73102,fixed512,d24_c1,0.29950034572303974,
A1,73102,fixed512,d24_c2,0.048300464361661286,
A1,73102,fixed512,d24_c3,0.47625104706399024,
A1,73102,fixed512,d12_c0,0.46435943274595026,
A1,73102,fixed512,d12_c1,0.2854245380809048,
A1,73102,fixed512,d12_c2,0.026391201182796396,
A1,73102,fixed512,d12_c3,0.4129174409811951,
A1,73102,fixed512,all24,0.43679911496134244,
A2,73102,selected,PRIMARY,0.4076827640686488,
A2,73102,selected,d0_c0,0.3489903755442837,
A2,73102,selected,d0_c1,0.2266813689942027,
A2,73102,selected,d0_c2,0.00465457455465278,
A2,73102,selected,d0_c3,0.3347475517832066,
A2,73102,selected,d6_c0,0.41109882037859913,
A2,73102,selected,d6_c1,0.2552332070014475,
A2,73102,selected,d6_c2,0.08143590424997423,
A2,73102,selected,d6_c3,0.4498146748559703,
A2,73102,selected,d24_c0,0.8320951343472176,
A2,73102,selected,d24_c1,0.46373584259944367,
A2,73102,selected,d24_c2,0.1657556146175218,
A2,73102,selected,d24_c3,0.6022929144990167,
A2,73102,selected,d12_c0,0.5494750340851816,
A2,73102,selected,d12_c1,0.3288835191912796,
A2,73102,selected,d12_c2,0.13722379896738227,
A2,73102,selected,d12_c3,0.49195874902186737,
A2,73102,selected,all24,0.6984679048812035,
A2,73102,fixed512,PRIMARY,0.31800061105243016,
A2,73102,fixed512,d0_c0,0.409565473003958,
A2,73102,fixed512,d0_c1,0.2737829255546104,
A2,73102,fixed512,d0_c2,0.010472207876060813,
A2,73102,fixed512,d0_c3,0.352937349136091,
A2,73102,fixed512,d6_c0,0.4243450857233697,
A2,73102,fixed512,d6_c1,0.27709523509745876,
A2,73102,fixed512,d6_c2,0.01664972930345426,
A2,73102,fixed512,d6_c3,0.39293514304976723,
A2,73102,fixed512,d24_c0,0.6198053470531999,
A2,73102,fixed512,d24_c1,0.29760330695636106,
A2,73102,fixed512,d24_c2,0.04311645153954713,
A2,73102,fixed512,d24_c3,0.47245458969628323,
A2,73102,fixed512,d12_c0,0.463111155678708,
A2,73102,fixed512,d12_c1,0.28448069107365603,
A2,73102,fixed512,d12_c2,0.023478134145349865,
A2,73102,fixed512,d12_c3,0.4143149854004563,
A2,73102,fixed512,all24,0.43005129044333934,
A3,73102,selected,PRIMARY,0.4082364393949344,
A3,73102,selected,d0_c0,0.3489159174406899,
A3,73102,selected,d0_c1,0.2267967550905843,
A3,73102,selected,d0_c2,0.004649180503615603,
A3,73102,selected,d0_c3,0.3348795841970147,
A3,73102,selected,d6_c0,0.4120637364876946,
A3,73102,selected,d6_c1,0.2557680604993532,
A3,73102,selected,d6_c2,0.08171552656317416,
A3,73102,selected,d6_c3,0.45060112272541153,
A3,73102,selected,d24_c0,0.832819723248867,
A3,73102,selected,d24_c1,0.4649306351529887,
A3,73102,selected,d24_c2,0.1652899514020294,
A3,73102,selected,d24_c3,0.6027027590799566,
A3,73102,selected,d12_c0,0.5511770045440059,
A3,73102,selected,d12_c1,0.3301364730861278,
A3,73102,selected,d12_c2,0.13740828196459615,
A3,73102,selected,d12_c3,0.49270186892161266,
A3,73102,selected,all24,0.698655388800596,
A3,73102,fixed512,PRIMARY,0.32064704450315173,
A3,73102,fixed512,d0_c0,0.41404131577213255,
A3,73102,fixed512,d0_c1,0.27497770887530887,
A3,73102,fixed512,d0_c2,0.010515437509660426,
A3,73102,fixed512,d0_c3,0.3536019873945702,
A3,73102,fixed512,d6_c0,0.42982696103734586,
A3,73102,fixed512,d6_c1,0.27882400970448773,
A3,73102,fixed512,d6_c2,0.017096260710795567,
A3,73102,fixed512,d6_c3,0.39454668583537117,
A3,73102,fixed512,d24_c0,0.6260961174966746,
A3,73102,fixed512,d24_c1,0.29975779038902917,
A3,73102,fixed512,d24_c2,0.04351492971919896,
A3,73102,fixed512,d24_c3,0.4755136011323112,
A3,73102,fixed512,d12_c0,0.469747384869795,
A3,73102,fixed512,d12_c1,0.28606474512301777,
A3,73102,fixed512,d12_c2,0.024217477639336186,
A3,73102,fixed512,d12_c3,0.41648777766591333,
A3,73102,fixed512,all24,0.4314388026345302,
