arm,updates,clip_fraction,gradnorm_median,gradnorm_max,contaminated_updates,minimum_boundary_free_MiB,mean_update_seconds,extra_theta_nonzero_fraction,extra_theta_mean_norm,extra_eta_nonzero_fraction,extra_eta_mean_norm
A0,2048,0.3701171875,0.6036376953125,65.28498840332031,0,7912,0.09705166617298744,,,,
A1,2048,0.4873046875,0.9389788508415222,64.38005065917969,0,7884,0.09738639410046801,,,,
A2,2048,0.50146484375,1.0135672092437744,73.08592987060547,0,7909,0.09867458940453844,0.625,0.6646961869452284,,
A3,2048,0.50146484375,1.007662832736969,73.22776794433594,0,7912,0.09922965311611165,0.625,0.6685204349754628,0.625,0.13136224303000577
