id,arm,seed,updates,optimizer_seconds,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes,status
A0_73100_1e-04,A0,73100,512,49.445210266974755,87.8638808040123,1179648,780150784,817889280,COMPLETE
A0_73100_3e-05,A0,73100,512,49.608896710007684,78.20353123699897,1179648,780150784,822083584,COMPLETE
A1_73100_1e-04,A1,73100,512,49.724153567658504,88.01067439100007,1179648,780150784,822083584,COMPLETE
A1_73100_3e-05,A1,73100,512,50.281924476323184,79.15407763599069,1179648,780150784,822083584,COMPLETE
A2_73100_1e-04,A2,73100,512,50.467878070950974,88.82529689901276,1179684,784345600,822083584,COMPLETE
A2_73100_3e-05,A2,73100,512,50.41160920463153,79.31735977099743,1179684,784345600,822083584,COMPLETE
A3_73100_1e-04,A3,73100,512,50.79011174282641,89.26502258199616,1179688,784358400,822083584,COMPLETE
A3_73100_3e-05,A3,73100,512,50.75638206771691,79.61784882299253,1179688,784358400,822083584,COMPLETE
A0_73101_1e-04,A0,73101,512,49.91515366567182,88.45626481500221,1179648,780150784,822083584,COMPLETE
A1_73101_3e-05,A1,73101,512,49.692172604613006,88.01366084101028,1179648,780150784,822083584,COMPLETE
A2_73101_3e-05,A2,73101,512,50.640311405732064,89.35606384198763,1179684,784345600,822083584,COMPLETE
A3_73101_3e-05,A3,73101,512,50.81291088851867,89.4925707669754,1179688,784358400,822083584,COMPLETE
A0_73102_1e-04,A0,73102,512,49.79255167962401,88.24647166900104,1179648,780150784,822083584,COMPLETE
A1_73102_3e-05,A1,73102,512,49.74908446916379,88.4249490959919,1179648,780150784,822083584,COMPLETE
A2_73102_3e-05,A2,73102,512,50.56576041918015,89.05646149400854,1179684,784345600,822083584,COMPLETE
A3_73102_3e-05,A3,73102,512,50.86292488273466,89.51629986800253,1179688,784358400,822083584,COMPLETE
