panel,kind,condition,seed,difference,gain_pct,signed_mean_share_pct
electricity,shape,PAIRED_SHIFT8_D32,81551,0.00016022520354699038,0.0782413356774926,43.58203698283276
electricity,shape,PAIRED_SHIFT8_D32,81552,0.0002535050716125254,0.1236873641923695,68.95461613885573
electricity,shape,PAIRED_SHIFT8_D32,81553,-4.608980986849667e-05,-0.02247593275113422,-12.5366531216885
electricity,shape,PULSE8_D32,81551,-0.00036420428224748875,-0.012148217440307696,14.022853596770114
electricity,shape,PULSE8_D32,81552,-0.0015724359637904668,-0.052579252688681084,60.543053405248266
electricity,shape,PULSE8_D32,81553,-0.0006605792124278731,-0.021863141493225487,25.434092997981605
electricity,shape,RAMP8_D32,81551,0.0012898283675408524,0.24329591730340516,26.53898364804813
electricity,shape,RAMP8_D32,81552,0.00655624170263335,1.5216094007824923,134.89856148114742
electricity,shape,RAMP8_D32,81553,-0.002985942852620731,-0.6051589778282987,-61.43754512919557
electricity,shape,STEP12_D17,81551,-0.0003881409407511077,-0.1306919161151203,-4.336995270789508
electricity,shape,STEP12_D17,81552,0.0098551901603005,3.249016080405603,110.1195690288247
electricity,shape,STEP12_D17,81553,-0.0005175135037668304,-0.1852567411952203,-5.782573758035203
electricity,shape,STEP12_D63,81551,0.0008377975866439543,0.3783453065871953,-118.48855705360721
electricity,shape,STEP12_D63,81552,-0.00200319724275101,-0.9221935228783757,283.30942290981176
electricity,shape,STEP12_D63,81553,0.00045832919506252337,0.2034230544359046,-64.82086585620455
electricity,shape,STEP6_D17,81551,-0.0002509240155202242,-0.1049803415509239,-20.87445914050973
electricity,shape,STEP6_D17,81552,0.001628090035328085,0.6937661402758535,135.4413958706474
electricity,shape,STEP6_D17,81553,-0.0001751036629764357,-0.07467651289884326,-14.56693673013769
electricity,shape,STEP6_D63,81551,0.00025337650271594627,0.1285085977533037,-155.62899999859815
electricity,shape,STEP6_D63,81552,-0.0008120937264444813,-0.41780988072802017,498.8044794878909
electricity,shape,STEP6_D63,81553,0.00039590919777050105,0.20136503143442552,-243.17547948929268
electricity,shape,STEP8_D31,81551,3.730277230073029e-05,0.01794301248507491,-20.102851982612975
electricity,shape,STEP8_D31,81552,1.8017289867522543e-05,0.00871266776360179,-9.709704909185726
electricity,shape,STEP8_D31,81553,-0.0002408796650195974,-0.11555243070070348,129.8125568917987
electricity,shape,STEP8_D33,81551,1.1379956469969904e-06,0.0005490566060116058,0.15588588343041118
electricity,shape,STEP8_D33,81552,0.0007301985305497112,0.35102560568214797,100.0246734815769
electricity,shape,STEP8_D33,81553,-1.3181166047956738e-06,-0.0006418271327793762,-0.18055936500731729
electricity,standard,BURST16,81551,0.00013513241149678022,0.07600871960856809,-342.30534637753686
electricity,standard,BURST16,81552,-8.348267309729086e-05,-0.04744102122875056,211.47084562885723
electricity,standard,BURST16,81553,-9.112689320493589e-05,-0.05008218595813869,230.83450074867957
electricity,standard,BURST4,81551,1.5148725154516116e-05,0.008907132284868103,-8.393214512870612
electricity,standard,BURST4,81552,-0.00014283965141606195,-0.08456257773797257,79.14090611917008
electricity,standard,BURST4,81553,-5.2796837172669215e-05,-0.03084055332970705,29.252308393700513
electricity,standard,BURST8,81551,3.934838361972384e-05,0.021908151265927257,-17.2530082102028
electricity,standard,BURST8,81552,-0.00011069004782712296,-0.06216478995154045,48.53404710103049
electricity,standard,BURST8,81553,-0.00015672513516069392,-0.08609448744596702,68.71896110917233
electricity,standard,FAULT,81551,4.949600738577073e-05,0.02863653532678185,-39.59043624922115
electricity,standard,FAULT,81552,-9.624783988866696e-05,-0.05623696414268879,76.9858857410177
electricity,standard,FAULT,81553,-7.826827860220545e-05,-0.04480391212967548,62.60455050820345
electricity,standard,POINT16,81551,4.646814341167825e-05,0.027167107886355967,-68.24877423987348
electricity,standard,POINT16,81552,-6.9990353660939e-05,-0.04144519563313101,102.79635671378783
electricity,standard,POINT16,81553,-4.456420438487903e-05,-0.0258896527789554,65.45241752608561
electricity,standard,POINT4,81551,2.5846907382479483e-05,0.015349656669483434,-21.925092980174142
electricity,standard,POINT4,81552,-7.862885922090945e-05,-0.047118233656966164,66.69831031746767
electricity,standard,POINT4,81553,-6.510538120892202e-05,-0.038347199358612714,55.22678266270646
electricity,standard,POINT8,81551,3.503147324944337e-05,0.020588072938994825,-30.169584037886406
electricity,standard,POINT8,81552,-9.185545410967659e-05,-0.05461572121011138,79.10717377962798
electricity,standard,POINT8,81553,-5.9291220481129324e-05,-0.034663463174056566,51.06241025825842
electricity,standard,REFERENCE,81551,1.961588688799738e-05,0.011707885484744194,-13.001693025349846
electricity,standard,REFERENCE,81552,-9.293002763604831e-05,-0.05592746225216545,61.595363954738325
electricity,standard,REFERENCE,81553,-7.755764840857361e-05,-0.045951722166874535,51.40632907061153
electricity,standard,SHIFT4,81551,-1.144234776992915e-05,-0.006038060372442974,5.678753558294422
electricity,standard,SHIFT4,81552,-4.909099689238111e-05,-0.026007646538463696,24.363502918121483
electricity,standard,SHIFT4,81553,-0.000140960656661561,-0.0741014822856151,69.95774352358409
electricity,standard,SHIFT8,81551,0.00014621137027516392,0.07266070582712875,31.330610668482645
electricity,standard,SHIFT8,81552,0.00042406542479528006,0.20973234611193636,90.87001029551584
electricity,standard,SHIFT8,81553,-0.00010360421143565786,-0.0519957256862277,-22.200620963998514
electricity,standard,SHIFT_POINT,81551,-0.00016138117596459412,-0.0829034834472961,57.67052085957602
electricity,standard,SHIFT_POINT,81552,-1.4768176239859273e-05,-0.007683666673353944,5.277495413006245
electricity,standard,SHIFT_POINT,81553,-0.00010368369518131031,-0.053437969713821205,37.05198372741773
electricity_transfer,shape,PAIRED_SHIFT8_D32,81551,0.0006179823504668547,0.17037437474893602,23.735588528615267
electricity_transfer,shape,PAIRED_SHIFT8_D32,81552,0.0022152664793687877,0.6010033985799521,85.08439374653608
electricity_transfer,shape,PAIRED_SHIFT8_D32,81553,-0.0002296380125945844,-0.06602243202543262,-8.819982275151345
electricity_transfer,shape,PULSE8_D32,81551,0.0008119030026822738,0.011500055988821294,-12.135448019466724
electricity_transfer,shape,PULSE8_D32,81552,-0.005745209130945417,-0.08218292378664199,85.87317270562905
electricity_transfer,shape,PULSE8_D32,81553,-0.0017570360937947753,-0.024601173561358478,26.262275313837666
electricity_transfer,shape,RAMP8_D32,81551,0.001674633145608504,0.1727064132854359,43.999257718285
electricity_transfer,shape,RAMP8_D32,81552,0.009383818720165846,1.148375825486749,246.5501529890104
electricity_transfer,shape,RAMP8_D32,81553,-0.007252403235748104,-0.8429740866032344,-190.54941070729544
electricity_transfer,shape,STEP12_D17,81551,-0.0012626475066706113,-0.23097076804203112,-4.443110594659616
electricity_transfer,shape,STEP12_D17,81552,0.03167532192964725,5.310294554818329,111.4617957199863
electricity_transfer,shape,STEP12_D17,81553,-0.001994576791370363,-0.41401408313726795,-7.01868512532668
electricity_transfer,shape,STEP12_D63,81551,0.0026328485701984125,0.6365892975696648,-111.80428238346155
electricity_transfer,shape,STEP12_D63,81552,-0.006479516615697142,-1.657269769806135,275.15357837505275
electricity_transfer,shape,STEP12_D63,81553,0.0014917953035331036,0.33447261295726266,-63.349295991591184
electricity_transfer,shape,STEP6_D17,81551,-0.0004795313611169186,-0.1196611418867897,-5.588762508747641
electricity_transfer,shape,STEP6_D17,81552,0.0090424148709081,2.216004646283814,105.38603586085738
electricity_transfer,shape,STEP6_D17,81553,1.7394510009204902e-05,0.004503501750124564,0.20272664789024597
electricity_transfer,shape,STEP6_D63,81551,0.0017804541793313552,0.5057433922232515,1118.5159446974674
electricity_transfer,shape,STEP6_D63,81552,-0.0033497832916439515,-0.9921355414367334,-2104.3990159814284
electricity_transfer,shape,STEP6_D63,81553,0.0017285091568861163,0.4845521418955398,1085.8830712839615
electricity_transfer,shape,STEP8_D31,81551,4.77543877250941e-05,0.01301678209556645,11.735962380845647
electricity_transfer,shape,STEP8_D31,81552,0.001298006126378461,0.3505860226637434,318.99374685689753
electricity_transfer,shape,STEP8_D31,81553,-0.0009388540655703323,-0.2655107615961002,-230.72970923774312
electricity_transfer,shape,STEP8_D33,81551,2.4704412717809634e-05,0.006605620091364536,0.4818482404431395
electricity_transfer,shape,STEP8_D33,81552,0.004697330555216861,1.211596480182466,91.6192782506153
electricity_transfer,shape,STEP8_D33,81553,0.00040497612067900176,0.1154997538567485,7.898873508941562
electricity_transfer,standard,BURST16,81551,9.28519419130607e-05,0.0320149562471258,-8.032579688980858
