panel,kind,condition,origins,channels,seeds,C3,MAG,gain_pct
electricity,shape,PAIRED_SHIFT8_D32,64,4,3,0.20493419528273626,0.20481164846097258,0.05979813256377348
electricity,shape,PULSE8_D32,64,4,3,3.0033453833773063,3.004211123196795,-0.02882584947706122
electricity,shape,RAMP8_D32,64,4,3,0.4848126867766813,0.48319264437083015,0.334158418300096
electricity,shape,STEP12_D17,64,4,3,0.2932223505117901,0.29023917193986254,1.0173776203351086
electricity,shape,STEP12_D63,64,4,3,0.22132219668924544,0.22155788684292696,-0.10649187348001933
electricity,shape,STEP6_D17,64,4,3,0.23605903374839385,0.2356583462961167,0.16974035939849647
electricity,shape,STEP6_D63,64,4,3,0.19604961762979942,0.19610388697178538,-0.02768143220176442
electricity,shape,STEP8_D31,64,4,3,0.20771639665978858,0.2077782498607391,-0.029777717091711054
electricity,shape,STEP8_D33,64,4,3,0.20688393894823756,0.20664059947837357,0.11762124749802567
electricity,standard,BURST16,128,4,3,0.17857053447420115,0.17858369352580297,-0.007369105793720215
electricity,standard,BURST4,128,4,3,0.17006097129678388,0.1701211338845953,-0.03537706938437484
electricity,standard,BURST8,128,4,3,0.17990124371522073,0.17997726598167674,-0.04225777703703505
electricity,standard,FAULT,128,4,3,0.17289327411919975,0.17293494748956809,-0.024103523159400574
electricity,standard,POINT16,128,4,3,0.17068380117417237,0.1707064966457171,-0.013296792893400545
electricity,standard,POINT4,128,4,3,0.1683472970037577,0.16838659278144008,-0.023342090061341192
electricity,standard,POINT8,128,4,3,0.1697957970510627,0.1698345021181765,-0.02279506783206638
electricity,standard,REFERENCE,128,4,3,0.16749555483628262,0.16754584543266818,-0.03002503346115526
electricity,standard,SHIFT4,128,4,3,0.18949540456831745,0.1895625692354254,-0.035443955625711586
electricity,standard,SHIFT8,128,4,3,0.20089122722097227,0.20073566969309398,0.07743370879364236
electricity,standard,SHIFT_POINT,128,4,3,0.1936299913685862,0.1937232690510481,-0.04817315840517786
electricity_transfer,shape,PAIRED_SHIFT8_D32,64,16,3,0.359711026583281,0.3588431563108672,0.24126874303997875
electricity_transfer,shape,PULSE8_D32,64,16,3,7.064277312020451,7.0665074260944705,-0.03156889198311317
electricity_transfer,shape,RAMP8_D32,64,16,3,0.8823717020031933,0.8811030191265177,0.1437810022460154
electricity_transfer,shape,STEP12_D17,64,16,3,0.5416414193416108,0.5321687201310753,1.748887524526819
electricity_transfer,shape,STEP12_D63,64,16,3,0.4168587470309435,0.41764370461159867,-0.1883030130100499
electricity_transfer,shape,STEP6_D17,64,16,3,0.3983451829792126,0.39548509030594575,0.717993538136006
electricity_transfer,shape,STEP6_D63,64,16,3,0.3488012095671705,0.34874814955231265,0.015212107470522379
electricity_transfer,shape,STEP8_D31,64,16,3,0.36356994813555715,0.3634343126527127,0.037306571552452934
electricity_transfer,shape,STEP8_D33,64,16,3,0.37077261643695425,0.36906361274074967,0.4609303978885276
electricity_transfer,standard,BURST16,128,16,3,0.2895854000635926,0.2899707139789567,-0.133057093099129
electricity_transfer,standard,BURST4,128,16,3,0.2537295227259793,0.2538321658579645,-0.04045375992608949
electricity_transfer,standard,BURST8,128,16,3,0.26730191131914866,0.26735618280749845,-0.020303441932748755
electricity_transfer,standard,FAULT,128,16,3,0.25840639170432245,0.25853429041527637,-0.04949518087007309
electricity_transfer,standard,POINT16,128,16,3,0.2494651247883807,0.2495347649822842,-0.027915803446493623
electricity_transfer,standard,POINT4,128,16,3,0.24404620335708915,0.2441318821549733,-0.03510761351972527
electricity_transfer,standard,POINT8,128,16,3,0.2463101879717443,0.24638003270998088,-0.028356414654101186
electricity_transfer,standard,REFERENCE,128,16,3,0.24229306950040383,0.2423732188395702,-0.033079501337622184
electricity_transfer,standard,SHIFT4,128,16,3,0.3199162718085115,0.31966188262315665,0.07951742620553238
electricity_transfer,standard,SHIFT8,128,16,3,0.3586602241855592,0.3577603890204783,0.2508879168645637
electricity_transfer,standard,SHIFT_POINT,128,16,3,0.3350885026826686,0.33465532740527304,0.12927190098363467
ettm1,shape,PAIRED_SHIFT8_D32,64,4,3,0.5420057433604855,0.5399276974950881,0.3833992334681503
ettm1,shape,PULSE8_D32,64,4,3,6.4858134891352845,6.500097001621181,-0.2202270002031864
ettm1,shape,RAMP8_D32,64,4,3,0.9941819258499759,0.9912955682930216,0.2903248874180427
ettm1,shape,STEP12_D17,64,4,3,0.8290791738799439,0.8194109009819356,1.1661459125504774
ettm1,shape,STEP12_D63,64,4,3,0.6780103778200056,0.6888026258678513,-1.5917526340151142
ettm1,shape,STEP6_D17,64,4,3,0.6258253422074772,0.6232770435520011,0.4071900710328109
ettm1,shape,STEP6_D63,64,4,3,0.5608780466426754,0.5662074496107737,-0.9501892612840368
ettm1,shape,STEP8_D31,64,4,3,0.5370950641689594,0.5366000243272885,0.09216987358408028
ettm1,shape,STEP8_D33,64,4,3,0.5507523346504267,0.54823518360924,0.45703865109976677
ettm1,standard,BURST16,128,4,3,0.46442878805378224,0.46480797916182803,-0.08164677078586206
ettm1,standard,BURST4,128,4,3,0.4179967121677741,0.4181606899486841,-0.039229442753160405
ettm1,standard,BURST8,128,4,3,0.42141947779443073,0.4211553051236823,0.06268639317075056
ettm1,standard,FAULT,128,4,3,0.4220992025069093,0.42213503945652375,-0.008490172310580241
ettm1,standard,POINT16,128,4,3,0.4126658878451301,0.4124351463865774,0.05591483700228984
ettm1,standard,POINT4,128,4,3,0.4071323973897554,0.40720377625595194,-0.017532101757125405
ettm1,standard,POINT8,128,4,3,0.4089519517905833,0.40904733986241854,-0.02332500711085891
ettm1,standard,REFERENCE,128,4,3,0.4065125572690387,0.4066466572680547,-0.032987910611399336
ettm1,standard,SHIFT4,128,4,3,0.5464459559814894,0.5480621016489935,-0.29575581076474267
ettm1,standard,SHIFT8,128,4,3,0.5473460405955392,0.5460646596934534,0.23410800609639956
ettm1,standard,SHIFT_POINT,128,4,3,0.5851547277910685,0.5864684365830964,-0.22450622538540668
