panel,kind,condition,factor,excluded,removed_cells,gain_pct,change_pp
electricity,shape,PULSE8_D32,index_week,136,36,-0.029575354548681723,-0.0007495050716205022
electricity,shape,PULSE8_D32,index_week,137,24,-0.029265694281341632,-0.00043984480428041137
electricity,shape,PULSE8_D32,index_week,138,24,-0.028593142082694187,0.00023270739436703422
electricity,shape,PULSE8_D32,index_week,139,24,-0.029134794502359854,-0.0003089450252986327
electricity,shape,PULSE8_D32,index_week,140,24,-0.029251810665300096,-0.0004259611882388749
electricity,shape,PULSE8_D32,index_week,141,24,-0.02843639861733525,0.0003894508597259705
electricity,shape,PULSE8_D32,index_week,142,24,-0.032450670381564226,-0.0036248209045030046
electricity,shape,PULSE8_D32,index_week,143,24,-0.029294374644534063,-0.00046852516747284204
electricity,shape,PULSE8_D32,index_week,144,24,-0.02925319582643717,-0.00042734634937595037
electricity,shape,PULSE8_D32,index_week,145,24,-0.028614469465219294,0.00021138001184192734
electricity,shape,PULSE8_D32,index_week,146,24,-0.028916371387071454,-9.052191001023349e-05
electricity,shape,PULSE8_D32,index_week,147,24,-0.028270014367528983,0.0005558351095322385
electricity,shape,PULSE8_D32,index_week,148,24,-0.028404998445584802,0.00042085103147641856
electricity,shape,PULSE8_D32,index_week,149,36,-0.02758933254898507,0.0012365169280761507
electricity,shape,PULSE8_D32,index_week,150,24,-0.028871327296170427,-4.5477819109206175e-05
electricity,shape,PULSE8_D32,index_week,151,24,-0.028758924491576476,6.692498548474535e-05
electricity,shape,PULSE8_D32,index_week,152,24,-0.028332507757888776,0.0004933417191724451
electricity,shape,PULSE8_D32,index_week,153,24,-0.027800242832048967,0.0010256066450122538
electricity,shape,PULSE8_D32,index_week,154,24,-0.028308363534689983,0.0005174859423712382
electricity,shape,PULSE8_D32,index_week,155,12,-0.02905175753312882,-0.00022590805606759884
electricity,shape,PULSE8_D32,index_week,156,12,-0.02902579739559143,-0.00019994791853020916
electricity,shape,RAMP8_D32,seed,81551,256,0.3862747084207564,0.05211629012066038
electricity,shape,RAMP8_D32,seed,81552,256,-0.16570696370236893,-0.49986538200246494
electricity,shape,RAMP8_D32,seed,81553,256,0.8164285818970025,0.4822701635969065
electricity,shape,RAMP8_D32,channel,0,192,0.47720944156190026,0.14305102326180424
electricity,shape,RAMP8_D32,channel,1,192,0.2546867791600634,-0.07947163914003263
electricity,shape,RAMP8_D32,channel,2,192,0.3619240934368919,0.027765675136795898
electricity,shape,RAMP8_D32,channel,3,192,0.19668224738524806,-0.13747617091484796
electricity,shape,RAMP8_D32,index_week,125,24,0.33979630022171897,0.005637881921622956
electricity,shape,RAMP8_D32,index_week,126,24,0.3378826772948679,0.0037242589947718563
electricity,shape,RAMP8_D32,index_week,127,24,0.3340728619000076,-8.555640008839349e-05
electricity,shape,RAMP8_D32,index_week,128,24,0.33168601501545486,-0.002472403284641156
electricity,shape,RAMP8_D32,index_week,129,24,0.3378187742147145,0.003660355914618496
electricity,shape,RAMP8_D32,index_week,130,24,0.3337262835612269,-0.00043213473886910547
electricity,shape,RAMP8_D32,index_week,131,24,0.32092810340570327,-0.013230314894392747
electricity,shape,RAMP8_D32,index_week,132,24,0.33911322642915254,0.0049548081290565205
electricity,shape,RAMP8_D32,index_week,133,24,0.33475260534166257,0.0005941870415665518
electricity,shape,RAMP8_D32,index_week,134,24,0.3350669011326341,0.0009084828325380823
electricity,shape,RAMP8_D32,index_week,135,24,0.3285783165974833,-0.005580101702612694
electricity,shape,RAMP8_D32,index_week,136,36,0.35267231693666934,0.018513898636573323
electricity,shape,RAMP8_D32,index_week,137,24,0.32960660456258123,-0.004551813737514787
electricity,shape,RAMP8_D32,index_week,138,24,0.3370305394699202,0.00287212116982416
electricity,shape,RAMP8_D32,index_week,139,24,0.3383656986373183,0.0042072803372222856
electricity,shape,RAMP8_D32,index_week,140,24,0.3444950662657345,0.01033664796563849
electricity,shape,RAMP8_D32,index_week,141,24,0.33676878866056636,0.0026103703604703488
electricity,shape,RAMP8_D32,index_week,142,24,0.33895641042262753,0.004797992122531514
electricity,shape,RAMP8_D32,index_week,143,24,0.35126599926748664,0.017107580967390623
electricity,shape,RAMP8_D32,index_week,144,24,0.3354665059974474,0.0013080876973513567
electricity,shape,RAMP8_D32,index_week,145,24,0.3333387183054371,-0.0008196999946589179
electricity,shape,RAMP8_D32,index_week,146,24,0.33009908759875817,-0.004059330701337849
electricity,shape,RAMP8_D32,index_week,147,24,0.33664475900309315,0.0024863407029971363
electricity,shape,RAMP8_D32,index_week,148,24,0.334292008378518,0.00013359007842200787
electricity,shape,RAMP8_D32,index_week,149,36,0.2981086969216865,-0.036049721378409505
electricity,shape,RAMP8_D32,index_week,150,24,0.3416211769789723,0.007462758678876302
electricity,shape,RAMP8_D32,index_week,151,24,0.3181076561831126,-0.01605076211698342
