panel,kind,condition,component,variance,share_pct
electricity,shape,PAIRED_SHIFT8_D32,seed,1.566934572850932e-08,0.45545046959082147
electricity,shape,PAIRED_SHIFT8_D32,origin,3.4723882519175535e-07,10.09296040395654
electricity,shape,PAIRED_SHIFT8_D32,channel,3.810631037155067e-08,1.1076108252254024
electricity,shape,PAIRED_SHIFT8_D32,seed:origin,4.3226463827324533e-07,12.5643492651295
electricity,shape,PAIRED_SHIFT8_D32,seed:channel,1.392137367030293e-07,4.046433262336322
electricity,shape,PAIRED_SHIFT8_D32,origin:channel,9.499110681274819e-07,27.610434382146902
electricity,shape,PAIRED_SHIFT8_D32,seed:origin:channel,1.5180021734588725e-06,44.12276139161453
electricity,shape,PULSE8_D32,seed,2.643494033921271e-07,2.349379727734009
electricity,shape,PULSE8_D32,origin,9.952903401009247e-07,8.845546531361077
electricity,shape,PULSE8_D32,channel,1.7030271598153725e-06,15.13548899187651
electricity,shape,PULSE8_D32,seed:origin,1.1845065906019834e-06,10.527187637339326
electricity,shape,PULSE8_D32,seed:channel,6.9092552534115e-07,6.1405337094806995
electricity,shape,PULSE8_D32,origin:channel,2.6630216341101233e-06,23.667346933311624
electricity,shape,PULSE8_D32,seed:origin:channel,3.750760014183438e-06,33.33451646889676
electricity,shape,RAMP8_D32,seed,1.523006833663686e-05,21.36146714076551
electricity,shape,RAMP8_D32,origin,3.4508917162814223e-06,4.840169352776762
electricity,shape,RAMP8_D32,channel,4.378152958269983e-06,6.140732167980651
electricity,shape,RAMP8_D32,seed:origin,5.120805472908728e-06,7.182365530209253
electricity,shape,RAMP8_D32,seed:channel,1.3336611475682382e-05,18.70573273276956
electricity,shape,RAMP8_D32,origin:channel,1.4217106949955764e-05,19.940702578311104
electricity,shape,RAMP8_D32,seed:origin:channel,1.5563284019316217e-05,21.82883049718723
electricity,shape,STEP12_D17,seed,2.3615061178709803e-05,28.12856475196501
electricity,shape,STEP12_D17,origin,3.4490269777074553e-06,4.1082332135215225
electricity,shape,STEP12_D17,channel,7.999383186139897e-06,9.52829070500039
electricity,shape,STEP12_D17,seed:origin,4.4151155905437624e-06,5.258968580948879
electricity,shape,STEP12_D17,seed:channel,1.8636817600955518e-05,22.19883855865917
electricity,shape,STEP12_D17,origin:channel,1.0765609448504251e-05,12.82322074776698
electricity,shape,STEP12_D17,seed:origin:channel,1.5073007087995746e-05,17.953883442138086
electricity,shape,STEP12_D63,seed,1.5860400316570337e-06,24.362857052567787
electricity,shape,STEP12_D63,origin,6.328606572128303e-07,9.721251303954697
electricity,shape,STEP12_D63,channel,2.591868182297168e-08,0.3981319056520459
electricity,shape,STEP12_D63,seed:origin,6.029402249876814e-07,9.26164927708103
electricity,shape,STEP12_D63,seed:channel,6.259043776474044e-07,9.614397226322678
electricity,shape,STEP12_D63,origin:channel,1.4652662526366797e-06,22.507674172412365
electricity,shape,STEP12_D63,seed:origin:channel,1.5711438110616463e-06,24.13403906200939
electricity,shape,STEP6_D17,seed,7.542166714167078e-07,4.310685623051494
electricity,shape,STEP6_D17,origin,2.2199725470424588e-06,12.688136055292375
electricity,shape,STEP6_D17,channel,5.926219411676171e-07,3.387099461614373
electricity,shape,STEP6_D17,seed:origin,2.0402621927791664e-06,11.661010999860851
electricity,shape,STEP6_D17,seed:channel,9.611618214834084e-07,5.493469718074348
electricity,shape,STEP6_D17,origin:channel,5.206244005939161e-06,29.75601314187922
electricity,shape,STEP6_D17,seed:origin:channel,5.721964248648756e-06,32.703585000227335
electricity,shape,STEP6_D63,seed,2.9053482703318186e-07,10.063567134492118
electricity,shape,STEP6_D63,origin,2.6312313431986593e-07,9.114078865882526
electricity,shape,STEP6_D63,channel,6.923376576067291e-09,0.23981243722862158
electricity,shape,STEP6_D63,seed:origin,3.700960636410526e-07,12.819415216743113
electricity,shape,STEP6_D63,seed:channel,1.2951784947425093e-07,4.486248986426356
electricity,shape,STEP6_D63,origin:channel,8.61953891428424e-07,29.856423554467643
electricity,shape,STEP6_D63,seed:origin:channel,9.64847318626877e-07,33.42045380475963
electricity,shape,STEP8_D31,seed,1.608722572399811e-08,0.6878377350368211
electricity,shape,STEP8_D31,origin,2.7811360875502215e-07,11.89123830366872
electricity,shape,STEP8_D31,channel,5.289252920079617e-09,0.22615134585680935
electricity,shape,STEP8_D31,seed:origin,2.550269317862109e-07,10.904126674342535
electricity,shape,STEP8_D31,seed:channel,7.004390203254645e-08,2.99485068176404
electricity,shape,STEP8_D31,origin:channel,7.256164084983821e-07,31.025010495286228
electricity,shape,STEP8_D31,seed:origin:channel,9.886338323577537e-07,42.27078476404485
electricity,shape,STEP8_D33,seed,1.1851687790046636e-07,3.3378227369947417
electricity,shape,STEP8_D33,origin,3.2030125492203954e-07,9.02073046730609
electricity,shape,STEP8_D33,channel,1.4253950417780072e-07,4.014378427722218
electricity,shape,STEP8_D33,seed:origin,3.844235549539876e-07,10.826624064796752
electricity,shape,STEP8_D33,seed:channel,2.9992870432642985e-07,8.446972840601562
electricity,shape,STEP8_D33,origin:channel,9.513774746645506e-07,26.7938999293153
electricity,shape,STEP8_D33,seed:origin:channel,1.3336367758731026e-06,37.55957153326334
electricity,standard,BURST16,seed,1.1004918030803445e-08,0.674663432771959
electricity,standard,BURST16,origin,1.6734622686909429e-07,10.259265863218376
electricity,standard,BURST16,channel,5.960655577030518e-09,0.3654217452519393
electricity,standard,BURST16,seed:origin,2.4028474250467613e-07,14.730807514165159
electricity,standard,BURST16,seed:channel,8.69649251923979e-09,0.5331439525204374
electricity,standard,BURST16,origin:channel,5.564864424384643e-07,34.11575192979237
electricity,standard,BURST16,seed:origin:channel,6.413920805351208e-07,39.32094556227976
electricity,standard,BURST4,seed,4.18718166313715e-09,0.5156706341834143
electricity,standard,BURST4,origin,8.167311305286283e-08,10.058418619494216
electricity,standard,BURST4,channel,1.191641656800318e-09,0.1467561377361398
electricity,standard,BURST4,seed:origin,1.2369198670408398e-07,15.233235708075894
electricity,standard,BURST4,seed:channel,1.052065554787505e-08,1.2956670034548445
electricity,standard,BURST4,origin:channel,2.485829170625148e-07,30.6141268283901
electricity,standard,BURST4,seed:origin:channel,3.4214011531324847e-07,42.1361250686654
electricity,standard,BURST8,seed,7.008398327086053e-09,0.48394580872506604
electricity,standard,BURST8,origin,1.8474528226195602e-07,12.757080984804178
electricity,standard,BURST8,channel,4.021650749853756e-09,0.27770411065618744
electricity,standard,BURST8,seed:origin,1.7209945192199084e-07,11.883857702499823
electricity,standard,BURST8,seed:channel,7.515044893574085e-09,0.5189309038800062
electricity,standard,BURST8,origin:channel,6.134131595934081e-07,42.35757069553688
electricity,standard,BURST8,seed:origin:channel,4.593753414641087e-07,31.72090979389787
electricity,standard,FAULT,seed,4.209805157380623e-09,0.8374567738367842
electricity,standard,FAULT,origin,5.071970070075728e-08,10.089672878174753
electricity,standard,FAULT,channel,7.782758264311763e-10,0.15482245338968328
electricity,standard,FAULT,seed:origin,8.105671339182331e-08,16.124616498205263
electricity,standard,FAULT,seed:channel,6.34029694294485e-09,1.261275623100233
electricity,standard,FAULT,origin:channel,1.4903795128872346e-07,29.648127929787076
electricity,standard,FAULT,seed:origin:channel,2.1054650453138552e-07,41.88402784350618
electricity,standard,POINT16,seed,2.4995509947527413e-09,0.36486522261042487
electricity,standard,POINT16,origin,6.420626006798618e-08,9.372335840263984
electricity,standard,POINT16,channel,4.5321424526094965e-10,0.06615672848223283
electricity,standard,POINT16,seed:origin,1.1768409517933606e-07,17.178618750109738
electricity,standard,POINT16,seed:channel,1.0600299116841447e-08,1.5473501061281771
electricity,standard,POINT16,origin:channel,1.7026187633779353e-07,24.853518708948332
electricity,standard,POINT16,seed:origin:channel,3.1935615685139924e-07,46.6171546434571
electricity,standard,POINT4,seed,2.1522654516577873e-09,0.3955740168794845
electricity,standard,POINT4,origin,5.615902323666418e-08,10.321705618906982
electricity,standard,POINT4,channel,1.841234346261224e-09,0.33840828779090193
