panel,kind,condition,stratum,contexts,fraction
electricity_transfer,shape,STEP6_D17,EQUAL,1393,0.68017578125
electricity_transfer,shape,STEP6_D17,DIFFERENT,655,0.31982421875
electricity_transfer,shape,STEP6_D63,ALL,2048,1.0
electricity_transfer,shape,STEP6_D63,EQUAL,1304,0.63671875
electricity_transfer,shape,STEP6_D63,DIFFERENT,744,0.36328125
electricity_transfer,shape,STEP12_D17,ALL,2048,1.0
electricity_transfer,shape,STEP12_D17,EQUAL,1394,0.6806640625
electricity_transfer,shape,STEP12_D17,DIFFERENT,654,0.3193359375
electricity_transfer,shape,STEP12_D63,ALL,2048,1.0
electricity_transfer,shape,STEP12_D63,EQUAL,1610,0.7861328125
electricity_transfer,shape,STEP12_D63,DIFFERENT,438,0.2138671875
electricity_transfer,shape,STEP8_D31,ALL,2048,1.0
electricity_transfer,shape,STEP8_D31,EQUAL,1450,0.7080078125
electricity_transfer,shape,STEP8_D31,DIFFERENT,598,0.2919921875
electricity_transfer,shape,STEP8_D33,ALL,2048,1.0
electricity_transfer,shape,STEP8_D33,EQUAL,1459,0.71240234375
electricity_transfer,shape,STEP8_D33,DIFFERENT,589,0.28759765625
electricity_transfer,shape,RAMP8_D32,ALL,2048,1.0
electricity_transfer,shape,RAMP8_D32,EQUAL,1432,0.69921875
electricity_transfer,shape,RAMP8_D32,DIFFERENT,616,0.30078125
electricity_transfer,shape,PULSE8_D32,ALL,2048,1.0
electricity_transfer,shape,PULSE8_D32,EQUAL,1451,0.70849609375
electricity_transfer,shape,PULSE8_D32,DIFFERENT,597,0.29150390625
electricity_transfer,shape,PAIRED_SHIFT8_D32,ALL,2048,1.0
electricity_transfer,shape,PAIRED_SHIFT8_D32,EQUAL,1451,0.70849609375
electricity_transfer,shape,PAIRED_SHIFT8_D32,DIFFERENT,597,0.29150390625
ettm1,standard,REFERENCE,ALL,1024,1.0
ettm1,standard,REFERENCE,EQUAL,450,0.439453125
ettm1,standard,REFERENCE,DIFFERENT,574,0.560546875
ettm1,standard,POINT4,ALL,1024,1.0
ettm1,standard,POINT4,EQUAL,10,0.009765625
ettm1,standard,POINT4,DIFFERENT,1014,0.990234375
ettm1,standard,POINT8,ALL,1024,1.0
ettm1,standard,POINT8,EQUAL,0,0.0
ettm1,standard,POINT8,DIFFERENT,1024,1.0
ettm1,standard,POINT16,ALL,1024,1.0
ettm1,standard,POINT16,EQUAL,1,0.0009765625
ettm1,standard,POINT16,DIFFERENT,1023,0.9990234375
ettm1,standard,BURST4,ALL,1024,1.0
ettm1,standard,BURST4,EQUAL,33,0.0322265625
ettm1,standard,BURST4,DIFFERENT,991,0.9677734375
ettm1,standard,BURST8,ALL,1024,1.0
ettm1,standard,BURST8,EQUAL,21,0.0205078125
ettm1,standard,BURST8,DIFFERENT,1003,0.9794921875
ettm1,standard,BURST16,ALL,1024,1.0
ettm1,standard,BURST16,EQUAL,20,0.01953125
ettm1,standard,BURST16,DIFFERENT,1004,0.98046875
ettm1,standard,SHIFT4,ALL,1024,1.0
ettm1,standard,SHIFT4,EQUAL,401,0.3916015625
ettm1,standard,SHIFT4,DIFFERENT,623,0.6083984375
ettm1,standard,SHIFT8,ALL,1024,1.0
ettm1,standard,SHIFT8,EQUAL,515,0.5029296875
ettm1,standard,SHIFT8,DIFFERENT,509,0.4970703125
ettm1,standard,SHIFT_POINT,ALL,1024,1.0
ettm1,standard,SHIFT_POINT,EQUAL,7,0.0068359375
ettm1,standard,SHIFT_POINT,DIFFERENT,1017,0.9931640625
ettm1,standard,FAULT,ALL,6144,1.0
ettm1,standard,FAULT,EQUAL,85,0.013834635416666666
ettm1,standard,FAULT,DIFFERENT,6059,0.9861653645833334
ettm1,shape,STEP6_D17,ALL,512,1.0
ettm1,shape,STEP6_D17,EQUAL,247,0.482421875
ettm1,shape,STEP6_D17,DIFFERENT,265,0.517578125
ettm1,shape,STEP6_D63,ALL,512,1.0
ettm1,shape,STEP6_D63,EQUAL,281,0.548828125
ettm1,shape,STEP6_D63,DIFFERENT,231,0.451171875
ettm1,shape,STEP12_D17,ALL,512,1.0
ettm1,shape,STEP12_D17,EQUAL,247,0.482421875
ettm1,shape,STEP12_D17,DIFFERENT,265,0.517578125
ettm1,shape,STEP12_D63,ALL,512,1.0
ettm1,shape,STEP12_D63,EQUAL,303,0.591796875
ettm1,shape,STEP12_D63,DIFFERENT,209,0.408203125
ettm1,shape,STEP8_D31,ALL,512,1.0
ettm1,shape,STEP8_D31,EQUAL,262,0.51171875
ettm1,shape,STEP8_D31,DIFFERENT,250,0.48828125
ettm1,shape,STEP8_D33,ALL,512,1.0
ettm1,shape,STEP8_D33,EQUAL,265,0.517578125
ettm1,shape,STEP8_D33,DIFFERENT,247,0.482421875
ettm1,shape,RAMP8_D32,ALL,512,1.0
ettm1,shape,RAMP8_D32,EQUAL,260,0.5078125
ettm1,shape,RAMP8_D32,DIFFERENT,252,0.4921875
ettm1,shape,PULSE8_D32,ALL,512,1.0
ettm1,shape,PULSE8_D32,EQUAL,262,0.51171875
ettm1,shape,PULSE8_D32,DIFFERENT,250,0.48828125
ettm1,shape,PAIRED_SHIFT8_D32,ALL,512,1.0
ettm1,shape,PAIRED_SHIFT8_D32,EQUAL,262,0.51171875
ettm1,shape,PAIRED_SHIFT8_D32,DIFFERENT,250,0.48828125
neso_2025,standard,REFERENCE,ALL,256,1.0
neso_2025,standard,REFERENCE,EQUAL,256,1.0
neso_2025,standard,REFERENCE,DIFFERENT,0,0.0
neso_2025,standard,POINT4,ALL,256,1.0
neso_2025,standard,POINT4,EQUAL,4,0.015625
neso_2025,standard,POINT4,DIFFERENT,252,0.984375
neso_2025,standard,POINT8,ALL,256,1.0
neso_2025,standard,POINT8,EQUAL,1,0.00390625
neso_2025,standard,POINT8,DIFFERENT,255,0.99609375
neso_2025,standard,POINT16,ALL,256,1.0
neso_2025,standard,POINT16,EQUAL,2,0.0078125
neso_2025,standard,POINT16,DIFFERENT,254,0.9921875
neso_2025,standard,BURST4,ALL,256,1.0
neso_2025,standard,BURST4,EQUAL,8,0.03125
neso_2025,standard,BURST4,DIFFERENT,248,0.96875
neso_2025,standard,BURST8,ALL,256,1.0
neso_2025,standard,BURST8,EQUAL,7,0.02734375
neso_2025,standard,BURST8,DIFFERENT,249,0.97265625
neso_2025,standard,BURST16,ALL,256,1.0
neso_2025,standard,BURST16,EQUAL,6,0.0234375
neso_2025,standard,BURST16,DIFFERENT,250,0.9765625
neso_2025,standard,SHIFT4,ALL,256,1.0
neso_2025,standard,SHIFT4,EQUAL,178,0.6953125
neso_2025,standard,SHIFT4,DIFFERENT,78,0.3046875
neso_2025,standard,SHIFT8,ALL,256,1.0
neso_2025,standard,SHIFT8,EQUAL,256,1.0
neso_2025,standard,SHIFT8,DIFFERENT,0,0.0
neso_2025,standard,SHIFT_POINT,ALL,256,1.0
neso_2025,standard,SHIFT_POINT,EQUAL,0,0.0
neso_2025,standard,SHIFT_POINT,DIFFERENT,256,1.0
neso_2025,standard,FAULT,ALL,1536,1.0
neso_2025,standard,FAULT,EQUAL,28,0.018229166666666668
neso_2025,standard,FAULT,DIFFERENT,1508,0.9817708333333334
neso_2025,shape,STEP6_D17,ALL,128,1.0
neso_2025,shape,STEP6_D17,EQUAL,128,1.0
neso_2025,shape,STEP6_D17,DIFFERENT,0,0.0
neso_2025,shape,STEP6_D63,ALL,128,1.0
neso_2025,shape,STEP6_D63,EQUAL,128,1.0
neso_2025,shape,STEP6_D63,DIFFERENT,0,0.0
neso_2025,shape,STEP12_D17,ALL,128,1.0
neso_2025,shape,STEP12_D17,EQUAL,128,1.0
neso_2025,shape,STEP12_D17,DIFFERENT,0,0.0
neso_2025,shape,STEP12_D63,ALL,128,1.0
neso_2025,shape,STEP12_D63,EQUAL,128,1.0
neso_2025,shape,STEP12_D63,DIFFERENT,0,0.0
neso_2025,shape,STEP8_D31,ALL,128,1.0
neso_2025,shape,STEP8_D31,EQUAL,128,1.0
neso_2025,shape,STEP8_D31,DIFFERENT,0,0.0
neso_2025,shape,STEP8_D33,ALL,128,1.0
neso_2025,shape,STEP8_D33,EQUAL,128,1.0
