panel,kind,condition,new,baseline,new_nmae,baseline_nmae,gain_pct,ci_low_pct,ci_high_pct,bonferroni3_low_pct,bonferroni3_high_pct,conditional_on_fixed_seeds,bootstrap_draws,bootstrap_seed
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,C0,0.35061535165650676,0.36664751570623627,4.372636759545023,2.0946228094278836,6.561937657821782,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,C1,0.35061535165650676,0.36664751570623627,4.372636759545023,2.0946228094278836,6.561937657821782,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,C2,0.35061535165650676,0.35874744928325886,2.2668029119089828,1.5670558806523103,2.9862655924064874,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,M_MEAN,0.35061535165650676,0.357833185646904,2.017094635129646,1.3421564504448527,2.6807552755728685,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,0.35061535165650676,0.35959128302704785,2.4961482088724396,1.762738880545663,3.23569018622254,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,0.35061535165650676,0.3511449040906753,0.15080738122623671,0.01456529698298653,0.2864692057465759,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,F0,0.35061535165650676,0.5603259621016267,37.426538234736405,32.26800145556451,41.83390742506907,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,0.35061535165650676,0.7571994887985696,53.69577544052231,47.143747152649674,58.66158188580457,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C3,SEASONAL,0.35061535165650676,0.37994536202370593,7.719533727422945,1.4804801066302662,12.892787552270594,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C0,F0,0.36664751570623627,0.5603259621016267,34.56531724301271,29.303606833952887,39.19914827301614,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,0.36664751570623627,0.7571994887985696,51.5784781777934,45.03029134075624,56.484778339810546,,,True,2000,90401
neso_2026_h1,shape,PAIRED_SHIFT8_D32,C0,SEASONAL,0.36664751570623627,0.37994536202370593,3.4999364768242613,-3.4715437024631965,9.700344700034782,,,True,2000,90401
neso_2026_h1,shape,PULSE8_D32,C3,C0,6.55613451934312,6.534456620478388,-0.33174753654030553,-0.3815527683529507,-0.2775452752596541,,,True,2000,90401
neso_2026_h1,shape,PULSE8_D32,C3,C1,6.55613451934312,6.534456620478388,-0.33174753654030553,-0.3815527683529507,-0.2775452752596541,,,True,2000,90401
neso_2026_h1,shape,PULSE8_D32,C3,C2,6.55613451934312,6.523766190944123,-0.49616015429749805,-0.5163893796899804,-0.4728409974989567,,,True,2000,90401
