kind,condition,new,baseline,seed,new_nmae,baseline_nmae,gain_pct
shape,PAIRED_SHIFT8_D32,C3,C0,81551,0.3543379410042518,0.366884635187706,3.419792757752038
shape,PAIRED_SHIFT8_D32,C3,C0,81552,0.35580802254209193,0.38555771744721934,7.716015931959652
shape,PAIRED_SHIFT8_D32,C3,C0,81553,0.34170009142317675,0.3475001944837836,1.6690934717958905
shape,PAIRED_SHIFT8_D32,C3,C1,81551,0.3543379410042518,0.366884635187706,3.419792757752038
shape,PAIRED_SHIFT8_D32,C3,C1,81552,0.35580802254209193,0.38555771744721934,7.716015931959652
shape,PAIRED_SHIFT8_D32,C3,C1,81553,0.34170009142317675,0.3475001944837836,1.6690934717958905
shape,PAIRED_SHIFT8_D32,C3,C2,81551,0.3543379410042518,0.3598283799220983,1.5258493282367502
shape,PAIRED_SHIFT8_D32,C3,C2,81552,0.35580802254209193,0.3694114271486871,3.682453656507978
shape,PAIRED_SHIFT8_D32,C3,C2,81553,0.34170009142317675,0.34700254077899145,1.5280721991000834
shape,PAIRED_SHIFT8_D32,C3,M_MEAN,81551,0.3543379410042518,0.3601305403630536,1.6084721259580381
shape,PAIRED_SHIFT8_D32,C3,M_MEAN,81552,0.35580802254209193,0.3664384843261851,2.9010222012135767
shape,PAIRED_SHIFT8_D32,C3,M_MEAN,81553,0.34170009142317675,0.34693053225147313,1.507633471851677
shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,81551,0.3543379410042518,0.3617529691869669,2.0497490868921497
shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,81552,0.35580802254209193,0.36966604343916115,3.7487946602133504
shape,PAIRED_SHIFT8_D32,C3,M_ROTATE16,81553,0.34170009142317675,0.3473548364550161,1.627944809852
shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81551,0.3543379410042518,0.3556332725017351,0.3642323701523065
shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81552,0.35580802254209193,0.35640770681710143,0.16825794267048
shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,81553,0.34170009142317675,0.3413937329531896,-0.08973757875900823
shape,PAIRED_SHIFT8_D32,C3,F0,81551,0.3543379410042518,0.5603259621016268,36.762176845201175
shape,PAIRED_SHIFT8_D32,C3,F0,81552,0.35580802254209193,0.5603259621016268,36.49981499919171
shape,PAIRED_SHIFT8_D32,C3,F0,81553,0.34170009142317675,0.5603259621016268,39.01762285981631
shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,81551,0.3543379410042518,0.7571994887985696,53.20414946839552
shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,81552,0.35580802254209193,0.7571994887985696,53.01000227738611
shape,PAIRED_SHIFT8_D32,C3,PERSISTENCE,81553,0.34170009142317675,0.7571994887985696,54.873174575785285
shape,PAIRED_SHIFT8_D32,C3,SEASONAL,81551,0.3543379410042518,0.3799453620237059,6.7397640763558915
shape,PAIRED_SHIFT8_D32,C3,SEASONAL,81552,0.35580802254209193,0.3799453620237059,6.352844880919473
shape,PAIRED_SHIFT8_D32,C3,SEASONAL,81553,0.34170009142317675,0.3799453620237059,10.06599222499337
shape,PAIRED_SHIFT8_D32,C0,F0,81551,0.366884635187706,0.5603259621016268,34.52299911079905
shape,PAIRED_SHIFT8_D32,C0,F0,81552,0.38555771744721934,0.5603259621016268,31.190459924237736
shape,PAIRED_SHIFT8_D32,C0,F0,81553,0.3475001944837836,0.5603259621016268,37.982492694001344
shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,81551,0.366884635187706,0.7571994887985696,51.547162852707004
shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,81552,0.38555771744721934,0.7571994887985696,49.0810911588207
shape,PAIRED_SHIFT8_D32,C0,PERSISTENCE,81553,0.3475001944837836,0.7571994887985696,54.10718052185245
shape,PAIRED_SHIFT8_D32,C0,SEASONAL,81551,0.366884635187706,0.3799453620237059,3.437527639878124
shape,PAIRED_SHIFT8_D32,C0,SEASONAL,81552,0.38555771744721934,0.3799453620237059,-1.4771480282376181
shape,PAIRED_SHIFT8_D32,C0,SEASONAL,81553,0.3475001944837836,0.3799453620237059,8.53942981883219
shape,PULSE8_D32,C3,C0,81551,6.551598565157125,6.538432886455007,-0.2013583213401393
shape,PULSE8_D32,C3,C0,81552,6.519302369641293,6.432888553474257,-1.3433128127233962
shape,PULSE8_D32,C3,C0,81553,6.59750262323094,6.6320484215059,0.5208918282764152
shape,PULSE8_D32,C3,C1,81551,6.551598565157125,6.538432886455007,-0.2013583213401393
shape,PULSE8_D32,C3,C1,81552,6.519302369641293,6.432888553474257,-1.3433128127233962
shape,PULSE8_D32,C3,C1,81553,6.59750262323094,6.6320484215059,0.5208918282764152
shape,PULSE8_D32,C3,C2,81551,6.551598565157125,6.540259454630645,-0.17337401681292164
shape,PULSE8_D32,C3,C2,81552,6.519302369641293,6.4671243302733,-0.8068197966094814
shape,PULSE8_D32,C3,C2,81553,6.59750262323094,6.563914787928427,-0.5117043165198343
