panel,kind,condition,stratum,seed,contexts,C3_nmae,RECENCY_nmae,gain_pct,total,gate,weights
electricity,standard,REFERENCE,ALL,81551,1024,0.16754423259056994,0.16737138806479818,-0.10327005575458958,-0.0001728445257717648,3.277759044163775e-05,-0.00020562211621340254
electricity,standard,REFERENCE,ALL,81552,1024,0.1661617099968634,0.16606801744555064,-0.05641817898107693,-9.369255131275178e-05,3.664790309175492e-05,-0.0001303404544045067
electricity,standard,REFERENCE,ALL,81553,1024,0.16878072192141477,0.16874830820665832,-0.01920831983497351,-3.241371475645738e-05,7.004041327317301e-05,-0.00010245412802963039
electricity,standard,REFERENCE,EQUAL,81551,408,0.06651132698206128,0.06645106531360068,-0.09068578235158498,-6.026166846059833e-05,0.0,-6.026166846059833e-05
electricity,standard,REFERENCE,EQUAL,81552,408,0.06609762238023172,0.06613195191763747,0.051910667098575836,3.432953740575839e-05,0.0,3.432953740575839e-05
electricity,standard,REFERENCE,EQUAL,81553,408,0.06730664998760637,0.06731543411039008,0.013049195774783584,8.784122783711545e-06,0.0,8.784122783711545e-06
electricity,standard,REFERENCE,DIFFERENT,81551,616,0.23446213111049136,0.23421471871818866,-0.1056348608903468,-0.00024741239230269274,5.448742307187504e-05,-0.0003018998153745678
electricity,standard,REFERENCE,DIFFERENT,81552,616,0.23243792387281412,0.23225943747053215,-0.07684785782047232,-0.00017848640228196322,6.092118955522419e-05,-0.0002394075918371874
electricity,standard,REFERENCE,DIFFERENT,81553,616,0.23599082151393722,0.23593112091977095,-0.02530424724536129,-5.9700594166267607e-05,0.00011643081686972534,-0.00017613141103599295
electricity,standard,POINT4,ALL,81551,1024,0.16838752774103127,0.16823009461711802,-0.09358202185616449,-0.00015743312391325315,3.198429414529025e-05,-0.0001894174180585434
electricity,standard,POINT4,ALL,81552,1024,0.16687565114038327,0.16678850803113787,-0.05224766998284114,-8.714310924540225e-05,3.542898554578788e-05,-0.00012257209479119013
electricity,standard,POINT4,ALL,81553,1024,0.1697787121298586,0.1697332353721907,-0.026793077718800795,-4.547675766788939e-05,8.441369373432539e-05,-0.00012989045140221478
electricity,standard,POINT4,EQUAL,81551,10,0.19708094967801815,0.19691532199570702,-0.0841111197607658,-0.0001656276823111258,0.0,-0.0001656276823111258
electricity,standard,POINT4,EQUAL,81552,10,0.19429023755598498,0.19389690596073159,-0.20285604522902734,-0.0003933315952533989,0.0,-0.0003933315952533989
electricity,standard,POINT4,EQUAL,81553,10,0.20515894040636967,0.20497490768125853,-0.08978305061482228,-0.00018403272511113844,0.0,-0.00018403272511113844
electricity,standard,POINT4,DIFFERENT,81551,1014,0.16810455513810243,0.16794720282837455,-0.09369153345690773,-0.00015735230972788172,3.229972110922741e-05,-0.00018965203083710913
electricity,standard,POINT4,DIFFERENT,81552,1014,0.1666052903276061,0.1665211668286764,-0.0505182016987904,-8.412349892969462e-05,3.577838382533283e-05,-0.00011990188275502744
electricity,standard,POINT4,DIFFERENT,81553,1014,0.16942979469123423,0.16938568436322557,-0.026041355368655594,-4.411032800866188e-05,8.524617592112205e-05,-0.00012935650392978393
electricity,standard,POINT8,ALL,81551,1024,0.17015421187425483,0.1699116108249064,-0.14278073650801915,-0.0002426010493484232,-1.2927398382420185e-05,-0.000229673650966003
electricity,standard,POINT8,ALL,81552,1024,0.16818500621149127,0.16806088016660073,-0.07385778580208946,-0.0001241260448905379,3.9352147574861496e-05,-0.0001634781924653994
electricity,standard,POINT8,ALL,81553,1024,0.17104817306744202,0.17099371917662762,-0.03184555027904157,-5.4453890814404327e-05,5.1772514808381964e-05,-0.00010622640562278629
electricity,standard,POINT8,DIFFERENT,81551,1024,0.17015421187425483,0.1699116108249064,-0.14278073650801915,-0.0002426010493484232,-1.2927398382420185e-05,-0.000229673650966003
electricity,standard,POINT8,DIFFERENT,81552,1024,0.16818500621149127,0.16806088016660073,-0.07385778580208946,-0.0001241260448905379,3.9352147574861496e-05,-0.0001634781924653994
