source,arm,seed,reused,train_seconds,validation_seconds,peak_allocated_GiB,selected_step
electricity,TRP,81551,False,91.61242392624263,5.301228127966169,0.5038785934448242,768
ettm1,ANCHOR,81552,False,87.47478229220724,5.001684945949819,0.5038785934448242,512
electricity,SHUFFLE,81552,False,86.42365802515997,4.957263152056839,0.5029630661010742,1024
ettm1,TRP,81551,False,87.31000049551949,4.957042618945707,0.5038785934448242,768
electricity,ANCHOR,81551,False,87.43729975365568,5.025930164032616,0.5029630661010742,1024
ettm1,SHUFFLE,81552,False,86.87557663343614,4.974457481934223,0.5038785934448242,1024
ettm1,IDEAL,81552,False,87.02915281197056,4.966538451961242,0.5038785934448242,256
electricity,PLAIN,81552,True,31.46485033648787,5.025499227049295,0.3536219596862793,1024
electricity,IDEAL,81552,False,86.70194870600244,4.943012542033102,0.5038785934448242,512
ettm1,IDEAL,81551,False,87.4068828082527,4.967426813964266,0.5038785934448242,0
ettm1,PLAIN,81551,True,31.45156044216128,5.000023144064471,0.3536219596862793,0
ettm1,PLAIN,81552,True,31.5385051179328,5.0969076658948325,0.3536219596862793,1024
electricity,IDEAL,81551,False,84.39694311848143,4.877330289979,0.5038785934448242,512
electricity,TRP,81552,False,86.98947276338004,5.029630790930241,0.5038785934448242,768
ettm1,ANCHOR,81551,False,87.41093017772073,4.985779535025358,0.5038785934448242,1024
ettm1,TRP,81552,False,87.16248740343144,5.032732853083871,0.5038785934448242,768
electricity,ANCHOR,81552,False,89.88547522382578,5.141470681934152,0.5038785934448242,0
electricity,SHUFFLE,81551,False,85.98729999380885,4.878869059961289,0.5038785934448242,768
ettm1,SHUFFLE,81551,False,87.4790599695989,5.028379218885675,0.5038785934448242,768
electricity,PLAIN,81551,True,31.345702237566,5.051080199016724,0.3536219596862793,512
