panel,kind,stage,condition,baseline,TRP_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonferroni4_low,bonferroni4_high,both_seeds_positive,primary_family
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,PLAIN,0.2129052903917869,0.20948298854041514,-1.6336896256907707,-2.3885768148087916,-0.8656500903843387,-2.6496212729958097,-0.6719947199026169,False,False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,ANCHOR,0.2129052903917869,0.21290561563897503,0.0001527659038713658,-0.0006790402078538094,0.0011521162708136295,-0.0008949404230522429,0.001310043455109643,False,False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,SHUFFLE,0.2129052903917869,0.21256571306739094,-0.15975169254520694,-0.20732730535234112,-0.11779310540148971,-0.2213904043669243,-0.10902063784707007,False,False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,IDEAL,0.2129052903917869,0.20342182776430218,-4.6619690382847745,-7.024934405907577,-2.5246732386860717,-7.834796574850089,-1.9849341120239306,False,False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0,0.2129052903917869,0.21290391979548912,-0.0006437628293110009,-0.0014775320340709719,0.00011834121748099923,-0.0016958669800808124,0.00025372431936163126,False,False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,0.2129052903917869,0.20572031639011443,-3.492593307142,-4.451041547381662,-2.6681619542209294,-4.687532601124009,-2.4164410270336716,False,False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,0.2129052903917869,0.20573686104850264,-3.4842707849004784,-4.451743182434896,-2.668979475178513,-4.6812499884251,-2.417197365731365,False,False
electricity,shape,fixed1024,PULSE8_D32,PLAIN,2.9724539303282285,2.963317921346203,-0.30830336887630594,-0.35510681859273974,-0.2588241933628066,-0.36671544477677925,-0.24672152335653638,False,False
electricity,shape,fixed1024,PULSE8_D32,ANCHOR,2.9724539303282285,2.9724364700739754,-0.0005874054644694482,-0.0006881166267969085,-0.0004861709781356361,-0.0007101221270983116,-0.0004595724211935156,False,False
electricity,shape,fixed1024,PULSE8_D32,SHUFFLE,2.9724539303282285,2.9735974002637535,0.038454093867035244,0.03784295466640025,0.03911104566327289,0.03766935312843896,0.03931393091218621,False,False
electricity,shape,fixed1024,PULSE8_D32,IDEAL,2.9724539303282285,3.0308231559029553,1.9258538876161246,1.7836825420740523,2.0745212522218854,1.7470110941220633,2.1041856482613137,True,False
electricity,shape,fixed1024,PULSE8_D32,B0,2.9724539303282285,2.972449975456853,-0.00013305089767712275,-0.00023209576326677084,-3.838018974355877e-05,-0.00026192130637148203,-1.0185130660255942e-05,False,False
electricity,shape,fixed1024,PULSE8_D32,C3,2.9724539303282285,2.982972866590118,0.3526326497871879,0.3053325758642092,0.4038039334016355,0.29184789869036043,0.4159875273491186,False,False
electricity,shape,fixed1024,PULSE8_D32,MAG_ONLY,2.9724539303282285,2.9829472452501298,0.35177675162074706,0.3027898764809467,0.4040668862854293,0.28547780785892907,0.41608324736919655,False,False
electricity,shape,fixed1024,RAMP8_D32,PLAIN,0.48678149475489946,0.49726215678807817,2.107673365066731,1.6473528708129592,2.586165719308062,1.4934869034816491,2.7159828918858167,False,False
electricity,shape,fixed1024,RAMP8_D32,ANCHOR,0.48678149475489946,0.4868304188398156,0.010049512730270216,0.00859397650145366,0.011594494494033268,0.008269788451682955,0.011952549277615559,True,False
electricity,shape,fixed1024,RAMP8_D32,SHUFFLE,0.48678149475489946,0.48630727974470045,-0.09751345084696439,-0.10616904773442515,-0.08923739509542285,-0.10780372631710708,-0.08702334971928737,False,False
electricity,shape,fixed1024,RAMP8_D32,IDEAL,0.48678149475489946,0.3738918182758815,-30.193139020688765,-34.61389831863496,-26.06836038129404,-35.78152773929178,-24.858374049232996,False,False
electricity,shape,fixed1024,RAMP8_D32,B0,0.48678149475489946,0.4868097447647203,0.005803090452605186,0.004703727764076571,0.0071173455999337665,0.004457533013604645,0.007396779436673401,True,False
electricity,shape,fixed1024,RAMP8_D32,C3,0.48678149475489946,0.48771171073964587,0.19073070509947332,-0.23781920187220418,0.604895080677866,-0.34090892207120443,0.7115070147868453,False,False
electricity,shape,fixed1024,RAMP8_D32,MAG_ONLY,0.48678149475489946,0.4822501504269867,-0.9396252803447913,-1.327444041291812,-0.5858513933756866,-1.4047824349792983,-0.4910467967919621,False,False
