panel,kind,stage,arm,seed,step,condition,nmae,mae,pinball
electricity,shape,fixed1024,ANCHOR,81551,1024,PAIRED_SHIFT8_D32,0.21141691447561936,13.7836700691955,0.1730113064483007
electricity,shape,fixed1024,ANCHOR,81551,1024,PULSE8_D32,2.9935713055057027,227.3629001838126,2.8912673944411598
electricity,shape,fixed1024,ANCHOR,81551,1024,RAMP8_D32,0.5137710333538217,36.77066136011949,0.39749417149382893
electricity,shape,fixed1024,ANCHOR,81551,1024,STEP12_D17,0.3049969746311403,19.874000610722074,0.2523250559943013
electricity,shape,fixed1024,ANCHOR,81551,1024,STEP12_D63,0.22575423358651897,15.364451525409144,0.1831744256521561
electricity,shape,fixed1024,ANCHOR,81551,1024,STEP6_D17,0.23937957894277698,15.513348999210338,0.19669218408877015
electricity,shape,fixed1024,ANCHOR,81551,1024,STEP6_D63,0.20222865831518136,13.699684263513246,0.1644716275389914
electricity,shape,fixed1024,ANCHOR,81551,1024,STEP8_D31,0.2099932452171571,13.6886454565046,0.1722649432808205
electricity,shape,fixed1024,ANCHOR,81551,1024,STEP8_D33,0.21485166213414342,13.995172602634028,0.1750482004759207
electricity,shape,fixed1024,ANCHOR,81552,1024,PAIRED_SHIFT8_D32,0.21439431680233076,13.806562321774674,0.17637228013834988
electricity,shape,fixed1024,ANCHOR,81552,1024,PULSE8_D32,2.9513016346422485,223.56563757912954,2.837703196679487
electricity,shape,fixed1024,ANCHOR,81552,1024,RAMP8_D32,0.4598898043258094,33.43416211596169,0.3584978913590227
electricity,shape,fixed1024,ANCHOR,81552,1024,STEP12_D17,0.3413246590838749,23.039669719879907,0.279439611388571
electricity,shape,fixed1024,ANCHOR,81552,1024,STEP12_D63,0.21207255262144048,14.313252021309648,0.1741857391208016
electricity,shape,fixed1024,ANCHOR,81552,1024,STEP6_D17,0.24596084737807528,16.070059249396436,0.20218572641940552
electricity,shape,fixed1024,ANCHOR,81552,1024,STEP6_D63,0.1907540715600912,12.777709720822637,0.1561953604859727
electricity,shape,fixed1024,ANCHOR,81552,1024,STEP8_D31,0.21530815073134693,13.840492847545026,0.17800486867262694
electricity,shape,fixed1024,ANCHOR,81552,1024,STEP8_D33,0.21907270445603313,14.100683029356553,0.17965347354529737
electricity,shape,fixed1024,B0,81551,768,PAIRED_SHIFT8_D32,0.21142078463748248,13.783960023444152,0.17301395010613096
