panel,kind,stage,condition,baseline,seed,TRP_nmae,baseline_nmae,gain_pct
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,PLAIN,81551,0.21142150287735134,0.2088059125347873,-1.2526418963966224
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,PLAIN,81552,0.21438907790622255,0.21016006454604297,-2.012282099986251
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,ANCHOR,81551,0.21142150287735134,0.21141691447561936,-0.002170309666738035
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,ANCHOR,81552,0.21438907790622255,0.21439431680233076,0.0024435797489119615
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,SHUFFLE,81551,0.21142150287735134,0.21146255806091857,0.01941487133405584
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,SHUFFLE,81552,0.21438907790622255,0.21366886807386334,-0.3370682115984458
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,IDEAL,81551,0.21142150287735134,0.20233094539212623,-4.4929150445114585
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,IDEAL,81552,0.21438907790622255,0.20451271013647812,-4.829219544914154
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0,81551,0.21142150287735134,0.21142078463748248,-0.0003397205577959639
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0,81552,0.21438907790622255,0.21438705495349572,-0.0009435983563843564
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,81551,0.21142150287735134,0.20549214519604123,-2.8854424949690705
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,C3,81552,0.21438907790622255,0.20594848758418766,-4.098398789447066
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,81551,0.21142150287735134,0.20558481886616045,-2.8390637223999926
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,MAG_ONLY,81552,0.21438907790622255,0.20588890323084488,-4.128524919017695
electricity,shape,fixed1024,PULSE8_D32,PLAIN,81551,2.993591010326603,2.965597166711496,-0.9439530064748736
electricity,shape,fixed1024,PULSE8_D32,PLAIN,81552,2.9513168503298544,2.9610386759809084,0.32832484526171823
electricity,shape,fixed1024,PULSE8_D32,ANCHOR,81551,2.993591010326603,2.9935713055057027,-0.0006582379001418559
electricity,shape,fixed1024,PULSE8_D32,ANCHOR,81552,2.9513168503298544,2.9513016346422485,-0.0005155585395710816
electricity,shape,fixed1024,PULSE8_D32,SHUFFLE,81551,2.993591010326603,2.9932245516998055,-0.012242938024464856
electricity,shape,fixed1024,PULSE8_D32,SHUFFLE,81552,2.9513168503298544,2.953970248827701,0.08982482131970615
electricity,shape,fixed1024,PULSE8_D32,IDEAL,81551,2.993591010326603,3.025132644512433,1.042652931039112
electricity,shape,fixed1024,PULSE8_D32,IDEAL,81552,2.9513168503298544,3.036513667293477,2.805744557690759
electricity,shape,fixed1024,PULSE8_D32,B0,81551,2.993591010326603,2.993564815341061,-0.0008750432062720748
electricity,shape,fixed1024,PULSE8_D32,B0,81552,2.9513168503298544,2.9513351355726445,0.0006195583337809119
electricity,shape,fixed1024,PULSE8_D32,C3,81551,2.993591010326603,2.9864796282574626,-0.2381192224401696
electricity,shape,fixed1024,PULSE8_D32,C3,81552,2.9513168503298544,2.9794661049227735,0.9447751241878577
electricity,shape,fixed1024,PULSE8_D32,MAG_ONLY,81551,2.993591010326603,2.985563775685048,-0.2688683024268279
electricity,shape,fixed1024,PULSE8_D32,MAG_ONLY,81552,2.9513168503298544,2.980330714815212,0.9735115751124401
electricity,shape,fixed1024,RAMP8_D32,PLAIN,81551,0.513715717706908,0.5501787954038578,6.62749600703606
electricity,shape,fixed1024,RAMP8_D32,PLAIN,81552,0.45984727180289076,0.4443455181722987,-3.4886710896409046
electricity,shape,fixed1024,RAMP8_D32,ANCHOR,81551,0.513715717706908,0.5137710333538217,0.010766595102207344
electricity,shape,fixed1024,RAMP8_D32,ANCHOR,81552,0.45984727180289076,0.4598898043258094,0.009248416146334648
electricity,shape,fixed1024,RAMP8_D32,SHUFFLE,81551,0.513715717706908,0.5139239658107576,0.04052118945669925
electricity,shape,fixed1024,RAMP8_D32,SHUFFLE,81552,0.45984727180289076,0.45869059367864334,-0.25216957578548804
electricity,shape,fixed1024,RAMP8_D32,IDEAL,81551,0.513715717706908,0.38000891470690845,-35.18517535387937
electricity,shape,fixed1024,RAMP8_D32,IDEAL,81552,0.45984727180289076,0.36777472184485455,-25.035040335609835
electricity,shape,fixed1024,RAMP8_D32,B0,81551,0.513715717706908,0.5137246579801916,0.0017402850232550726
electricity,shape,fixed1024,RAMP8_D32,B0,81552,0.45984727180289076,0.4598948315492489,0.010341439628247517
electricity,shape,fixed1024,RAMP8_D32,C3,81551,0.513715717706908,0.5391172877823662,4.711696443634061
electricity,shape,fixed1024,RAMP8_D32,C3,81552,0.45984727180289076,0.4363061336969255,-5.3955551590566975
electricity,shape,fixed1024,RAMP8_D32,MAG_ONLY,81551,0.513715717706908,0.5378923284382192,4.494693352758617
electricity,shape,fixed1024,RAMP8_D32,MAG_ONLY,81552,0.45984727180289076,0.4266079724157542,-7.791532633324283
electricity,shape,fixed1024,STEP12_D17,PLAIN,81551,0.30500569368152985,0.31502181316451155,3.1795002963020402
electricity,shape,fixed1024,STEP12_D17,PLAIN,81552,0.34128115061786823,0.3085662856970167,-10.60221626188107
electricity,shape,fixed1024,STEP12_D17,ANCHOR,81551,0.30500569368152985,0.3049969746311403,-0.002858733402222313
electricity,shape,fixed1024,STEP12_D17,ANCHOR,81552,0.34128115061786823,0.3413246590838749,0.012746944836461438
electricity,shape,fixed1024,STEP12_D17,SHUFFLE,81551,0.30500569368152985,0.3051074918960257,0.03336470496455579
electricity,shape,fixed1024,STEP12_D17,SHUFFLE,81552,0.34128115061786823,0.33936740438036117,-0.5639157481848622
electricity,shape,fixed1024,STEP12_D17,IDEAL,81551,0.30500569368152985,0.24134465091036522,-26.37764811899983
electricity,shape,fixed1024,STEP12_D17,IDEAL,81552,0.34128115061786823,0.2397257402354941,-42.36316479098632
electricity,shape,fixed1024,STEP12_D17,B0,81551,0.30500569368152985,0.30498695349387034,-0.006144586660128404
electricity,shape,fixed1024,STEP12_D17,B0,81552,0.34128115061786823,0.341316569364508,0.010377095581881601
electricity,shape,fixed1024,STEP12_D17,C3,81551,0.30500569368152985,0.29943224991193484,-1.8613371710075377
electricity,shape,fixed1024,STEP12_D17,C3,81552,0.34128115061786823,0.3010858627054494,-13.350108022754181
electricity,shape,fixed1024,STEP12_D17,MAG_ONLY,81551,0.30500569368152985,0.30090430207206453,-1.3630219246526742
electricity,shape,fixed1024,STEP12_D17,MAG_ONLY,81552,0.34128115061786823,0.2905752954697104,-17.450160402037152
electricity,shape,fixed1024,STEP12_D63,PLAIN,81551,0.22575284803289977,0.21965510897842205,-2.776051548646996
electricity,shape,fixed1024,STEP12_D63,PLAIN,81552,0.21207650785360044,0.20870337557453714,-1.616232736905876
electricity,shape,fixed1024,STEP12_D63,ANCHOR,81551,0.22575284803289977,0.22575423358651897,0.000613744246202863
electricity,shape,fixed1024,STEP12_D63,ANCHOR,81552,0.21207650785360044,0.21207255262144048,-0.0018650372766604306
