fit,rank,seed,step,output,mean_change,demeaned_change_RMS,total_change_RMS,last_train_loss
local_dev_Bear_education_Holly_H14,1,61600,0,q,0.0,0.0,0.0,
local_dev_Bear_education_Holly_H14,1,61600,0,raw,0.0,0.0,0.0,
local_dev_Bear_education_Holly_H14,1,61600,120,q,-0.21694759527842203,0.11243399393842167,0.2443515133778284,13.140059471130371
local_dev_Bear_education_Holly_H14,1,61600,120,raw,-0.21694759527842203,0.11243399393842167,0.2443515133778284,13.140059471130371
local_dev_Bear_education_Holly_H14,1,61600,13,q,-0.0042509039243062334,0.003021493449561771,0.005215324231476585,5.961386680603027
local_dev_Bear_education_Holly_H14,1,61600,13,raw,-0.0042509039243062334,0.003021493449561771,0.005215324231476585,5.961386680603027
local_tune_Panther_education_Neal_H3_r8,8,61600,0,q,0.0,0.0,0.0,
local_tune_Panther_education_Neal_H3_r8,8,61600,0,raw,0.0,0.0,0.0,
local_tune_Panther_education_Neal_H3_r8,8,61600,120,q,-5.665263811747233,50.199688632988035,50.51835263451928,0.28199440240859985
local_tune_Panther_education_Neal_H3_r8,8,61600,120,raw,-5.665263811747233,50.199688632988035,50.51835263451928,0.28199440240859985
local_tune_Panther_education_Neal_H3_r8,8,61600,2,q,-0.5093065897623698,0.3775910951824988,0.6340096509805617,18.28010368347168
local_tune_Panther_education_Neal_H3_r8,8,61600,2,raw,-0.5093065897623698,0.3775910951824988,0.6340096509805617,18.28010368347168
local_tune_Panther_education_Neal_H3_r8,8,61600,32,q,-1.3806606928507488,23.025121628415906,23.066478924017186,9.885218620300293
local_tune_Panther_education_Neal_H3_r8,8,61600,32,raw,-1.3806606928507488,23.025121628415906,23.066478924017186,9.885218620300293
local_tune_Panther_education_Neal_H3_r8,8,61600,8,q,-1.6802460352579753,1.6914486811479985,2.3841613577854686,17.055904388427734
local_tune_Panther_education_Neal_H3_r8,8,61600,8,raw,-1.6802460352579753,1.6914486811479985,2.3841613577854686,17.055904388427734
local_dev_Fox_education_Etta_H14,1,61600,0,q,0.0,0.0,0.0,
local_dev_Fox_education_Etta_H14,1,61600,0,raw,0.0,0.0,0.0,
local_dev_Fox_education_Etta_H14,1,61600,120,q,2.4745699564615884,1.8290887552898774,3.077184125812133,2.996312379837036
local_dev_Fox_education_Etta_H14,1,61600,120,raw,2.4745699564615884,1.8290887552898774,3.077184125812133,2.996312379837036
local_dev_Fox_education_Etta_H14,1,61600,13,q,0.3708502451578776,0.2469386480783314,0.4455430397261435,3.818401336669922
local_dev_Fox_education_Etta_H14,1,61600,13,raw,0.3708502451578776,0.2469386480783314,0.4455430397261435,3.818401336669922
local_tune_Rat_education_Irma_H14_r1,1,61600,0,q,0.0,0.0,0.0,
local_tune_Rat_education_Irma_H14_r1,1,61600,0,raw,0.0,0.0,0.0,
local_tune_Rat_education_Irma_H14_r1,1,61600,120,q,-0.030708154042561848,0.3152664836718254,0.31675849862552874,23.956485748291016
local_tune_Rat_education_Irma_H14_r1,1,61600,120,raw,-0.030708154042561848,0.3152664836718254,0.31675849862552874,23.956485748291016
local_tune_Rat_education_Irma_H14_r1,1,61600,13,q,-0.0015932718912760417,0.019305258581831585,0.0193708937385685,11.463823318481445
local_tune_Rat_education_Irma_H14_r1,1,61600,13,raw,-0.0015932718912760417,0.019305258581831585,0.0193708937385685,11.463823318481445
local_tune_Rat_education_Irma_H14_r1,1,61600,208,q,0.14537858963012695,0.24795796047008453,0.2874336175246884,8.657097816467285
local_tune_Rat_education_Irma_H14_r1,1,61600,208,raw,0.14537858963012695,0.24795796047008453,0.2874336175246884,8.657097816467285
local_tune_Rat_education_Irma_H14_r1,1,61600,52,q,-0.02142810821533203,0.10451978625012422,0.10669371836926313,6.010943412780762
local_tune_Rat_education_Irma_H14_r1,1,61600,52,raw,-0.02142810821533203,0.10451978625012422,0.10669371836926313,6.010943412780762
local_dev_Fox_education_Etta_H3,1,61600,0,q,0.0,0.0,0.0,
local_dev_Fox_education_Etta_H3,1,61600,0,raw,0.0,0.0,0.0,
local_dev_Fox_education_Etta_H3,1,61600,120,q,0.382083257039388,2.996398660087049,3.0206609451378834,1.281489610671997
local_dev_Fox_education_Etta_H3,1,61600,120,raw,0.382083257039388,2.996398660087049,3.0206609451378834,1.281489610671997
local_dev_Fox_education_Etta_H3,1,61600,2,q,-0.0439294179280599,0.026421081790770296,0.051262728394933524,2.565194845199585
local_dev_Fox_education_Etta_H3,1,61600,2,raw,-0.0439294179280599,0.026421081790770296,0.051262728394933524,2.565194845199585
local_tune_Rat_public_Chrissy_H14_r8,8,61600,0,q,0.0,0.0,0.0,
local_tune_Rat_public_Chrissy_H14_r8,8,61600,0,raw,0.0,0.0,0.0,
local_tune_Rat_public_Chrissy_H14_r8,8,61600,120,q,0.07001733779907227,0.7002356561795573,0.7037275053439964,3.622208595275879
local_tune_Rat_public_Chrissy_H14_r8,8,61600,120,raw,0.07001733779907227,0.7002356561795573,0.7037275053439964,3.622208595275879
local_tune_Rat_public_Chrissy_H14_r8,8,61600,13,q,0.0876768430074056,0.05390957325917257,0.10292458835832835,13.107588768005371
local_tune_Rat_public_Chrissy_H14_r8,8,61600,13,raw,0.0876768430074056,0.05390957325917257,0.10292458835832835,13.107588768005371
local_tune_Rat_public_Chrissy_H14_r8,8,61600,208,q,0.9089086850484213,1.793438652291436,2.010606176576948,3.482944965362549
local_tune_Rat_public_Chrissy_H14_r8,8,61600,208,raw,0.9089086850484213,1.793438652291436,2.010606176576948,3.482944965362549
local_tune_Rat_public_Chrissy_H14_r8,8,61600,52,q,0.1473712921142578,0.2430482807903374,0.28423716247979364,8.79171085357666
local_tune_Rat_public_Chrissy_H14_r8,8,61600,52,raw,0.1473712921142578,0.2430482807903374,0.28423716247979364,8.79171085357666
local_dev_Rat_retail_Jeffrey_H14,1,61600,0,q,0.0,0.0,0.0,
local_dev_Rat_retail_Jeffrey_H14,1,61600,0,raw,0.0,0.0,0.0,
local_dev_Rat_retail_Jeffrey_H14,1,61600,120,q,1.6518406867980957,1.8565785953700427,2.4850476324102533,1.26862370967865
local_dev_Rat_retail_Jeffrey_H14,1,61600,120,raw,1.6518406867980957,1.8565785953700427,2.4850476324102533,1.26862370967865
local_dev_Rat_retail_Jeffrey_H14,1,61600,13,q,0.4229129155476888,0.4624351620925242,0.626659088561385,2.846116542816162
local_dev_Rat_retail_Jeffrey_H14,1,61600,13,raw,0.4229129155476888,0.4624351620925242,0.626659088561385,2.846116542816162
local_dev_Rat_assembly_Kimberley_H14,1,61600,0,q,0.0,0.0,0.0,
local_dev_Rat_assembly_Kimberley_H14,1,61600,0,raw,0.0,0.0,0.0,
local_dev_Rat_assembly_Kimberley_H14,1,61600,120,q,0.10160668690999348,0.7843791429531332,0.7909327144104719,6.38966703414917
local_dev_Rat_assembly_Kimberley_H14,1,61600,120,raw,0.10160668690999348,0.7843791429531332,0.7909327144104719,6.38966703414917
