source,status,episode,building,H,arm,output,raw_RMSE,scaled_RMSE,bias,bias_squared,demeaned_MSE,demeaned_RMSE,MSE_identity_error,cache
transfer,DISCOVERY_ONLY,Rat_education_Irma_H3,Rat_education_Irma,3,local_r8_epoch16,sorted,3.9401544409451144,0.8249387721997659,-3.0153681627909346,9.092445157173175,6.432371861326331,2.5362121088990826,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H3_local_r8_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H3,Rat_education_Irma,3,local_r8_epoch16,raw,3.9401544409451144,0.8249387721997659,-3.0153681627909346,9.092445157173175,6.432371861326331,2.5362121088990826,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H3_local_r8_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H3,Rat_education_Irma,3,local_r8_fixed120,sorted,4.223846771766256,0.88433461735703,-3.4186547787984214,11.687200496601283,6.1536810547589385,2.4806614147760953,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H3_local_r8_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H3,Rat_education_Irma,3,local_r8_fixed120,raw,4.223846771766256,0.88433461735703,-3.4186547787984214,11.687200496601283,6.1536810547589385,2.4806614147760953,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H3_local_r8_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_epoch1,sorted,3.835434065845004,0.20650605176624592,-2.8701933415730796,8.238009818010442,6.472544655433896,2.544119622862474,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_epoch1,raw,3.835434065845004,0.20650605176624592,-2.8701933415730796,8.238009818010442,6.472544655433896,2.544119622862474,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_epoch4,sorted,3.859758394192716,0.2078157134427908,-2.8900281778971357,8.35226286903944,6.545471992501696,2.5584120060110913,1.7763568394002505e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_epoch4,raw,3.859758394192716,0.2078157134427908,-2.8900281778971357,8.35226286903944,6.545471992501696,2.5584120060110913,1.7763568394002505e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_epoch16,sorted,3.7044201561073886,0.19945204829182728,-2.7232214800516767,7.415935229414845,6.306793463559845,2.5113330053100973,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_epoch16,raw,3.7044201561073886,0.19945204829182728,-2.7232214800516767,7.415935229414845,6.306793463559845,2.5113330053100973,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_fixed120,sorted,3.8893792883889358,0.2094105508993172,-2.8993082237243653,8.405988176155734,6.721283072793091,2.5925437455890865,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r1_fixed120,raw,3.8893792883889358,0.2094105508993172,-2.8993082237243653,8.405988176155734,6.721283072793091,2.5925437455890865,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r1_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,F0,sorted,3.8325963314896034,0.2063532635009193,-2.8686000696818037,8.228866359778449,6.459928280369116,2.5416388965329273,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_F0.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,F0,raw,3.8325963314896034,0.2063532635009193,-2.8686000696818037,8.228866359778449,6.459928280369116,2.5416388965329273,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_F0.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,AFFINE,sorted,2.8676264282578683,0.154397703486426,1.0047860190519493,1.0095949440822642,7.213686387960714,2.685830670008948,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_AFFINE.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,AFFINE,raw,2.8676264282578683,0.154397703486426,1.0047860190519493,1.0095949440822642,7.213686387960714,2.685830670008948,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_AFFINE.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_epoch1,sorted,3.849897241062067,0.20728477280767285,-2.875987548828125,8.271304381014406,6.550404385722907,2.5593757804829886,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_epoch1,raw,3.849897241062067,0.20728477280767285,-2.875987548828125,8.271304381014406,6.550404385722907,2.5593757804829886,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_epoch4,sorted,3.8800055450579563,0.20890585320609162,-2.8994781366984053,8.406973465192056,6.647469564488429,2.578268714561853,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_epoch4,raw,3.8800055450579563,0.20890585320609162,-2.8994781366984053,8.406973465192056,6.647469564488429,2.578268714561853,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_epoch4.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_epoch16,sorted,2.683465919149992,0.14448220005858892,-1.5864108594258628,2.5166994149043047,4.684289924335207,2.1643220472783637,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_epoch16,raw,2.683465919149992,0.14448220005858892,-1.5864108594258628,2.5166994149043047,4.684289924335207,2.1643220472783637,8.881784197001252e-16,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_epoch16.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_fixed120,sorted,3.266510198736796,0.17587425897952352,-2.283976573944092,5.216548990325392,5.4535398881261115,2.3352815436529513,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_education_Irma_H14,Rat_education_Irma,14,local_r8_fixed120,raw,3.266510198736796,0.17587425897952352,-2.283976573944092,5.216548990325392,5.4535398881261115,2.3352815436529513,0.0,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_education_Irma_H14_local_r8_fixed120.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_epoch1,sorted,7.166599434087138,2.0868990684320448,-6.969011688232421,48.567123910720106,2.793023537937986,1.6712341361813987,4.884981308350689e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_epoch1.npz
transfer,DISCOVERY_ONLY,Rat_public_Chrissy_H3,Rat_public_Chrissy,3,local_r1_epoch1,raw,7.166599434087138,2.0868990684320448,-6.969011688232421,48.567123910720106,2.793023537937986,1.6712341361813987,4.884981308350689e-15,.cache/building_transfer_subspace_v1_20260915/scores/tune_Rat_public_Chrissy_H3_local_r1_epoch1.npz
