episode,building,days,seed,arm,physical_fit,reference_replicated,step,train_seconds,primary,raw_RMSE,raw_MAE,scaled_2pinball
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,STD,STD_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61680,False,0,0.0,0.5536041606386056,52.2050225632579,44.89563354492187,0.40553173832587663
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,STD_FIXED120,STD_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61680,False,120,12.65038197490503,0.33896431375384556,31.964426761616227,26.413285573323574,0.28376787866834097
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,SIMPLE,SIMPLE_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61680,False,0,0.0,0.5536041606386056,52.2050225632579,44.89563354492187,0.40553173832587663
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,SIMPLE_FIXED120,SIMPLE_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61680,False,120,12.628165966103552,0.36759421198388925,34.6642339331503,26.7741170501709,0.321281080944442
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,CANDIDATE,CANDIDATE_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61680,False,0,0.0,0.5536041606386056,52.2050225632579,44.89563354492187,0.40553173832587663
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,CANDIDATE_FIXED120,CANDIDATE_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61680,False,120,12.740807518013753,0.368476113833232,34.7473975168387,26.85259078979492,0.32432985697461897
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,F0,REFERENCE_Fox_assembly_Johnnie_Wednesday_H3,True,0,0.0,0.5536041606386056,52.2050225632579,44.89563354492187,0.40553173832587663
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,AFFINE,REFERENCE_Fox_assembly_Johnnie_Wednesday_H3,True,0,0.0,0.4637318033137481,43.73003488154468,33.209055988285435,0.40174546583705023
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61680,SEASONAL24,REFERENCE_Fox_assembly_Johnnie_Wednesday_H3,True,0,0.0,0.15623909393096475,14.733388951629554,11.054166666666662,0.11722306319557599
Fox_assembly_Johnnie_Wednesday_H3,Fox_assembly_Johnnie,3,61681,STD,STD_Fox_assembly_Johnnie_Wednesday_H3_lr3e-05_seed61681,False,0,0.0,0.5536041606386056,52.2050225632579,44.89563354492187,0.40553173832587663
