role,method,fits,updates,training_seconds,fit_wall_seconds,median_peak_allocated_MiB,maximum_peak_allocated_MiB,median_peak_reserved_MiB,trainable
DISCOVERY,STD,16,2624,274.62544906907715,420.3579148700228,525.63623046875,525.63623046875,540.0,147456
DISCOVERY,SIMPLE,16,2624,278.01209817564813,493.9880267029803,525.658203125,525.67431640625,540.0,147456
DISCOVERY,CANDIDATE,16,2624,277.2441940534336,495.3206795929873,525.658203125,525.67431640625,540.0,147456
LOCKED,STD,24,3936,414.1648462062876,960.8596743909293,525.63623046875,525.63623046875,540.0,147456
LOCKED,SIMPLE,24,3936,416.1768074413412,972.0853458619094,525.658203125,525.67431640625,540.0,147456
LOCKED,CANDIDATE,24,3936,415.9922164535965,976.6268199690385,525.658203125,525.67431640625,540.0,147456
