buffers_unchanged,building,days,frozen_unchanged,id,lr,method,origin,parameter_updated,peak_allocated,peak_reserved,planned_updates,resumes,role,seed,started_at,status,trainable,training_seconds,updates,wall_seconds,windows
True,Rat_education_Irma,3,True,STD_Rat_education_Irma_H3_lr3e-05_seed61680,3e-05,STD,2016-03-30 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493516.0078783,COMPLETE,147456,12.517036395118339,120,18.088709528994514,2
True,Rat_education_Irma,3,True,STD_Rat_education_Irma_H3_lr0.0001_seed61680,0.0001,STD,2016-03-30 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493534.192721,COMPLETE,147456,12.445219485089183,120,17.92654324200703,2
True,Rat_education_Irma,14,True,STD_Rat_education_Irma_H14_lr3e-05_seed61680,3e-05,STD,2016-03-30 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493552.2158835,COMPLETE,147456,21.605304469994735,208,31.91986024400103,13
True,Rat_education_Irma,14,True,STD_Rat_education_Irma_H14_lr0.0001_seed61680,0.0001,STD,2016-03-30 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493584.2351632,COMPLETE,147456,21.726622160174884,208,32.27642900598585,13
True,Rat_public_Chrissy,3,True,STD_Rat_public_Chrissy_H3_lr3e-05_seed61680,3e-05,STD,2016-11-26 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493616.6088057,COMPLETE,147456,12.542994059127523,120,18.57176770901424,2
True,Rat_public_Chrissy,3,True,STD_Rat_public_Chrissy_H3_lr0.0001_seed61680,0.0001,STD,2016-11-26 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493635.2853725,COMPLETE,147456,12.499970509845298,120,18.599506036000093,2
True,Rat_public_Chrissy,14,True,STD_Rat_public_Chrissy_H14_lr3e-05_seed61680,3e-05,STD,2016-11-26 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493653.9836175,COMPLETE,147456,21.683786033769138,208,32.93906817401876,13
True,Rat_public_Chrissy,14,True,STD_Rat_public_Chrissy_H14_lr0.0001_seed61680,0.0001,STD,2016-11-26 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493687.0280232,COMPLETE,147456,21.73168815174722,208,33.30792413299787,13
True,Panther_education_Neal,3,True,STD_Panther_education_Neal_H3_lr3e-05_seed61680,3e-05,STD,2017-07-05 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493720.4444516,COMPLETE,147456,12.523609805939486,120,19.036064246000024,2
True,Panther_education_Neal,3,True,STD_Panther_education_Neal_H3_lr0.0001_seed61680,0.0001,STD,2017-07-05 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493739.5895026,COMPLETE,147456,12.507707352080615,120,19.148176635993877,2
True,Panther_education_Neal,14,True,STD_Panther_education_Neal_H14_lr3e-05_seed61680,3e-05,STD,2017-07-05 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493758.8501456,COMPLETE,147456,21.98706132202642,208,34.22715717999381,13
True,Panther_education_Neal,14,True,STD_Panther_education_Neal_H14_lr0.0001_seed61680,0.0001,STD,2017-07-05 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493793.193323,COMPLETE,147456,21.79191491511301,208,34.249720652995165,13
True,Rat_lodging_Jeannette,3,True,STD_Rat_lodging_Jeannette_H3_lr3e-05_seed61680,3e-05,STD,2016-04-02 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493827.5626519,COMPLETE,147456,12.610045419249218,120,19.671225979021983,2
True,Rat_lodging_Jeannette,3,True,STD_Rat_lodging_Jeannette_H3_lr0.0001_seed61680,0.0001,STD,2016-04-02 00:00:00,True,551169536,566231040,120,0,DISCOVERY,61680,1789493847.3546724,COMPLETE,147456,12.495253229019,120,19.729632716975175,2
True,Rat_lodging_Jeannette,14,True,STD_Rat_lodging_Jeannette_H14_lr3e-05_seed61680,3e-05,STD,2016-04-02 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493867.2016068,COMPLETE,147456,21.883840509981383,208,34.950141961016925,13
True,Rat_lodging_Jeannette,14,True,STD_Rat_lodging_Jeannette_H14_lr0.0001_seed61680,0.0001,STD,2016-04-02 00:00:00,True,551169536,566231040,208,0,DISCOVERY,61680,1789493902.2813737,COMPLETE,147456,22.073395250801696,208,35.71598742500646,13
True,Rat_education_Irma,3,True,SIMPLE_Rat_education_Irma_H3_lr3e-05_seed61680,3e-05,SIMPLE,2016-03-30 00:00:00,True,551175680,568328192,120,0,DISCOVERY,61680,1789494328.6515884,COMPLETE,147456,12.714272961107781,120,20.496130523009924,2
True,Rat_education_Irma,3,True,CANDIDATE_Rat_education_Irma_H3_lr3e-05_seed61680,3e-05,CANDIDATE,2016-03-30 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494349.277595,COMPLETE,147456,12.57940302696079,120,20.25050533999456,2
True,Rat_education_Irma,3,True,SIMPLE_Rat_education_Irma_H3_lr0.0001_seed61680,0.0001,SIMPLE,2016-03-30 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494369.6530015,COMPLETE,147456,12.668790361116407,120,20.480061764013954,2
True,Rat_education_Irma,3,True,CANDIDATE_Rat_education_Irma_H3_lr0.0001_seed61680,0.0001,CANDIDATE,2016-03-30 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494390.2668154,COMPLETE,147456,12.716375596966827,120,20.632022334000794,2
True,Rat_education_Irma,14,True,SIMPLE_Rat_education_Irma_H14_lr3e-05_seed61680,3e-05,SIMPLE,2016-03-30 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494411.027276,COMPLETE,147456,21.943746222095797,208,36.4682402840117,13
True,Rat_education_Irma,14,True,CANDIDATE_Rat_education_Irma_H14_lr3e-05_seed61680,3e-05,CANDIDATE,2016-03-30 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494447.6378791,COMPLETE,147456,21.906731429044157,208,36.57666579997749,13
True,Rat_education_Irma,14,True,SIMPLE_Rat_education_Irma_H14_lr0.0001_seed61680,0.0001,SIMPLE,2016-03-30 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494484.3509214,COMPLETE,147456,22.063656340062153,208,37.12641969899414,13
True,Rat_education_Irma,14,True,CANDIDATE_Rat_education_Irma_H14_lr0.0001_seed61680,0.0001,CANDIDATE,2016-03-30 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494521.6246805,COMPLETE,147456,22.0750529190409,208,37.43862586200703,13
True,Rat_public_Chrissy,3,True,SIMPLE_Rat_public_Chrissy_H3_lr3e-05_seed61680,3e-05,SIMPLE,2016-11-26 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494559.2077043,COMPLETE,147456,12.688097904145252,120,21.375984862010228,2
True,Rat_public_Chrissy,3,True,CANDIDATE_Rat_public_Chrissy_H3_lr3e-05_seed61680,3e-05,CANDIDATE,2016-11-26 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494580.7320843,COMPLETE,147456,12.640337709221058,120,21.41328871299629,2
True,Rat_public_Chrissy,3,True,SIMPLE_Rat_public_Chrissy_H3_lr0.0001_seed61680,0.0001,SIMPLE,2016-11-26 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494602.2938185,COMPLETE,147456,12.700808602909092,120,21.637561520008603,2
True,Rat_public_Chrissy,3,True,CANDIDATE_Rat_public_Chrissy_H3_lr0.0001_seed61680,0.0001,CANDIDATE,2016-11-26 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494624.0865803,COMPLETE,147456,12.696299417089904,120,21.63988641698961,2
True,Rat_public_Chrissy,14,True,SIMPLE_Rat_public_Chrissy_H14_lr3e-05_seed61680,3e-05,SIMPLE,2016-11-26 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494645.8737743,COMPLETE,147456,22.100796606217045,208,38.67940965498565,13
True,Rat_public_Chrissy,14,True,CANDIDATE_Rat_public_Chrissy_H14_lr3e-05_seed61680,3e-05,CANDIDATE,2016-11-26 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494684.710694,COMPLETE,147456,21.88548643977265,208,38.547020872007124,13
True,Rat_public_Chrissy,14,True,SIMPLE_Rat_public_Chrissy_H14_lr0.0001_seed61680,0.0001,SIMPLE,2016-11-26 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494723.4142342,COMPLETE,147456,21.964778343652142,208,38.93732680098037,13
True,Rat_public_Chrissy,14,True,CANDIDATE_Rat_public_Chrissy_H14_lr0.0001_seed61680,0.0001,CANDIDATE,2016-11-26 00:00:00,True,551209472,566231040,208,0,DISCOVERY,61680,1789494762.5138807,COMPLETE,147456,21.905201896006474,208,39.01984289099346,13
True,Panther_education_Neal,3,True,SIMPLE_Panther_education_Neal_H3_lr3e-05_seed61680,3e-05,SIMPLE,2017-07-05 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494801.702272,COMPLETE,147456,12.662818584911292,120,22.417017010011477,2
True,Panther_education_Neal,3,True,CANDIDATE_Panther_education_Neal_H3_lr3e-05_seed61680,3e-05,CANDIDATE,2017-07-05 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494824.2975914,COMPLETE,147456,12.629277644009562,120,22.507886052015238,2
True,Panther_education_Neal,3,True,SIMPLE_Panther_education_Neal_H3_lr0.0001_seed61680,0.0001,SIMPLE,2017-07-05 00:00:00,True,551175680,566231040,120,0,DISCOVERY,61680,1789494846.97221,COMPLETE,147456,12.747701097192476,120,22.855897864996223,2
