dataset,seed,arm,role,epoch,updates,trainable,mse,mae,raw_mae,peak_mib,adaptation_step_seconds,research_step_seconds
electricity,41000,POINTWISE,selected,19,1216,606304,0.29056022955613986,0.36280492501296246,36.978294072782106,286.560546875,26.53983855585102,27.954764132824494
electricity,41000,POINTWISE,matched_old_epoch,1,64,606304,0.34364439514486267,0.3988094489335665,41.138234315921906,286.560546875,1.3987511699669994,27.954764132824494
electricity,41000,UNIFORM,selected,19,1216,606304,0.2902455368826936,0.3623582795740802,36.92416624388923,288.826171875,26.556273854657775,27.995725946646417
electricity,41000,UNIFORM,matched_old_epoch,1,64,606304,0.34475116453338495,0.399378605329662,41.194978222330576,288.826171875,1.4165792140411213,27.995725946646417
electricity,41000,CONDITIONED,selected,19,1216,606304,0.290161463797313,0.36241249685462434,36.91131330141533,286.326171875,26.405861850944348,27.750059072976
electricity,41000,CONDITIONED,matched_old_epoch,1,64,606304,0.3443593980893778,0.39916037684542777,41.171043447690906,286.326171875,1.3925463399791624,27.750059072976
electricity,41001,POINTWISE,selected,20,1280,606304,0.2895662650745193,0.3615058808330236,36.862910153673134,286.326171875,28.070049551461125,28.070049551461125
electricity,41001,POINTWISE,matched_old_epoch,3,192,606304,0.32111289726698244,0.3884749997291348,39.79453581746366,286.326171875,4.158092114696046,28.070049551461125
electricity,41001,UNIFORM,selected,17,1088,606304,0.29074369026355895,0.3626646487043872,36.9715487378042,286.326171875,23.666261688573286,27.795679819653742
electricity,41001,UNIFORM,matched_old_epoch,3,192,606304,0.3216593954956337,0.3883014535075432,39.822693629160966,286.326171875,4.146278151194565,27.795679819653742
electricity,41001,CONDITIONED,selected,17,1088,606304,0.29019383744511146,0.3623661955996065,36.94962378926685,286.326171875,23.466487766854698,27.59462766398792
electricity,41001,CONDITIONED,matched_old_epoch,3,192,606304,0.32150891744487886,0.3885244062520209,39.844335374305345,286.326171875,4.093018798273988,27.59462766398792
traffic,41000,POINTWISE,selected,19,1197,606304,0.4207387379171895,0.34614498660907755,0.01817929342450849,286.326171875,26.170647123944946,27.493222416902427
traffic,41000,POINTWISE,matched_old_epoch,1,63,606304,0.5427931419320771,0.4168507960268318,0.021762993153550216,286.326171875,1.442238368006656,27.493222416902427
traffic,41000,UNIFORM,selected,19,1197,606304,0.4212112767718049,0.34556248888176966,0.018146951445175852,286.326171875,26.24568054327392,27.562489867326804
traffic,41000,UNIFORM,matched_old_epoch,1,63,606304,0.5426487264794757,0.418191029225644,0.021832878006248765,286.326171875,1.3624423479486722,27.562489867326804
traffic,41000,CONDITIONED,selected,19,1197,606304,0.4214765878322867,0.3460370623168964,0.018166367941567903,286.326171875,26.37625901872525,27.75526784363319
traffic,41000,CONDITIONED,matched_old_epoch,1,63,606304,0.5430532454711865,0.4176926954536897,0.021807343946002675,286.326171875,1.3860116959549487,27.75526784363319
traffic,41001,POINTWISE,selected,16,1008,606304,0.42073769006298545,0.34697309138788585,0.018212698613865944,286.326171875,21.892024922912242,27.392852697055787
traffic,41001,POINTWISE,matched_old_epoch,1,63,606304,0.5219305045101084,0.40651551976450884,0.021220465867980026,286.326171875,1.3860469369974453,27.392852697055787
traffic,41001,UNIFORM,selected,16,1008,606304,0.42177467201686086,0.3462947566334641,0.018188877495003978,286.326171875,21.920452906255377,27.33437707115081
traffic,41001,UNIFORM,matched_old_epoch,1,63,606304,0.5214825331286277,0.40709406462411074,0.021245738758539922,286.326171875,1.3437520460574888,27.33437707115081
traffic,41001,CONDITIONED,selected,16,1008,606304,0.421075943622667,0.3461861685994732,0.01817013357858542,286.326171875,22.08907378456206,27.627808793622535
traffic,41001,CONDITIONED,matched_old_epoch,1,63,606304,0.5213871977032183,0.4065767909185035,0.021221678985070984,286.326171875,1.399536390119465,27.627808793622535
