dataset,seed,arm,role,baseline,epoch,baseline_epoch,updates,baseline_updates,mse,baseline_mse,gain_percent
electricity,41000,POINTWISE,selected,BALANCED_LH,19,16,1216,1024,0.29056022955613986,0.2782832353239307,-4.411690204017631
electricity,41000,POINTWISE,selected,HEAD_ONLY,19,16,1216,1024,0.29056022955613986,0.2984525082223107,2.6444001805111426
electricity,41000,POINTWISE,matched_old_epoch,BALANCED_LH,1,1,64,64,0.34364439514486267,0.3217427022293644,-6.807207362821535
electricity,41000,POINTWISE,matched_old_epoch,HEAD_ONLY,1,1,64,64,0.34364439514486267,0.35193987571991486,2.357073223965677
electricity,41000,UNIFORM,selected,BALANCED_LH,19,16,1216,1024,0.2902455368826936,0.2782832353239307,-4.2986066138114385
electricity,41000,UNIFORM,selected,HEAD_ONLY,19,16,1216,1024,0.2902455368826936,0.2984525082223107,2.7498416376195682
electricity,41000,UNIFORM,matched_old_epoch,BALANCED_LH,1,1,64,64,0.34475116453338495,0.3217427022293644,-7.151199435012587
electricity,41000,UNIFORM,matched_old_epoch,HEAD_ONLY,1,1,64,64,0.34475116453338495,0.35193987571991486,2.0425963871882837
electricity,41000,CONDITIONED,selected,BALANCED_LH,19,16,1216,1024,0.29016146379731295,0.2782832353239307,-4.268395277047727
electricity,41000,CONDITIONED,selected,HEAD_ONLY,19,16,1216,1024,0.29016146379731295,0.2984525082223107,2.7780113071865737
electricity,41000,CONDITIONED,selected,POINTWISE,19,19,1216,1216,0.29016146379731295,0.29056022955613986,0.13724030967213524
electricity,41000,CONDITIONED,selected,UNIFORM,19,19,1216,1216,0.29016146379731295,0.2902455368826936,0.028966194031312193
electricity,41000,CONDITIONED,matched_old_epoch,BALANCED_LH,1,1,64,64,0.34435939808937777,0.3217427022293644,-7.029435540667007
electricity,41000,CONDITIONED,matched_old_epoch,HEAD_ONLY,1,1,64,64,0.34435939808937777,0.35193987571991486,2.153912686088997
electricity,41000,CONDITIONED,matched_old_epoch,POINTWISE,1,1,64,64,0.34435939808937777,0.34364439514486267,-0.20806477702442644
electricity,41000,CONDITIONED,matched_old_epoch,UNIFORM,1,1,64,64,0.34435939808937777,0.34475116453338495,0.11363745341873738
electricity,41001,POINTWISE,selected,BALANCED_LH,20,8,1280,512,0.2895662650745193,0.28173688138016956,-2.7789701000434404
electricity,41001,POINTWISE,selected,HEAD_ONLY,20,16,1280,1024,0.2895662650745193,0.29600847365712485,2.176359515325132
electricity,41001,POINTWISE,matched_old_epoch,BALANCED_LH,3,3,192,192,0.32111289726698244,0.3029703911916921,-5.988210928443963
electricity,41001,POINTWISE,matched_old_epoch,HEAD_ONLY,3,3,192,192,0.32111289726698244,0.3383593632082896,5.097085470837239
electricity,41001,UNIFORM,selected,BALANCED_LH,17,8,1088,512,0.29074369026355895,0.28173688138016956,-3.196886697711332
electricity,41001,UNIFORM,selected,HEAD_ONLY,17,16,1088,1024,0.29074369026355895,0.29600847365712485,1.778592122218855
electricity,41001,UNIFORM,matched_old_epoch,BALANCED_LH,3,3,192,192,0.3216593954956337,0.3029703911916921,-6.16859100667593
electricity,41001,UNIFORM,matched_old_epoch,HEAD_ONLY,3,3,192,192,0.3216593954956337,0.3383593632082896,4.935571326978642
electricity,41001,CONDITIONED,selected,BALANCED_LH,17,8,1088,512,0.29019383744511146,0.28173688138016956,-3.001721330737054
electricity,41001,CONDITIONED,selected,HEAD_ONLY,17,16,1088,1024,0.29019383744511146,0.29600847365712485,1.9643478918609107
electricity,41001,CONDITIONED,selected,POINTWISE,17,20,1088,1280,0.29019383744511146,0.2895662650745193,-0.21672841290080136
electricity,41001,CONDITIONED,selected,UNIFORM,17,17,1088,1088,0.29019383744511146,0.29074369026355895,0.18911943297859796
electricity,41001,CONDITIONED,matched_old_epoch,BALANCED_LH,3,3,192,192,0.32150891744487886,0.3029703911916921,-6.118923430196602
electricity,41001,CONDITIONED,matched_old_epoch,HEAD_ONLY,3,3,192,192,0.32150891744487886,0.3383593632082896,4.9800441765927435
electricity,41001,CONDITIONED,matched_old_epoch,POINTWISE,3,3,192,192,0.32150891744487886,0.32111289726698244,-0.12332739708276315
electricity,41001,CONDITIONED,matched_old_epoch,UNIFORM,3,3,192,192,0.32150891744487886,0.3216593954956337,0.04678179865475027
traffic,41000,POINTWISE,selected,BALANCED_LH,19,17,1197,1071,0.4207387379171895,0.38590845762630666,-9.025529138470105
traffic,41000,POINTWISE,selected,HEAD_ONLY,19,18,1197,1134,0.4207387379171895,0.433988607100922,3.053045394956947
traffic,41000,POINTWISE,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5427931419320771,0.5092211071594134,-6.59282074145325
traffic,41000,POINTWISE,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5427931419320771,0.5617041612051538,3.366722303160888
traffic,41000,UNIFORM,selected,BALANCED_LH,19,17,1197,1071,0.4212112767718049,0.38590845762630666,-9.147977570287834
traffic,41000,UNIFORM,selected,HEAD_ONLY,19,18,1197,1134,0.4212112767718049,0.433988607100922,2.94416261626559
traffic,41000,UNIFORM,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5426487264794757,0.5092211071594134,-6.564460673386365
traffic,41000,UNIFORM,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5426487264794757,0.5617041612051538,3.392432536870303
traffic,41000,CONDITIONED,selected,BALANCED_LH,19,17,1197,1071,0.4214765878322867,0.38590845762630666,-9.216727310087187
traffic,41000,CONDITIONED,selected,HEAD_ONLY,19,18,1197,1134,0.4214765878322867,0.433988607100922,2.883029430707085
traffic,41000,CONDITIONED,selected,POINTWISE,19,19,1197,1197,0.4214765878322867,0.4207387379171895,-0.17537009279197918
traffic,41000,CONDITIONED,selected,UNIFORM,19,19,1197,1197,0.4214765878322867,0.4212112767718049,-0.06298764423287538
traffic,41000,CONDITIONED,matched_old_epoch,BALANCED_LH,1,1,63,63,0.5430532454711865,0.5092211071594134,-6.643899444879423
traffic,41000,CONDITIONED,matched_old_epoch,HEAD_ONLY,1,1,63,63,0.5430532454711865,0.5617041612051538,3.320416158917382
traffic,41000,CONDITIONED,matched_old_epoch,POINTWISE,1,1,63,63,0.5430532454711865,0.5427931419320771,-0.047919459369658655
traffic,41000,CONDITIONED,matched_old_epoch,UNIFORM,1,1,63,63,0.5430532454711865,0.5426487264794757,-0.07454527615593498
traffic,41001,POINTWISE,selected,BALANCED_LH,16,18,1008,1134,0.42073769006298545,0.3871869517414405,-8.665255420061202
