dataset,seed,arm,role,channel,mse
electricity,41000,POINTWISE,selected,column_000,0.335695838230369
electricity,41000,POINTWISE,selected,column_001,0.16715528565963558
electricity,41000,POINTWISE,selected,column_002,0.0005737104574572928
electricity,41000,POINTWISE,selected,column_003,0.16157710015656437
electricity,41000,POINTWISE,selected,column_004,0.277603041626852
electricity,41000,POINTWISE,selected,column_005,0.12578947822053302
electricity,41000,POINTWISE,selected,column_006,0.7188101688786777
electricity,41000,POINTWISE,selected,column_007,0.20116333976154538
electricity,41000,POINTWISE,selected,column_008,0.2350461747060656
electricity,41000,POINTWISE,selected,column_009,0.6089714622259144
electricity,41000,POINTWISE,selected,column_010,0.16641892513947082
electricity,41000,POINTWISE,selected,column_011,0.47374822906059316
electricity,41000,POINTWISE,selected,column_012,0.13610976552147702
electricity,41000,POINTWISE,selected,column_013,0.2057159909969351
electricity,41000,POINTWISE,selected,column_014,0.13229107865891687
electricity,41000,POINTWISE,selected,column_015,0.27821223049159705
electricity,41000,POINTWISE,selected,column_016,0.2408813255791154
electricity,41000,POINTWISE,selected,column_017,0.41053547878600616
electricity,41000,POINTWISE,selected,column_018,0.11092753482881654
electricity,41000,POINTWISE,selected,column_019,0.602269938928476
electricity,41000,POINTWISE,selected,column_020,0.33128412156381715
electricity,41000,POINTWISE,selected,column_021,0.19007956311340427
electricity,41000,POINTWISE,selected,column_022,0.1754752082657688
electricity,41000,POINTWISE,selected,column_023,0.17635728889059904
electricity,41000,POINTWISE,selected,column_024,0.2207444426787173
electricity,41000,POINTWISE,selected,column_025,0.615895650445354
electricity,41000,POINTWISE,selected,column_026,0.14578818086205023
electricity,41000,POINTWISE,selected,column_027,0.35013542135101733
electricity,41000,POINTWISE,selected,column_028,0.3682958213439225
electricity,41000,POINTWISE,selected,column_029,0.5738654206206639
electricity,41000,POINTWISE,selected,column_030,0.3421137190758189
electricity,41000,POINTWISE,selected,column_031,0.2183964096703228
electricity,41000,POINTWISE,matched_old_epoch,column_000,0.3409802074872853
electricity,41000,POINTWISE,matched_old_epoch,column_001,0.18427804363748757
electricity,41000,POINTWISE,matched_old_epoch,column_002,0.0005816999705770622
electricity,41000,POINTWISE,matched_old_epoch,column_003,0.20121757137820218
electricity,41000,POINTWISE,matched_old_epoch,column_004,0.2841672482551877
electricity,41000,POINTWISE,matched_old_epoch,column_005,0.17165035126882172
electricity,41000,POINTWISE,matched_old_epoch,column_006,0.7490948856458719
electricity,41000,POINTWISE,matched_old_epoch,column_007,0.2610652868944696
electricity,41000,POINTWISE,matched_old_epoch,column_008,0.2575891085522433
electricity,41000,POINTWISE,matched_old_epoch,column_009,0.6631586270888767
electricity,41000,POINTWISE,matched_old_epoch,column_010,0.19584934501859194
electricity,41000,POINTWISE,matched_old_epoch,column_011,0.7942249226221709
electricity,41000,POINTWISE,matched_old_epoch,column_012,0.18722331721437974
electricity,41000,POINTWISE,matched_old_epoch,column_013,0.22292236979859098
electricity,41000,POINTWISE,matched_old_epoch,column_014,0.1896626360812019
electricity,41000,POINTWISE,matched_old_epoch,column_015,0.29629395528197616
electricity,41000,POINTWISE,matched_old_epoch,column_016,0.2680730434493775
electricity,41000,POINTWISE,matched_old_epoch,column_017,0.42527526778189406
electricity,41000,POINTWISE,matched_old_epoch,column_018,0.16282975190729157
electricity,41000,POINTWISE,matched_old_epoch,column_019,0.7303474978390978
electricity,41000,POINTWISE,matched_old_epoch,column_020,0.3819204777078069
electricity,41000,POINTWISE,matched_old_epoch,column_021,0.2067370399446326
electricity,41000,POINTWISE,matched_old_epoch,column_022,0.19992159625498035
electricity,41000,POINTWISE,matched_old_epoch,column_023,0.20480618526492794
electricity,41000,POINTWISE,matched_old_epoch,column_024,0.2398790471364708
electricity,41000,POINTWISE,matched_old_epoch,column_025,0.7798531768953411
electricity,41000,POINTWISE,matched_old_epoch,column_026,0.1873933149256428
electricity,41000,POINTWISE,matched_old_epoch,column_027,0.3593625804392952
electricity,41000,POINTWISE,matched_old_epoch,column_028,0.4055696288328872
electricity,41000,POINTWISE,matched_old_epoch,column_029,0.7521228159154587
electricity,41000,POINTWISE,matched_old_epoch,column_030,0.3809987802792533
electricity,41000,POINTWISE,matched_old_epoch,column_031,0.31157086386531224
electricity,41000,UNIFORM,selected,column_000,0.3375821160192266
electricity,41000,UNIFORM,selected,column_001,0.16667550502833
electricity,41000,UNIFORM,selected,column_002,0.0005753726934155189
electricity,41000,UNIFORM,selected,column_003,0.16111420124572934
electricity,41000,UNIFORM,selected,column_004,0.2744036354488586
electricity,41000,UNIFORM,selected,column_005,0.12467151152992544
electricity,41000,UNIFORM,selected,column_006,0.7184260215607092
electricity,41000,UNIFORM,selected,column_007,0.19948803800236736
electricity,41000,UNIFORM,selected,column_008,0.23567053969914722
electricity,41000,UNIFORM,selected,column_009,0.605117762590501
electricity,41000,UNIFORM,selected,column_010,0.16672096630357688
