dataset,role,baseline,gain_percent,descriptive_ci_low,descriptive_ci_high,origin_count,blocks,bootstrap_draws,bootstrap_seed
electricity,selected,POINTWISE,-0.03944081400916456,-0.33729074461711994,0.26817035667923034,54,8,2000,9018
electricity,selected,UNIFORM,0.1091114730202165,-0.19978094204166355,0.39762830602371957,54,8,2000,9018
electricity,selected,BALANCED_LH,-3.6311525125210764,-5.442816315418529,-2.0584587484139902,54,8,2000,9018
electricity,selected,HEAD_ONLY,2.372852225290698,1.9195223795357086,2.8570076016079877,54,8,2000,9018
electricity,matched_old_epoch,POINTWISE,-0.16713214508419244,-0.24083948589092033,-0.0961016749232295,54,8,2000,9018
electricity,matched_old_epoch,UNIFORM,0.08136793251573524,-0.035093575921006925,0.19614274947745555,54,8,2000,9018
electricity,matched_old_epoch,BALANCED_LH,-6.587859698573884,-8.385433123335918,-5.0228459100464375,54,8,2000,9018
electricity,matched_old_epoch,HEAD_ONLY,3.5391786657451014,2.6422467114119317,4.390776623165737,54,8,2000,9018
traffic,selected,POINTWISE,-0.1278827830462026,-0.23749654986650104,-0.04756670253064833,36,8,2000,9018
traffic,selected,UNIFORM,0.05141453832473144,-0.16234089931174828,0.2469413135811982,36,8,2000,9018
traffic,selected,BALANCED_LH,-8.9842885167317,-12.387373107460093,-5.999452091560467,36,8,2000,9018
traffic,selected,HEAD_ONLY,3.5708551091119403,2.5415094689912903,4.621379286474244,36,8,2000,9018
traffic,matched_old_epoch,POINTWISE,0.026598758159168828,-0.08887837319862235,0.10816687250838707,36,8,2000,9018
traffic,matched_old_epoch,UNIFORM,-0.02905502150319792,-0.10108938959421936,0.07362881194556767,36,8,2000,9018
traffic,matched_old_epoch,BALANCED_LH,-4.9610973487216885,-6.963793847043497,-3.142420192240502,36,8,2000,9018
traffic,matched_old_epoch,HEAD_ONLY,3.92890211120604,2.9647917948927476,4.8173786267653895,36,8,2000,9018
