dataset,role,arm,mse,mae
electricity,selected,POINTWISE,0.2900632473153296,0.36215540292299303
electricity,selected,UNIFORM,0.2904946135731263,0.3625114641392337
electricity,selected,CONDITIONED,0.29017765062121226,0.3623893462271154
electricity,selected,BALANCED_LH,0.2800100583520501,0.3558186676775821
electricity,selected,HEAD_ONLY,0.29723049093971776,0.36752116930040984
electricity,matched_old_epoch,POINTWISE,0.33237864620592256,0.39364222433135065
electricity,matched_old_epoch,UNIFORM,0.33320528001450933,0.39384002941860263
electricity,matched_old_epoch,CONDITIONED,0.3329341577671283,0.39384239154872436
electricity,matched_old_epoch,BALANCED_LH,0.31235654671052826,0.37891690585491034
electricity,matched_old_epoch,HEAD_ONLY,0.34514961946410216,0.4058373165703178
traffic,selected,POINTWISE,0.4207382139900875,0.3465590389984817
traffic,selected,UNIFORM,0.42149297439433286,0.3459286227576169
traffic,selected,CONDITIONED,0.42127626572747684,0.3461116154581848
traffic,selected,BALANCED_LH,0.38654770468387356,0.3232548740078474
traffic,selected,HEAD_ONLY,0.43687649227229086,0.3554363020194813
traffic,matched_old_epoch,POINTWISE,0.5323618232210927,0.41168315789567034
traffic,matched_old_epoch,UNIFORM,0.5320656298040517,0.41264254692487734
traffic,matched_old_epoch,CONDITIONED,0.5322202215872024,0.4121347431860966
traffic,matched_old_epoch,BALANCED_LH,0.5070642695540419,0.4110988390386173
traffic,matched_old_epoch,HEAD_ONLY,0.5539857806176712,0.4397642004645712
