dataset,seed,arm,role,level_mse,daily_mse,remainder_mse
electricity,41000,POINTWISE,selected,0.07863771028337278,0.0715775091195947,0.14034501015317233
electricity,41000,POINTWISE,matched_old_epoch,0.09026065245465213,0.09176167518923473,0.1616220675009758
electricity,41000,UNIFORM,selected,0.07859482979314543,0.0716180047102552,0.14003270237929297
electricity,41000,UNIFORM,matched_old_epoch,0.09068515072245624,0.09244807469406437,0.1616179391168644
electricity,41000,CONDITIONED,selected,0.07834929937397653,0.07198999691948654,0.13982216750384985
electricity,41000,CONDITIONED,matched_old_epoch,0.09062214281480215,0.09217093907761846,0.16156631619695716
electricity,41001,POINTWISE,selected,0.07848858111362055,0.07014399259652294,0.14093369136437578
electricity,41001,POINTWISE,matched_old_epoch,0.08912476068388153,0.08250808627717451,0.14948005030592643
electricity,41001,UNIFORM,selected,0.07830035023543841,0.07204281705366439,0.14040052297445613
electricity,41001,UNIFORM,matched_old_epoch,0.0894276292782786,0.08266493890259252,0.14956682731476262
electricity,41001,CONDITIONED,selected,0.0779006119892796,0.07215338401217324,0.14013984144365862
electricity,41001,CONDITIONED,matched_old_epoch,0.08921106350703566,0.08293217382982285,0.1493656801080204
traffic,41000,POINTWISE,selected,0.03853440327904925,0.163497543674087,0.21870679096405327
traffic,41000,POINTWISE,matched_old_epoch,0.04603099715013999,0.23546541120278786,0.26129673357914923
traffic,41000,UNIFORM,selected,0.038280468417152574,0.16428248446965638,0.21864832388499597
traffic,41000,UNIFORM,matched_old_epoch,0.046290740166247124,0.23533056617327633,0.2610274201399523
traffic,41000,CONDITIONED,selected,0.03837019608802027,0.16435881322760781,0.21874757851665855
traffic,41000,CONDITIONED,matched_old_epoch,0.04596970719942356,0.23569603989877386,0.2613874983729891
traffic,41001,POINTWISE,selected,0.038501435357376684,0.1633236401832735,0.21891261452233526
traffic,41001,POINTWISE,matched_old_epoch,0.04343567812299382,0.22805777686531734,0.25043704952179724
traffic,41001,UNIFORM,selected,0.03829523371312877,0.16429715956387925,0.21918227873985285
traffic,41001,UNIFORM,matched_old_epoch,0.04318684722298157,0.22818380584215828,0.25011188006348783
traffic,41001,CONDITIONED,selected,0.03830005778114385,0.16405444461546126,0.21872144122606182
traffic,41001,CONDITIONED,matched_old_epoch,0.04308085483735554,0.22806599491299626,0.2502403479528666
