experiment,hypothetical_min_gain_percent,all_dataset_means_meet_threshold,unchanged_seed_checks,combined_counterfactual,scope
overnight_20260913/anchor,1.0,False,True,False,retrospective_sensitivity_only_not_a_new_PASS
overnight_20260913/anchor,0.5,False,True,False,retrospective_sensitivity_only_not_a_new_PASS
overnight_20260913/anchor,0.0,True,True,True,retrospective_sensitivity_only_not_a_new_PASS
overnight_20260913/drift,1.0,False,False,False,retrospective_sensitivity_only_not_a_new_PASS
overnight_20260913/drift,0.5,False,False,False,retrospective_sensitivity_only_not_a_new_PASS
overnight_20260913/drift,0.0,False,False,False,retrospective_sensitivity_only_not_a_new_PASS
calibration_anchor_20260914/calibration,1.0,False,False,False,retrospective_sensitivity_only_not_a_new_PASS
calibration_anchor_20260914/calibration,0.5,False,False,False,retrospective_sensitivity_only_not_a_new_PASS
calibration_anchor_20260914/calibration,0.0,False,False,False,retrospective_sensitivity_only_not_a_new_PASS
