experiment,fits,stream_attempts,historical_verdict
candidate_01,6,0,FAIL
candidate_02,6,0,WEAK
candidate_03,6,0,FAIL
candidate_04,8,0,FAIL
candidate_05,0,4,IMPLEMENTATION_BLOCKED
candidate_05_repaired,0,5,FAIL
candidate_06,0,0,NOVELTY_COLLISION
candidate_07,8,0,FAIL
candidate_01_v2,12,0,FAIL
memory_feasibility,0,0,STOP
local_backward_feasibility,0,0,STOP
forecast_query_checkpoint_diagnostic,0,0,TRADEOFF_ONLY
forecast_query_pilot,16,0,FAIL
block_shape_pilot,48,0,STOP
forecast_query_equal_time,32,0,STOP_CURRENT_QUERY
overnight_20260913/anchor,32,0,PILOT_STOP
overnight_20260913/drift,32,0,PILOT_STOP
calibration_anchor_20260914/calibration,56,0,PILOT_STOP
overnight_20260913/distill,8,0,STOP_NO_TEACHER_HEADROOM
