dataset,arm,min_updates,max_updates,median_step_seconds,peak_allocated_mib,min_active_seconds,max_active_seconds
ettm2,standard,245,251,0.12079490395262837,1830.3095703125,30.061746439896524,30.11047455109656
ettm2,head,654,702,0.043921006843447685,610.83642578125,30.001243352424353,30.010905004572123
ettm2,side,366,379,0.08017867780290544,758.99609375,30.045336531009525,30.076254398096353
ettm2,query,211,218,0.13851088215596974,947.970703125,30.006932641379535,30.077295468654484
electricity,standard,237,250,0.12190699484199286,1830.3095703125,30.02555378479883,30.091857148800045
electricity,head,665,684,0.04402596247382462,611.58642578125,30.00826591346413,30.027564940042794
electricity,side,372,380,0.07931117014959455,758.99609375,30.001838935073465,30.066288729198277
electricity,query,216,222,0.13615015288814902,947.970703125,30.039982875343412,30.08716007275507
