dataset,arm,seed30000_loss,seed30001_loss,mean_loss
ettm2,F0,0.26379622199707303,0.26379622199707303,0.26379622199707303
ettm2,standard,0.25973042403473656,0.26423198281268984,0.2619812034237132
ettm2,head,0.26600557200867236,0.26379622199707303,0.26490089700287267
ettm2,side,0.26379622199707303,0.2644866430432284,0.2641414325201507
ettm2,query,0.26271871729404916,0.26317800884077425,0.2629483630674117
electricity,F0,0.08708946220613872,0.08708946220613872,0.08708946220613872
electricity,standard,0.08417055632922868,0.08381966883215095,0.08399511258068981
electricity,head,0.08708946220613872,0.08708946220613872,0.08708946220613872
electricity,side,0.08708946220613872,0.08446112099687755,0.08577529160150814
electricity,query,0.0849007731783245,0.08503006900620086,0.08496542109226268
