panel,kind,condition,seed,arm,nmae,mae,normalized_mse,pinball,crossing
electricity,standard,REFERENCE,81551,C3,0.16754423259057,10.910588315367932,0.14262864206548143,0.13972787445939758,0.001499176025390625
electricity,standard,REFERENCE,81551,C3_W_MAG_G,0.1675335425991202,10.90833183414361,0.14258348770531576,0.1397096476807925,0.0014801025390625
electricity,standard,REFERENCE,81551,MAG_W_C3_G,0.16752964592519629,10.907773334169178,0.14262059053311862,0.13970221822593765,0.00148773193359375
electricity,standard,REFERENCE,81551,MAG_ONLY,0.16752461670368174,10.905884707943187,0.14258252463428575,0.13968670945759595,0.001491546630859375
electricity,standard,REFERENCE,81552,C3,0.1661617099968634,10.82763075720868,0.14159734593200546,0.13843578511980592,0.001514434814453125
electricity,standard,REFERENCE,81552,C3_W_MAG_G,0.16616962462399146,10.823851492707036,0.14159416279199075,0.1384304467133038,0.001514434814453125
electricity,standard,REFERENCE,81552,MAG_W_C3_G,0.1662557698994369,10.837015301673091,0.14171013569219973,0.13851168996721283,0.001468658447265625
electricity,standard,REFERENCE,81552,MAG_ONLY,0.16625464002449902,10.832169518223964,0.14169757608882297,0.1384989046761379,0.001483917236328125
electricity,standard,REFERENCE,81553,C3,0.16878072192141455,10.974590436337166,0.1422783693321133,0.14064932564380278,0.0011444091796875
electricity,standard,REFERENCE,81553,C3_W_MAG_G,0.16877511054489983,10.973263613996096,0.1422480804972458,0.14063662038563304,0.001148223876953125
electricity,standard,REFERENCE,81553,MAG_W_C3_G,0.1688651502755467,10.979920888319612,0.14234835682213157,0.14073428154374198,0.001186370849609375
electricity,standard,REFERENCE,81553,MAG_ONLY,0.1688582795698233,10.978370172553696,0.14231285147550912,0.14071792744957348,0.00118255615234375
electricity,standard,POINT4,81551,C3,0.16838752774103158,10.984823139820946,0.14291526661204543,0.14030696048419558,0.00102996826171875
electricity,standard,POINT4,81551,C3_W_MAG_G,0.16837816815105258,10.983210108490312,0.14287831228386358,0.14029343835785407,0.001033782958984375
electricity,standard,POINT4,81551,MAG_W_C3_G,0.16836469015505567,10.982052764680702,0.1428940197111203,0.14027683584850667,0.0010280609130859375
electricity,standard,POINT4,81551,MAG_ONLY,0.16836168083364866,10.980852925873478,0.14286601631793622,0.14026721815001578,0.001033782958984375
electricity,standard,POINT4,81552,C3,0.16687565114038316,10.891607251869573,0.14158662561212623,0.13887659719886383,0.000888824462890625
electricity,standard,POINT4,81552,C3_W_MAG_G,0.16686710104620453,10.886737466280465,0.14156003269780584,0.13885626372222296,0.00089263916015625
electricity,standard,POINT4,81552,MAG_W_C3_G,0.16697142340000745,10.900870140954794,0.14170139026218231,0.13895611961255475,0.0008487701416015625
electricity,standard,POINT4,81552,MAG_ONLY,0.16695427999960413,10.89476408786868,0.14166283334552815,0.13892709650850818,0.0008754730224609375
electricity,standard,POINT4,81553,C3,0.16977871212985848,11.059621045336826,0.14291430148802128,0.14140143363906424,0.00075531005859375
electricity,standard,POINT4,81553,C3_W_MAG_G,0.16977012586808507,11.057993055845145,0.14287913680386535,0.14138614061482999,0.0007495880126953125
electricity,standard,POINT4,81553,MAG_W_C3_G,0.1698535750797283,11.064422793984704,0.1429877504788286,0.14148273045732446,0.0007877349853515625
electricity,standard,POINT4,81553,MAG_ONLY,0.16984381751106759,11.062520893436158,0.1429434344405949,0.14146370041840195,0.0007762908935546875
electricity,standard,POINT8,81551,C3,0.1701542118742549,11.092116063657159,0.14412893189462572,0.1414219130883909,0.0009937286376953125
electricity,standard,POINT8,81551,C3_W_MAG_G,0.1701357482458141,11.0901173674647,0.14409379766063307,0.1414019211654851,0.0010128021240234375
electricity,standard,POINT8,81551,MAG_W_C3_G,0.17013080373087605,11.089544044320064,0.1441133050645738,0.14138784404404026,0.0009746551513671875
electricity,standard,POINT8,81551,MAG_ONLY,0.1701191804010054,11.088046639946697,0.14408734160945597,0.14137218786796904,0.000988006591796875
electricity,standard,POINT8,81552,C3,0.1681850062114916,10.978912229533307,0.1430123083609527,0.13971845853191076,0.0007686614990234375
electricity,standard,POINT8,81552,C3_W_MAG_G,0.16818051629029165,10.973591085421504,0.14300386642314114,0.13971438093369606,0.0007724761962890625
electricity,standard,POINT8,81552,MAG_W_C3_G,0.16829478754297308,10.990594253409654,0.14313960897507888,0.13980089177428073,0.000736236572265625
electricity,standard,POINT8,81552,MAG_ONLY,0.16827686166560082,10.9838338761474,0.1431141266222996,0.1397866806761096,0.0007419586181640625
electricity,standard,POINT8,81553,C3,0.17104817306744216,11.137995595177927,0.14444021319054945,0.1421240886220646,0.0005817413330078125
electricity,standard,POINT8,81553,C3_W_MAG_G,0.17103490815177394,11.135883518669289,0.1444054482097116,0.14210109362440013,0.000576019287109375
electricity,standard,POINT8,81553,MAG_W_C3_G,0.17111986518234942,11.142332816380076,0.14450899992076643,0.1421960995535783,0.0006084442138671875
electricity,standard,POINT8,81553,MAG_ONLY,0.1711074642879232,11.140256747392414,0.14447131316717404,0.14217037768649143,0.00060272216796875
electricity,standard,POINT16,81551,C3,0.1710456026679815,11.18628117161279,0.14328952423251856,0.1418520200742962,0.0009250640869140625
electricity,standard,POINT16,81551,C3_W_MAG_G,0.17101857986926536,11.183363562246086,0.14322367133687133,0.14182681563030805,0.0009307861328125
