panel,kind,condition,family,stratum,contexts,fraction,status,A,B,C,D,total,gate,weights,interaction,MAG_gain_pct,weighted_total,weighted_gate,weighted_weights,bootstrap_nonempty,posthoc,total_low,total_high,gate_low,gate_high,weights_low,weights_high,interaction_low,interaction_high,MAG_gain_pct_low,MAG_gain_pct_high
electricity,standard,REFERENCE,ALL,ALL,1024,1.0,SCORED,0.16749555483628273,0.16749275925600393,0.1675501887000601,0.16754584543266815,-5.029059638542166e-05,3.5694238353783936e-06,-5.386002022080005e-05,-1.5476871131625547e-06,-0.030025033461083685,-5.029059638542166e-05,3.5694238353783936e-06,-5.386002022080005e-05,2000.0,True,-9.928617184416025e-05,-4.2765387041635225e-06,-3.0323185278183577e-05,3.618667156104475e-05,-9.838993510903026e-05,-9.343568280927812e-06,-5.921392067428921e-06,2.978315340493305e-06,-0.05516642177568596,-0.0027686895328485643
electricity,standard,REFERENCE,gate,EQUAL,406,0.396484375,SCORED,0.06609950750932984,0.06609950750932984,0.06615988546112113,0.06615988546112113,-6.037795179128502e-05,0.0,-6.037795179128502e-05,0.0,-0.09134402670513508,-2.3938914479747773e-05,0.0,-2.3938914479747773e-05,2000.0,True,-0.00010544104784253276,-1.7775235763847784e-05,0.0,0.0,-0.00010544104784253276,-1.7775235763847784e-05,0.0,0.0,-0.16452444455165605,-0.025634857303600336
electricity,standard,REFERENCE,gate,DIFFERENT,618,0.603515625,SCORED,0.2341084920769669,0.2341038599180585,0.23415935231657992,0.23415215570523795,-4.366362827104564e-05,5.914385125191379e-06,-4.957801339623702e-05,-2.5644524335455277e-06,-0.01865102281581931,-2.635168190576778e-05,3.5694238353205785e-06,-2.9921105741088357e-05,2000.0,True,-0.00011591307646749983,3.097184299148678e-05,-4.863508295758073e-05,6.294518664950756e-05,-0.00011228885118318918,1.3783119771719706e-05,-9.796320958142812e-06,4.91974962987876e-06,-0.04599919557089471,0.014693158635989908
electricity,standard,REFERENCE,magnitude,LE3,404,0.39453125,SCORED,0.06548846576557181,0.06548846576557181,0.0655456276641512,0.0655456276641512,-5.716189857939147e-05,0.0,-5.716189857939147e-05,0.0,-0.08728544471329219,-2.255215529890054e-05,0.0,-2.255215529890054e-05,2000.0,True,-0.00010222962385517763,-1.5702864439125048e-05,0.0,0.0,-0.00010222962385517763,-1.5702864439125048e-05,0.0,0.0,-0.16101342167546215,-0.022971238710198582
electricity,standard,REFERENCE,magnitude,GT3_LE6,270,0.263671875,SCORED,0.2163063432864978,0.2162372504921892,0.2163569101084216,0.21628514520461276,2.1198081885054343e-05,7.042884905872349e-05,-4.923076717366914e-05,-2.672109500223563e-06,0.00980002785076787,5.589337997035813e-06,1.8570106685405607e-05,-1.2980768688369794e-05,2000.0,True,-8.855669684293341e-05,0.00014197656024819843,1.5648166233693528e-05,0.00014076374224094223,-0.00013337176029215892,3.76774961845426e-05,-1.1138598953686769e-05,7.340107916733309e-06,-0.040956402396396106,0.06565077186565271
electricity,standard,REFERENCE,magnitude,GT6_LE12,202,0.197265625,SCORED,0.2809707942932747,0.2810313995270554,0.28105931067075396,0.28110849671575083,-0.00013770242247612696,-5.489563938879116e-05,-8.28067830873358e-05,-1.141918878383441e-05,-0.04900951460897906,-2.7163954433767233e-05,-1.0829022613804507e-05,-1.6334931819962726e-05,2000.0,True,-0.00025260804744511314,-2.3074055299371368e-05,-0.00016555426044354699,6.108220733345297e-05,-0.00020021237182663438,3.54742229079399e-05,-2.9476002444622786e-05,3.5038079417376434e-06,-0.0793178309193797,-0.009887093063294734
electricity,standard,REFERENCE,magnitude,GT12,148,0.14453125,SCORED,0.2020222624896387,0.20204624980743743,0.20203117005255622,0.20206490949262168,-4.264700298298174e-05,-2.8863378932098005e-05,-1.3783624050883736e-05,9.752122266726282e-06,-0.021110051168330528,-6.16382464988408e-06,-4.17166023627979e-06,-1.99216441360429e-06,2000.0,True,-0.00015251250867496236,4.9422789680109154e-05,-9.779821865813672e-05,2.3307245192663925e-05,-8.968898609177379e-05,5.814000334125046e-05,-1.8485460768068173e-06,2.3640060677751476e-05,-0.06559715119424316,0.027300719541040443
electricity,standard,REFERENCE,run,NONE,404,0.39453125,SCORED,0.06548846576557181,0.06548846576557181,0.0655456276641512,0.0655456276641512,-5.716189857939147e-05,0.0,-5.716189857939147e-05,0.0,-0.08728544471329219,-2.255215529890054e-05,0.0,-2.255215529890054e-05,2000.0,True,-0.00010222962385517763,-1.5702864439125048e-05,0.0,0.0,-0.00010222962385517763,-1.5702864439125048e-05,0.0,0.0,-0.16101342167546215,-0.022971238710198582
electricity,standard,REFERENCE,run,LEN1_7,454,0.443359375,SCORED,0.19826952578240564,0.19821723578901607,0.19833087144109438,0.1982717770103456,-2.2512279399533597e-06,5.569221206917774e-05,-5.79434400091311e-05,-6.804437359203552e-06,-0.0011354382026534976,-9.98103012440259e-07,2.46916643353581e-05,-2.5689767347798358e-05,2000.0,True,-7.844697539706874e-05,7.546202926947617e-05,1.0590128941473723e-05,0.00010640189337445051,-0.00011265255498074146,-6.846207504631552e-06,-1.4006342773638381e-05,2.9693385355313734e-07,-0.03871680398367853,0.03899352308880801
electricity,standard,REFERENCE,run,LEN8_31,140,0.13671875,SCORED,0.26140886334246455,0.26152965164264846,0.26138409850811833,0.26151414227181075,-0.00010527892934619754,-0.00012541603193816364,2.0137102591966105e-05,9.255463508495154e-06,-0.04027366478705602,-1.4393603621550444e-05,-1.714672311654581e-05,2.753119494995366e-06,2000.0,True,-0.0002459427615076878,2.6056612215544708e-05,-0.0002602518044613901,1.0289174645576214e-05,-0.00013356963927147817,0.0001367032077247566,-1.1118538018378004e-05,2.6192058543469944e-05,-0.08587079967880173,0.012007149518063719
