baseline,candidate,variant,window,effect,relative_percent,ci95_low,ci95_high,bootstrap_block,draws
F0_NATIVE,COMPONENT,ordered,block1,-0.011369526596150797,-5.050618728975802,-0.021128328320267994,-0.004549403828700817,7,2000
F0_NATIVE,COMPONENT,ordered,block2,-0.010086746080812585,-3.5669028927923434,-0.03231507454436262,0.0045164775858997554,7,2000
F0_NATIVE,COMPONENT,ordered,full128,-0.01072813633848169,-4.224517341290413,-0.026162814483930485,-0.00045499384609973124,7,2000
F0_NATIVE,COMPONENT,affine,block1,-0.011792761073297528,-5.238629721249556,-0.02171023868115892,-0.00474936931976709,7,2000
F0_NATIVE,COMPONENT,affine,block2,-0.013169276783931273,-4.71825259582767,-0.03427965247198098,0.0004549650181367853,7,2000
F0_NATIVE,COMPONENT,affine,full128,-0.012481018928614395,-4.950575285311864,-0.02764363096204616,-0.0030114443144992208,7,2000
F0_NATIVE,MIXTURE,ordered,block1,-0.0005729476577626799,-0.2545172084824323,-0.004026657622382609,0.0020464333924620514,7,2000
F0_NATIVE,MIXTURE,ordered,block2,-0.0028401882731836667,-1.0043551891292921,-0.011901953947966951,0.002616768494992196,7,2000
F0_NATIVE,MIXTURE,ordered,full128,-0.0017065679654731704,-0.672011031251727,-0.007986633780181282,0.0020240944442308645,7,2000
F0_NATIVE,MIXTURE,affine,block1,-0.0005729476577626799,-0.2545172084824323,-0.004026657622382609,0.0020464333924620514,7,2000
F0_NATIVE,MIXTURE,affine,block2,-0.005169904960273899,-1.852259459589957,-0.013745770975865716,-0.00018775084166178224,7,2000
F0_NATIVE,MIXTURE,affine,full128,-0.002871426309018289,-1.1389464434213792,-0.008888656264054962,0.0006910304926568004,7,2000
CHRONOS2_DIRECT,COMPONENT,ordered,block1,-0.012638241741625117,-5.646033388211762,-0.023726085399215842,-0.004183413883373185,7,2000
CHRONOS2_DIRECT,COMPONENT,ordered,block2,-0.0076551864098119505,-2.6839698299834533,-0.02420584612616674,0.003246975571922011,7,2000
CHRONOS2_DIRECT,COMPONENT,ordered,full128,-0.010146714075718525,-3.9864382955088593,-0.022912491985857604,-0.0013349806819109929,7,2000
CHRONOS2_DIRECT,COMPONENT,affine,block1,-0.013061476218771854,-5.835110004869757,-0.024347340254897105,-0.0045627704754035905,7,2000
CHRONOS2_DIRECT,COMPONENT,affine,block2,-0.007063914393697284,-2.4766651129446555,-0.02319055495100794,0.0036362942455513015,7,2000
CHRONOS2_DIRECT,COMPONENT,affine,full128,-0.010062695306234557,-3.9534290239641114,-0.022613021243135772,-0.0015182688217732128,7,2000
CHRONOS2_DIRECT,MIXTURE,ordered,block1,-0.0018416628032370014,-0.8227481234716953,-0.007207034096426134,0.0028524026531232473,7,2000
CHRONOS2_DIRECT,MIXTURE,ordered,block2,-0.0004086286021830346,-0.14326846940291377,-0.008939537552379058,0.008858711760519996,7,2000
CHRONOS2_DIRECT,MIXTURE,ordered,full128,-0.0011251457027100058,-0.4420469408952717,-0.0071931933646607995,0.004902301295219309,7,2000
CHRONOS2_DIRECT,MIXTURE,affine,block1,-0.0018416628032370014,-0.8227481234716953,-0.007207034096426134,0.0028524026531232473,7,2000
CHRONOS2_DIRECT,MIXTURE,affine,block2,0.0009354574299600916,0.3279788871017318,-0.007337529676309164,0.009574856773743154,7,2000
CHRONOS2_DIRECT,MIXTURE,affine,full128,-0.0004531026866384499,-0.1780148615930473,-0.00649396173546921,0.005516076909903138,7,2000
