seed,selected,variant,window,component,mixture,effect,relative_percent,ci95_low,ci95_high,bootstrap_block,draws
92231,True,ordered,block1,0.23655787901055142,0.22483881663237862,0.011719062378172782,4.9539936810348575,0.006056722574370205,0.019557759522243874,7,2000
92232,True,ordered,block1,0.2364042936155332,0.22653019811692973,0.009874095498603457,4.176783487131503,0.005132588041227788,0.016413681125838717,7,2000
92231,True,ordered,block2,0.2930720924632643,0.2838901754591113,0.00918191700415302,3.132989199680935,-0.0023785508884792087,0.025874921719314204,7,2000
92232,True,ordered,block2,0.2926758705478448,0.2873646719367399,0.005311198611104809,1.8147032760722956,-0.003286780168531606,0.018106843672725685,7,2000
92231,True,ordered,full128,0.2648149857369078,0.25436449604574496,0.010450489691162903,3.9463362173715346,0.0023092165462111182,0.02251700523184588,7,2000
92232,True,ordered,full128,0.26454008208168894,0.25694743502683487,0.0075926470548541335,2.87013105730779,0.0015242155403520153,0.016796303768321568,7,2000
92231,True,affine,block1,0.23740434796484494,0.22483881663237862,0.012565531332466257,5.292881718546721,0.006923969942964879,0.020698365000058415,7,2000
92232,True,affine,block1,0.2364042936155332,0.22653019811692973,0.009874095498603457,4.176783487131503,0.005132588041227788,0.016413681125838717,7,2000
92231,True,affine,block2,0.29188954843103493,0.2812020033948251,0.010687545036209932,3.6615031588686677,-0.00017707116685124145,0.026547730216834084,7,2000
92232,True,affine,block2,0.2926758705478448,0.2873646719367399,0.005311198611104809,1.8147032760722956,-0.003286780168531606,0.018106843672725685,7,2000
92231,True,affine,full128,0.26464694819794,0.25302041001360187,0.011626538184338089,4.3932258669547055,0.00436064896293935,0.023019097833275094,7,2000
92232,True,affine,full128,0.26454008208168894,0.25694743502683487,0.0075926470548541335,2.87013105730779,0.0015242155403520153,0.016796303768321568,7,2000
92231,False,ordered,block1,0.23448512647610922,0.22483881663237862,0.009646309843730593,4.113825891090551,0.004724760185699653,0.01622880861088839,7,2000
92232,False,ordered,block1,0.2364042936155332,0.22653019811692973,0.009874095498603457,4.176783487131503,0.005132588041227788,0.016413681125838717,7,2000
92231,False,ordered,block2,0.28772694856534203,0.2838901754591113,0.003836773106230758,1.3334771474696905,-0.0027541566220007124,0.014283175770312762,7,2000
92232,False,ordered,block2,0.2926758705478448,0.2873646719367399,0.005311198611104809,1.8147032760722956,-0.003286780168531606,0.018106843672725685,7,2000
92231,False,ordered,full128,0.26110603752072564,0.25436449604574496,0.006741541474980677,2.5819171165069537,0.001687705375775165,0.014618160521759788,7,2000
92232,False,ordered,full128,0.26454008208168894,0.25694743502683487,0.0075926470548541335,2.87013105730779,0.0015242155403520153,0.016796303768321568,7,2000
