key,arm,seed,selected,variant,window,origin,scaled_pinball
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15264,0.1758549515399304
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15288,0.1714162055960407
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15312,0.1895469084844495
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15336,0.26547220274335576
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15360,0.3097612821670551
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15384,0.4801548097292768
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15408,0.3620104566584073
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15432,0.22879634997535284
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15456,0.308910155262098
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15480,0.20617722571303126
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15504,0.2780428214173883
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15528,0.3208796638125793
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15552,0.5598375367086437
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15576,0.3310345898096582
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15600,0.2464853997903776
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15624,0.2963170035798695
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15648,0.21184868158475897
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15672,0.2574071868807864
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15696,0.31620884542583066
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15720,0.3392258011660238
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15744,0.1853316393864188
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15768,0.18675112213308864
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15792,0.21727316784675096
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15816,0.22034060780183368
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15840,0.1747512264737219
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15864,0.2116835649080895
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15888,0.16270348981111896
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15912,0.19140866148675315
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15936,0.14218204216619273
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15960,0.16213685543922107
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,15984,0.17059296659760473
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16008,0.21246872237110243
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16032,0.1629331936884959
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16056,0.12981166810984943
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16080,0.1298650506482588
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16104,0.13227380538324127
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16128,0.13115991258664583
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16152,0.14059185999984658
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16176,0.13203675319868288
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16200,0.12249411663356301
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16224,0.13136483842453286
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16248,0.12185072024475921
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16272,0.12848765504198043
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16296,0.11862577217206331
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16320,0.13281442117623748
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16344,0.25148169569280093
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16368,0.3249903959155387
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16392,0.21173617717705365
CHRONOS2_DIRECT,CHRONOS2_DIRECT,0,True,raw,block1,16416,0.19340789726745497
