dataset,arm,checkpoint,peak_allocated_mib,peak_reserved_mib,median_seconds,min_seconds,max_seconds
ettm2,standard,False,1831.1845703125,1886.0,0.12051607994362712,0.11874449206516147,0.1207515699788928
ettm2,standard,True,732.8759765625,784.0,0.1777921780012548,0.17371576698496938,0.18679305259138346
ettm2,query,False,950.095703125,960.0,0.13665873417630792,0.1298644058406353,0.14606745215132833
ettm2,query,True,683.82080078125,730.0,0.20602001389488578,0.20303027192130685,0.21583489468321204
electricity,standard,False,1831.1845703125,1886.0,0.12073337892070413,0.11583924992009997,0.12199447164312005
electricity,standard,True,732.8759765625,784.0,0.17091173492372036,0.16807551495730877,0.17149355495348573
electricity,query,False,947.970703125,960.0,0.13299902295693755,0.13223888911306858,0.13919492112472653
electricity,query,True,683.82080078125,730.0,0.2026816736906767,0.2008600952103734,0.2038346640765667
