arm,seed,policy,condition,score,revision
C0,73101,selected,PRIMARY,0.9266089536873112,
C0,73101,selected,delta2,0.9081460645314963,
C0,73101,selected,irregular,0.9450718428431261,
C0,73101,selected,delta1,0.6537815164465289,
C0,73101,selected,delta4,1.006102839473578,
C0,73101,fixed512,PRIMARY,0.9266089536873112,
C0,73101,fixed512,delta2,0.9081460645314963,
C0,73101,fixed512,irregular,0.9450718428431261,
C0,73101,fixed512,delta1,0.6537815164465289,
C0,73101,fixed512,delta4,1.006102839473578,
C1,73101,selected,PRIMARY,0.682060252853784,
C1,73101,selected,delta2,0.6620933139980699,
C1,73101,selected,irregular,0.7020271917094987,
C1,73101,selected,delta1,0.6782785985112496,
C1,73101,selected,delta4,0.7726246817484265,
C1,73101,fixed512,PRIMARY,0.682060252853784,
C1,73101,fixed512,delta2,0.6620933139980699,
C1,73101,fixed512,irregular,0.7020271917094987,
C1,73101,fixed512,delta1,0.6782785985112496,
C1,73101,fixed512,delta4,0.7726246817484265,
C2,73101,selected,PRIMARY,0.6444093899584322,
C2,73101,selected,delta2,0.6357967419542326,
C2,73101,selected,irregular,0.6530220379626317,
C2,73101,selected,delta1,0.6431471386679549,
C2,73101,selected,delta4,0.7188731603957905,
C2,73101,fixed512,PRIMARY,0.6444093899584322,
C2,73101,fixed512,delta2,0.6357967419542326,
C2,73101,fixed512,irregular,0.6530220379626317,
C2,73101,fixed512,delta1,0.6431471386679549,
C2,73101,fixed512,delta4,0.7188731603957905,
C3,73101,selected,PRIMARY,0.651315234165029,
C3,73101,selected,delta2,0.6455303900910728,
C3,73101,selected,irregular,0.6571000782389849,
C3,73101,selected,delta1,0.6441656936427846,
C3,73101,selected,delta4,0.7304915802209037,
C3,73101,fixed512,PRIMARY,0.651315234165029,
C3,73101,fixed512,delta2,0.6455303900910728,
C3,73101,fixed512,irregular,0.6571000782389849,
C3,73101,fixed512,delta1,0.6441656936427846,
C3,73101,fixed512,delta4,0.7304915802209037,
C0,73102,selected,PRIMARY,0.8596981333590328,
C0,73102,selected,delta2,0.816856094829148,
C0,73102,selected,irregular,0.9025401718889172,
C0,73102,selected,delta1,0.5686621539941036,
C0,73102,selected,delta4,0.9601378043932686,
C0,73102,fixed512,PRIMARY,0.8596981333590328,
C0,73102,fixed512,delta2,0.816856094829148,
C0,73102,fixed512,irregular,0.9025401718889172,
C0,73102,fixed512,delta1,0.5686621539941036,
C0,73102,fixed512,delta4,0.9601378043932686,
C1,73102,selected,PRIMARY,0.6953936804436531,
C1,73102,selected,delta2,0.690912151881994,
C1,73102,selected,irregular,0.6998752090053124,
C1,73102,selected,delta1,0.7101182856433078,
C1,73102,selected,delta4,0.7908104714699581,
C1,73102,fixed512,PRIMARY,0.6953936804436531,
C1,73102,fixed512,delta2,0.690912151881994,
C1,73102,fixed512,irregular,0.6998752090053124,
C1,73102,fixed512,delta1,0.7101182856433078,
C1,73102,fixed512,delta4,0.7908104714699581,
C2,73102,selected,PRIMARY,0.6384142131810375,
C2,73102,selected,delta2,0.6317522666629332,
C2,73102,selected,irregular,0.6450761596991419,
C2,73102,selected,delta1,0.6532473792148061,
C2,73102,selected,delta4,0.6880261925667541,
C2,73102,fixed512,PRIMARY,0.6384142131810375,
C2,73102,fixed512,delta2,0.6317522666629332,
C2,73102,fixed512,irregular,0.6450761596991419,
C2,73102,fixed512,delta1,0.6532473792148061,
C2,73102,fixed512,delta4,0.6880261925667541,
C3,73102,selected,PRIMARY,0.6447976806378013,
C3,73102,selected,delta2,0.6455844490977198,
C3,73102,selected,irregular,0.6440109121778826,
C3,73102,selected,delta1,0.6404753505747621,
C3,73102,selected,delta4,0.6951024417971026,
C3,73102,fixed512,PRIMARY,0.6447976806378013,
C3,73102,fixed512,delta2,0.6455844490977198,
C3,73102,fixed512,irregular,0.6440109121778826,
C3,73102,fixed512,delta1,0.6404753505747621,
C3,73102,fixed512,delta4,0.6951024417971026,
