id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
C0_73100_1e-04,64,8,512,0,0.0
C0_73100_3e-05,64,8,512,0,0.0
C1_73100_1e-04,64,8,512,0,0.0
C1_73100_3e-05,64,8,512,0,0.0
C2_73100_1e-04,64,8,512,0,0.0
C2_73100_3e-05,64,8,512,0,0.0
C3_73100_1e-04,64,8,512,0,0.0
C3_73100_3e-05,64,8,512,0,0.0
C0_73101_1e-04,64,8,512,0,0.0
C1_73101_1e-04,64,8,512,0,0.0
C2_73101_1e-04,64,8,512,0,0.0
C3_73101_1e-04,64,8,512,0,0.0
C0_73102_1e-04,64,8,512,0,0.0
C1_73102_1e-04,64,8,512,0,0.0
C2_73102_1e-04,64,8,512,0,0.0
C3_73102_1e-04,64,8,512,0,0.0
