arm,updates,clip_fraction,gradnorm_median,gradnorm_max,contaminated_updates,minimum_boundary_free_MiB,mean_update_seconds,extra_theta_nonzero_fraction,extra_theta_mean_norm
C0,2048,0.0,0.09276862069964409,0.7940834164619446,0,7974,0.0991151737084408,,
C1,2048,0.0,0.08272948488593102,0.6527177691459656,0,7973,0.09865665803705781,,
C2,2048,0.0,0.08793187886476517,0.5474104285240173,0,7972,0.09896859138198977,,
C3,2048,0.0,0.08831358328461647,0.5448601841926575,0,7972,0.1007543710158103,0.5,0.00033177939231077147
