source,role,condition,mean_correction_gate,p10,median,p90,zero_fraction,one_fraction
electricity,V_SELECT,REFERENCE,0.9779295921325684,0.953125,1.0,1.0,0.0069580078125,0.737060546875
electricity,V_SELECT,POINT4,0.9776808619499207,0.953125,1.0,1.0,0.0069580078125,0.6964111328125
electricity,V_SELECT,POINT8,0.9776949882507324,0.953125,1.0,1.0,0.00653076171875,0.69281005859375
electricity,V_SELECT,POINT16,0.9781651496887207,0.953125,1.0,1.0,0.0067138671875,0.693115234375
electricity,V_SELECT,BURST4,0.9717004895210266,0.953125,1.0,1.0,0.006591796875,0.7137451171875
electricity,V_SELECT,BURST8,0.9698178768157959,0.953125,1.0,1.0,0.0068359375,0.71002197265625
electricity,V_SELECT,BURST16,0.9699684381484985,0.953125,1.0,1.0,0.00653076171875,0.7095947265625
electricity,V_SELECT,SHIFT4,0.943671703338623,0.9479166865348816,1.0,1.0,0.0137939453125,0.7158203125
electricity,V_SELECT,SHIFT8,0.9286314249038696,0.953125,1.0,1.0,0.032958984375,0.72027587890625
electricity,V_SELECT,SHIFT_POINT,0.9443056583404541,0.953125,1.0,1.0,0.01318359375,0.67169189453125
electricity,E_DISCOVERY,REFERENCE,0.9783636927604675,0.953125,1.0,1.0,0.00347900390625,0.72625732421875
electricity,E_DISCOVERY,POINT4,0.9782713651657104,0.953125,1.0,1.0,0.003265380859375,0.689300537109375
electricity,E_DISCOVERY,POINT8,0.9783007502555847,0.953125,1.0,1.0,0.003173828125,0.68499755859375
electricity,E_DISCOVERY,POINT16,0.978096604347229,0.953125,1.0,1.0,0.00311279296875,0.684478759765625
electricity,E_DISCOVERY,BURST4,0.9724175930023193,0.953125,1.0,1.0,0.003021240234375,0.70343017578125
electricity,E_DISCOVERY,BURST8,0.9700408577919006,0.953125,1.0,1.0,0.003448486328125,0.7059326171875
electricity,E_DISCOVERY,BURST16,0.970607578754425,0.9520089030265808,1.0,1.0,0.0030517578125,0.705108642578125
electricity,E_DISCOVERY,SHIFT4,0.9445410966873169,0.921875,1.0,1.0,0.01129150390625,0.7227783203125
electricity,E_DISCOVERY,SHIFT8,0.9277606010437012,0.921875,1.0,1.0,0.031280517578125,0.72271728515625
electricity,E_DISCOVERY,SHIFT_POINT,0.944252073764801,0.921875,1.0,1.0,0.010894775390625,0.680694580078125
ettm1,V_SELECT,REFERENCE,0.9557971954345703,0.953125,1.0,1.0,0.0048828125,0.869140625
ettm1,V_SELECT,POINT4,0.9559720158576965,0.953125,1.0,1.0,0.004638671875,0.822998046875
ettm1,V_SELECT,POINT8,0.955805778503418,0.953125,1.0,1.0,0.00445556640625,0.81640625
ettm1,V_SELECT,POINT16,0.9557418823242188,0.953125,1.0,1.0,0.00457763671875,0.81787109375
ettm1,V_SELECT,BURST4,0.9510247707366943,0.875,1.0,1.0,0.0047607421875,0.83795166015625
ettm1,V_SELECT,BURST8,0.9492505788803101,0.8359375,1.0,1.0,0.00445556640625,0.8345947265625
ettm1,V_SELECT,BURST16,0.9490055441856384,0.8359375,1.0,1.0,0.00457763671875,0.833251953125
ettm1,V_SELECT,SHIFT4,0.925876796245575,0.75,1.0,1.0,0.0150146484375,0.83154296875
ettm1,V_SELECT,SHIFT8,0.9070761203765869,0.53125,1.0,1.0,0.0352783203125,0.82965087890625
ettm1,V_SELECT,SHIFT_POINT,0.9258296489715576,0.765625,1.0,1.0,0.01495361328125,0.78192138671875
ettm1,E_DISCOVERY,REFERENCE,0.9711871147155762,1.0,1.0,1.0,0.0030517578125,0.90863037109375
ettm1,E_DISCOVERY,POINT4,0.9712270498275757,0.9921875,1.0,1.0,0.0029296875,0.86065673828125
ettm1,E_DISCOVERY,POINT8,0.9711290597915649,0.9921875,1.0,1.0,0.002838134765625,0.854278564453125
ettm1,E_DISCOVERY,POINT16,0.9712398052215576,0.9921875,1.0,1.0,0.002899169921875,0.85455322265625
ettm1,E_DISCOVERY,BURST4,0.965532660484314,0.953125,1.0,1.0,0.00286865234375,0.87554931640625
ettm1,E_DISCOVERY,BURST8,0.964005708694458,0.9453125,1.0,1.0,0.002838134765625,0.872589111328125
ettm1,E_DISCOVERY,BURST16,0.9638718962669373,0.9375,1.0,1.0,0.002960205078125,0.872161865234375
ettm1,E_DISCOVERY,SHIFT4,0.9392696022987366,0.9140625,1.0,1.0,0.015594482421875,0.868896484375
ettm1,E_DISCOVERY,SHIFT8,0.9213539361953735,0.7890625,1.0,1.0,0.033233642578125,0.863922119140625
ettm1,E_DISCOVERY,SHIFT_POINT,0.9400380253791809,0.921875,1.0,1.0,0.013763427734375,0.815948486328125
