seed_81551_gain_pct,seed_81552_gain_pct,source,panel,new,baseline,new_nmae,baseline_nmae,gain_pct,ci_low_pct,ci_high_pct,paired_difference,origins,time_blocks,bootstrap_draws
-0.4072590214982741,-0.21532758188558265,electricity,FAULT,C3,C0,0.17199454904203534,0.17146015159423397,-0.31167442862527484,-0.5494504863507604,-0.07483766789529737,0.0005343974478013678,128,32,2000
-0.4072590214982741,-0.21532758188558265,electricity,FAULT,C3,C1,0.17199454904203534,0.17146015159423397,-0.31167442862527484,-0.5494504863507604,-0.07483766789529737,0.0005343974478013678,128,32,2000
-0.16827690251215444,-0.03134625950638181,electricity,FAULT,C3,C2,0.17199454904203534,0.17182255095517962,-0.10010216115379222,-0.22340502528163608,0.031022070135116583,0.000171998086855739,128,32,2000
-0.23858064287030079,-0.18392366918857928,electricity,FAULT,C2,C0,0.17182255095517962,0.17146015159423397,-0.21136069085210263,-0.421145724900171,-0.031036710610809596,0.00036239936094562876,128,32,2000
-0.23858064287030079,-0.18392366918857928,electricity,FAULT,C2,C1,0.17182255095517962,0.17146015159423397,-0.21136069085210263,-0.421145724900171,-0.031036710610809596,0.00036239936094562876,128,32,2000
0.0,0.0,electricity,FAULT,C1,C0,0.17146015159423397,0.17146015159423397,0.0,0.0,0.0,0.0,128,32,2000
-0.19609672003333412,-0.19893779354380747,electricity,REFERENCE,C3,C0,0.1668529712937166,0.1665240673577794,-0.19751135145560372,-0.43538408607812495,0.03215204189669605,0.00032890393593721615,128,32,2000
-0.19609672003333412,-0.19893779354380747,electricity,REFERENCE,C3,C1,0.1668529712937166,0.1665240673577794,-0.19751135145560372,-0.43538408607812495,0.03215204189669605,0.00032890393593721615,128,32,2000
-0.1842549849252917,-0.10197672778886613,electricity,REFERENCE,C3,C2,0.1668529712937166,0.16661426404841106,-0.14326939333126898,-0.2528969928944047,-0.029496797734930916,0.00023870724530556167,128,32,2000
-0.011819956249436991,-0.09686228876240044,electricity,REFERENCE,C2,C0,0.16661426404841106,0.1665240673577794,-0.05416435717839896,-0.25685403255492567,0.12090909826278,9.019669063165447e-05,128,32,2000
