source,arm,seed,lr,trainable_parameters,additional_train_seconds,validation_seconds,checkpoint_io_seconds,train_peak_allocated_mib,E_inference_seconds,E_peak_allocated_mib
electricity,C1,81550,0.0001,294912,36.580026611860376,5.050592730927747,0.46210053499089554,370.41162109375,,
electricity,C1,81550,0.0003,294912,36.68833212082973,4.910536468029022,0.45618814195040613,370.84912109375,,
electricity,C1,81551,0.0003,294912,37.23934624274261,4.930876989965327,0.47183042916003615,370.84912109375,3.9216064600041136,234.4599609375
electricity,C1,81552,0.0003,294912,36.66417644597823,4.933871073939372,0.4617693127365783,370.84912109375,3.9024221550207585,234.4599609375
electricity,C2,81550,0.0001,8712,30.956915867049247,5.02306923706783,0.05633830383885652,362.10888671875,,
electricity,C2,81550,0.0003,8712,31.308008251711726,5.052927790966351,0.05591789202298969,362.10888671875,,
electricity,C2,81551,0.0003,8712,31.345702237566,5.051080199016724,0.06348631193395704,362.10888671875,4.0024554479750805,234.49755859375
electricity,C2,81552,0.0003,8712,31.46485033648787,5.025499227049295,0.06283041287679225,362.10888671875,4.011698846996296,234.49755859375
electricity,C3,81550,0.0001,8712,31.820434147957712,5.335966326063499,0.05616993212606758,362.10888671875,,
electricity,C3,81550,0.0003,8712,31.716552789555863,5.3123822719207965,0.05898223293479532,362.10888671875,,
electricity,C3,81551,0.0003,8712,31.992915774229914,5.296869350073393,0.060175769845955074,362.10888671875,4.216472320025787,234.49755859375
electricity,C3,81552,0.0003,8712,32.09648345259484,5.303792291902937,0.061093814903870225,362.10888671875,4.245470205962192,234.49755859375
ettm1,C1,81550,0.0001,294912,36.501058597292285,4.867850167967845,0.4620815042289905,370.84912109375,,
ettm1,C1,81550,0.0003,294912,36.43265648314264,4.896998951968271,0.4612878161133267,370.84912109375,,
ettm1,C1,81551,0.0001,294912,36.69391403300688,4.918131897051353,0.46517360082361847,370.84912109375,3.895357653964311,234.4599609375
ettm1,C1,81552,0.0001,294912,36.23279241740238,4.903366810933221,0.4524470219621435,370.84912109375,3.8803248630138114,234.4599609375
ettm1,C2,81550,0.0001,8712,31.352271134557668,4.928881769999862,0.06428466102806851,362.10888671875,,
ettm1,C2,81550,0.0003,8712,31.495919167122338,5.009107890946325,0.06166541890706867,362.10888671875,,
ettm1,C2,81551,0.0003,8712,31.45156044216128,5.000023144064471,0.0638607291621156,362.10888671875,4.013298187986948,234.49755859375
ettm1,C2,81552,0.0003,8712,31.5385051179328,5.0969076658948325,0.06041432509664446,362.10888671875,4.029302422015462,234.49755859375
ettm1,C3,81550,0.0001,8712,31.85793410980841,5.3000038680038415,0.05741204210789874,362.10888671875,,
ettm1,C3,81550,0.0003,8712,31.860833950981032,5.294166191946715,0.061794497014489025,362.10888671875,,
ettm1,C3,81551,0.0001,8712,31.989233240892645,5.315919324872084,0.05808739684289321,362.10888671875,4.246244548005052,234.49755859375
ettm1,C3,81552,0.0001,8712,32.05378201336134,5.338239010074176,0.0577867521205917,362.10888671875,4.22118541400414,234.49755859375
