source,seed,condition,mode,normal_nmae,altered_nmae,error_increase_pct,optimizer_updates
electricity,81551,REFERENCE,permute,0.19517680157181613,0.19490522499163151,-0.13914388287825652,0
electricity,81551,POINT4,permute,0.19653820325621763,0.19629480207609426,-0.12384420743180025,0
electricity,81551,POINT8,permute,0.1976349791018375,0.19730832523574154,-0.1652814029077465,0
electricity,81551,POINT16,permute,0.1990408486993272,0.19868779525248154,-0.1773773821568625,0
electricity,81551,BURST4,permute,0.20114745486038033,0.200811531576947,-0.16700349684587446,0
electricity,81551,BURST8,permute,0.20834339771797988,0.20798507441219347,-0.1719868782554146,0
electricity,81551,BURST16,permute,0.2063367091553836,0.20601352029929643,-0.1566317779371995,0
electricity,81551,SHIFT4,permute,0.2238968671269092,0.22303023478924988,-0.38706764805606086,0
electricity,81551,SHIFT8,permute,0.24187576859012783,0.2422571418757068,0.15767320877240198,0
electricity,81551,SHIFT_POINT,permute,0.22872003554335388,0.22844636413783997,-0.11965344656569288,0
electricity,81551,REFERENCE,zero,0.19517680157181613,0.19499492754693176,-0.09318424291190341,0
electricity,81551,POINT4,zero,0.19653820325621763,0.19635489672505052,-0.0932676335338889,0
electricity,81551,POINT8,zero,0.1976349791018375,0.19732469653268722,-0.15699779996454222,0
electricity,81551,POINT16,zero,0.1990408486993272,0.19865492725211564,-0.19389057559462408,0
electricity,81551,BURST4,zero,0.20114745486038033,0.2008951287671364,-0.1254433437495317,0
electricity,81551,BURST8,zero,0.20834339771797988,0.20807806336179027,-0.1273543386043685,0
electricity,81551,BURST16,zero,0.2063367091553836,0.2061711240492326,-0.08024995010766922,0
electricity,81551,SHIFT4,zero,0.2238968671269092,0.22289760844887374,-0.4463031085955582,0
electricity,81551,SHIFT8,zero,0.24187576859012783,0.2423392869394685,0.1916348843220117,0
electricity,81551,SHIFT_POINT,zero,0.22872003554335388,0.22827028760298085,-0.19663687936415375,0
electricity,81552,REFERENCE,permute,0.19146057759797414,0.19121034472068943,-0.13069681520032628,0
electricity,81552,POINT4,permute,0.19237553047749795,0.19212989747475895,-0.12768411976789018,0
electricity,81552,POINT8,permute,0.19350296869980094,0.19338685576728723,-0.06000576285413173,0
electricity,81552,POINT16,permute,0.1951621722148951,0.19482149004753418,-0.17456362751783194,0
electricity,81552,BURST4,permute,0.19759279423066595,0.19737886305931487,-0.10826871100437785,0
electricity,81552,BURST8,permute,0.2043041540025224,0.20397743830957285,-0.15991632404376288,0
electricity,81552,BURST16,permute,0.2024292665471608,0.20213171767840082,-0.14698905639253246,0
electricity,81552,SHIFT4,permute,0.2248560303640075,0.2261698901358829,0.5843115569319934,0
electricity,81552,SHIFT8,permute,0.24624867843588866,0.2603260997940484,5.716750013675642,0
electricity,81552,SHIFT_POINT,permute,0.22869833178836124,0.23013518004228495,0.628272293325427,0
electricity,81552,REFERENCE,zero,0.19146057759797414,0.1911500690602537,-0.16217883682166923,0
electricity,81552,POINT4,zero,0.19237553047749795,0.1920583030781218,-0.16490007777431037,0
electricity,81552,POINT8,zero,0.19350296869980094,0.19337011645203223,-0.06865643905175078,0
electricity,81552,POINT16,zero,0.1951621722148951,0.19481883032373173,-0.17592645504339588,0
electricity,81552,BURST4,zero,0.19759279423066595,0.19740891315124964,-0.0930606200151396,0
electricity,81552,BURST8,zero,0.2043041540025224,0.20394395808015672,-0.17630376833219774,0
electricity,81552,BURST16,zero,0.2024292665471608,0.20206272306512446,-0.18107237569373602,0
electricity,81552,SHIFT4,zero,0.2248560303640075,0.2264647822077157,0.715458616388398,0
electricity,81552,SHIFT8,zero,0.24624867843588866,0.26094198782490274,5.9668581705056845,0
electricity,81552,SHIFT_POINT,zero,0.22869833178836124,0.23029099023711827,0.6964014281620967,0
ettm1,81551,REFERENCE,permute,0.3460554411747276,0.3460554411747276,0.0,0
ettm1,81551,POINT4,permute,0.3459480283010341,0.3459480283010341,0.0,0
ettm1,81551,POINT8,permute,0.35894153663582085,0.35894153663582085,0.0,0
ettm1,81551,POINT16,permute,0.35706984834079664,0.35706984834079664,0.0,0
ettm1,81551,BURST4,permute,0.35688793914912004,0.35688793914912004,0.0,0
ettm1,81551,BURST8,permute,0.35867460308040094,0.35867460308040094,0.0,0
ettm1,81551,BURST16,permute,0.3712737622335335,0.3712737622335335,0.0,0
ettm1,81551,SHIFT4,permute,0.49277230822142487,0.49277230822142487,0.0,0
ettm1,81551,SHIFT8,permute,0.47368112154650294,0.47368112154650294,0.0,0
ettm1,81551,SHIFT_POINT,permute,0.5084367183703062,0.5084367183703062,0.0,0
ettm1,81551,REFERENCE,zero,0.3460554411747276,0.3460554411747276,0.0,0
ettm1,81551,POINT4,zero,0.3459480283010341,0.3459480283010341,0.0,0
ettm1,81551,POINT8,zero,0.35894153663582085,0.35894153663582085,0.0,0
ettm1,81551,POINT16,zero,0.35706984834079664,0.35706984834079664,0.0,0
ettm1,81551,BURST4,zero,0.35688793914912004,0.35688793914912004,0.0,0
ettm1,81551,BURST8,zero,0.35867460308040094,0.35867460308040094,0.0,0
ettm1,81551,BURST16,zero,0.3712737622335335,0.3712737622335335,0.0,0
ettm1,81551,SHIFT4,zero,0.49277230822142487,0.49277230822142487,0.0,0
ettm1,81551,SHIFT8,zero,0.47368112154650294,0.47368112154650294,0.0,0
ettm1,81551,SHIFT_POINT,zero,0.5084367183703062,0.5084367183703062,0.0,0
ettm1,81552,REFERENCE,permute,0.352580312597064,0.35245945875128537,-0.03427696937712277,0
ettm1,81552,POINT4,permute,0.35235921792442804,0.35221654168310684,-0.04049170110026479,0
ettm1,81552,POINT8,permute,0.3673664938835438,0.36726721944481056,-0.02702326978266667,0
ettm1,81552,POINT16,permute,0.3662349939115702,0.3666117148043271,0.10286316136349782,0
ettm1,81552,BURST4,permute,0.3618421932675577,0.3617466566432918,-0.026402842466533016,0
ettm1,81552,BURST8,permute,0.3681929543156818,0.36794810103651476,-0.06650134835471944,0
ettm1,81552,BURST16,permute,0.3830698553148275,0.3827504051076736,-0.0833921549090233,0
ettm1,81552,SHIFT4,permute,0.4819584643099505,0.4784932012534379,-0.7189962026030616,0
