source,arm,seed,lr,selected_step,objective,unchanged_baseline_selected
electricity,C1,81550,0.0001,768,0.21396139652559593,False
electricity,C1,81550,0.0003,256,0.21328776109087935,False
electricity,C1,81551,0.0003,0,0.21615286843459375,True
electricity,C1,81552,0.0003,0,0.21559902487463017,True
electricity,C2,81550,0.0001,768,0.2142797347562011,False
electricity,C2,81550,0.0003,768,0.2140374372945447,False
electricity,C2,81551,0.0003,512,0.21377099579332923,False
electricity,C2,81552,0.0003,1024,0.21363161115434437,False
electricity,C3,81550,0.0001,1024,0.21465924164662561,False
electricity,C3,81550,0.0003,768,0.21415239626181465,False
electricity,C3,81551,0.0003,768,0.21338556282173413,False
electricity,C3,81552,0.0003,768,0.2120744818200387,False
ettm1,C1,81550,0.0001,0,0.40710705625449606,True
ettm1,C1,81550,0.0003,0,0.40710705625449606,True
ettm1,C1,81551,0.0001,0,0.40602500213177545,True
ettm1,C1,81552,0.0001,0,0.41165661949197785,True
ettm1,C2,81550,0.0001,768,0.40672501216817897,False
ettm1,C2,81550,0.0003,768,0.4061914590567647,False
ettm1,C2,81551,0.0003,0,0.40602500213177545,True
ettm1,C2,81552,0.0003,1024,0.40872070382729786,False
ettm1,C3,81550,0.0001,0,0.40710705625449606,True
ettm1,C3,81550,0.0003,0,0.40710705625449606,True
ettm1,C3,81551,0.0001,0,0.40602500213177545,True
ettm1,C3,81552,0.0001,1024,0.4115624062867422,False
