source,arm,seed,condition,origin,channel,history_subset,nmae,mae,normalized_mse,pinball,crossing
electricity,C1,81552,POINT8,24411,2,False,0.006440787317361943,0.4044136293232441,0.00010823665606321249,0.005206005899767348,0.0
electricity,C1,81552,POINT8,24411,3,True,0.27566426974147606,39.072386026382446,0.13039407894314203,0.21804027198879777,0.0
electricity,C1,81552,POINT8,24471,0,False,0.10858419865295904,2.622950080782175,0.03883230538062931,0.08802956899672373,0.0
electricity,C1,81552,POINT8,24471,1,False,0.10496935945118603,2.8988117575645447,0.01943822499883695,0.08592059169189892,0.0
electricity,C1,81552,POINT8,24471,2,False,0.012361177336126522,0.7761517874896526,0.0006628358664954858,0.011171406549601172,0.0
electricity,C1,81552,POINT8,24471,3,True,0.29274859180189,41.49390125274658,0.17085204076968985,0.23400169865918613,0.0
electricity,C1,81552,POINT8,24527,0,False,0.06852408606078883,1.6552616246044636,0.01708886780747003,0.05806346090327166,0.0
electricity,C1,81552,POINT8,24527,1,False,0.17835841341570907,4.925508439540863,0.047840764361314334,0.1367210738666614,0.0
electricity,C1,81552,POINT8,24527,2,False,0.00911067908540257,0.5720547214150429,0.0005582032657631614,0.008304603647918875,0.0
electricity,C1,81552,POINT8,24527,3,True,0.27536800731279476,39.030394077301025,0.11653367467637618,0.22096547387535298,0.0
electricity,C1,81552,POINT8,24549,0,False,0.06198759792114138,1.4973668083548546,0.015376277861997807,0.054154450292378975,0.0
electricity,C1,81552,POINT8,24549,1,False,0.15576678170377967,4.301622688770294,0.0402268117025018,0.11482024645585298,0.0
electricity,C1,81552,POINT8,24549,2,False,0.004782251443115093,0.3002750389277935,5.368718426515344e-05,0.004056614499238122,0.0
electricity,C1,81552,POINT8,24549,3,True,0.16581774339996946,23.502846002578735,0.0416737864287367,0.1248976787130888,0.0
electricity,C1,81552,POINT8,24577,0,True,0.0774003522690729,1.8696759082376957,0.020372547318281573,0.06264388768904003,0.0
electricity,C1,81552,POINT8,24577,1,False,0.09002856749246768,2.486209988594055,0.01542729169065499,0.07198252524908377,0.0
electricity,C1,81552,POINT8,24577,2,False,0.0059599479037939496,0.3742219768464565,9.6595294146919e-05,0.004849086847920873,0.0
electricity,C1,81552,POINT8,24577,3,True,0.16688229620576783,23.65373468399048,0.04378856047552655,0.12760301218140618,0.0
electricity,C1,81552,POINT8,24635,0,False,0.07594241321350648,1.834458064287901,0.009216268619089554,0.06120846741258046,0.0
electricity,C1,81552,POINT8,24635,1,False,0.23374244110158957,6.454982101917267,0.1351587921323994,0.19603730173881,0.0
electricity,C1,81552,POINT8,24635,2,False,0.012666261839873693,0.795307882130146,0.0006687636851318582,0.01124149079405199,0.0
electricity,C1,81552,POINT8,24635,3,False,0.2030404538815005,28.778756856918335,0.21071138916670157,0.17432773388708167,0.0
electricity,C1,81552,POINT8,24686,0,False,0.08733992866376147,2.1097754165530205,0.012003211376185197,0.06940143691879017,0.0
electricity,C1,81552,POINT8,24686,1,False,0.2536182809732679,7.003869116306305,0.1569856171081282,0.20217387629220257,0.0
electricity,C1,81552,POINT8,24686,2,False,0.008832211557091392,0.5545698925852776,0.0004911382127922881,0.00793823131429276,0.0
electricity,C1,81552,POINT8,24686,3,False,0.3068756066792682,43.49625062942505,0.35345568963832774,0.26157812305561445,0.0
electricity,C1,81552,POINT8,24705,0,False,0.08357234585194831,2.018766026943922,0.010901912470623535,0.06636505046894278,0.0
electricity,C1,81552,POINT8,24705,1,False,0.24081505139579834,6.650297820568085,0.07696273655280014,0.18588742752647308,0.0
electricity,C1,81552,POINT8,24705,2,False,0.006368127940923949,0.39985138550400734,6.831942800405888e-05,0.004969180588169576,0.0
electricity,C1,81552,POINT8,24705,3,False,0.25890013455360006,36.69625377655029,0.1523697789896797,0.20938896174604738,0.0
electricity,C1,81552,POINT8,24753,0,True,0.05919451127269083,1.4298972599208355,0.007767502226918306,0.04996373864251112,0.0
electricity,C1,81552,POINT8,24753,1,False,0.11716752259846136,3.235673666000366,0.021964141386250073,0.09162644966883879,0.0
electricity,C1,81552,POINT8,24753,2,False,0.0061948901002560584,0.3889738731086254,0.0001102610473711352,0.005124259509802948,0.0
electricity,C1,81552,POINT8,24753,3,True,0.20051626946079631,28.420981407165527,0.07933668475775656,0.16141059712639055,0.0
electricity,C1,81552,POINT8,24810,0,False,0.04855596888524501,1.1729135923087597,0.0076431817313077285,0.040542537089923406,0.0
electricity,C1,81552,POINT8,24810,1,False,0.19983443305536397,5.518585681915283,0.06059373659002343,0.1549716569208625,0.0
electricity,C1,81552,POINT8,24810,2,False,0.012339680942597,0.7748020403087139,0.0006927835976706217,0.01121184386131365,0.0
electricity,C1,81552,POINT8,24810,3,False,0.26414885105794794,37.44020175933838,0.1231568392405786,0.2071894849602839,0.0
electricity,C1,81552,POINT8,24826,0,False,0.05332389150321337,1.2880870997905731,0.005158496433143575,0.041533281651907915,0.0
electricity,C1,81552,POINT8,24826,1,False,0.15829669611447872,4.371488273143768,0.03729087479527256,0.12097841893630526,0.0
electricity,C1,81552,POINT8,24826,2,False,0.012255416764929186,0.7695111371576786,0.0007031520431719322,0.010977065470629422,0.0
electricity,C1,81552,POINT8,24826,3,False,0.2807538162799674,39.79377341270447,0.12374838476166813,0.21728137260116495,0.0
electricity,C1,81552,POINT8,24884,0,True,0.0927613630416341,2.2407350949943066,0.021685347982286267,0.07277207083467876,0.0
electricity,C1,81552,POINT8,24884,1,False,0.19770464074780753,5.459769785404205,0.05019664235468743,0.14915716252193423,0.0
electricity,C1,81552,POINT8,24884,2,False,0.0047030467969316325,0.29530182108283043,4.951202868395446e-05,0.003961082295062949,0.0
electricity,C1,81552,POINT8,24884,3,True,0.2576672948245029,36.521512269973755,0.10915196495461627,0.19456532785075667,0.0
electricity,C1,81552,POINT8,24912,0,True,0.0848061639663776,2.0485700257122517,0.01817685566808675,0.06472189187840122,0.0
electricity,C1,81552,POINT8,24912,1,False,0.07842574307479447,2.1657888293266296,0.01158027538323461,0.07020231848537475,0.0
electricity,C1,81552,POINT8,24912,2,False,0.0058753038963861946,0.36890722438693047,0.00010510121661493017,0.004945369487760941,0.0
electricity,C1,81552,POINT8,24912,3,False,0.1846249937969677,26.168567419052124,0.08419248387099058,0.15068018600806965,0.0
electricity,C1,81552,POINT8,24953,0,False,0.048977399711514685,1.183093637228012,0.003815157504757576,0.03751453678651541,0.0
