dataset,seed,baseline,baseline_mse,basis_mse,gain_percent,CI95_lower,CI95_upper
electricity,mean,LORA_HEAD,0.31576120860128487,0.4872615320055077,-54.313297115852556,-59.965749754580415,-48.85764914307806
electricity,40000,LORA_HEAD,0.2982447074763445,0.49941076867559475,-67.45000201393545,,
electricity,40001,LORA_HEAD,0.33327770972622517,0.47511229533542065,-42.55747728394652,,
electricity,mean,SPECIFIC,0.7317885475388839,0.4872615320055077,33.41498255961476,30.387581991676452,36.08695137098118
electricity,40000,SPECIFIC,0.7056474274144211,0.49941076867559475,29.22658692238174,,
electricity,40001,SPECIFIC,0.7579296676633467,0.47511229533542065,37.31446127446569,,
electricity,mean,SHARED,0.38767354077736266,0.4872615320055077,-25.68862219187084,-29.10876853539824,-22.05014699136904
electricity,40000,SHARED,0.38301238418912065,0.49941076867559475,-30.390240444288057,,
electricity,40001,SHARED,0.39233469736560467,0.47511229533542065,-21.098719671148046,,
electricity,mean,SHARED_WIDE,0.3937394994553296,0.4872615320055077,-23.752260740806964,-26.51680060291935,-20.828493629965212
electricity,40000,SHARED_WIDE,0.37275789494970346,0.49941076867559475,-33.977247817375044,,
electricity,40001,SHARED_WIDE,0.4147211039609558,0.47511229533542065,-14.56188045355667,,
electricity,mean,GROUP4,0.4167765636789854,0.4872615320055077,-16.911931828492175,-20.640569915290786,-13.286835722855628
electricity,40000,GROUP4,0.4131847802172078,0.49941076867559475,-20.868626480641105,,
electricity,40001,GROUP4,0.4203683471407631,0.47511229533542065,-13.022852116961648,,
traffic,mean,LORA_HEAD,0.6618433040512177,1.3046629831450478,-97.12566028228406,-103.78373338061274,-90.56513660990463
traffic,40000,LORA_HEAD,0.621236257783822,1.2699305992369618,-104.41991003024694,,
traffic,40001,LORA_HEAD,0.7024503503186135,1.3393953670531338,-90.67473828514974,,
traffic,mean,SPECIFIC,1.658732709789081,1.3046629831450478,21.345797581157935,20.10759589183464,22.444986667042294
traffic,40000,SPECIFIC,1.4724750165296308,1.2699305992369618,13.755372078911813,,
traffic,40001,SPECIFIC,1.8449904030485311,1.3393953670531338,27.40366752910953,,
traffic,mean,SHARED,1.2735523667404487,1.3046629831450478,-2.442821922134552,-6.115280625894971,0.9313621022332763
traffic,40000,SHARED,1.1392162100697494,1.2699305992369618,-11.474063308773438,,
traffic,40001,SHARED,1.407888523411148,1.3393953670531338,4.864955940692192,,
traffic,mean,SHARED_WIDE,0.960338558462701,1.3046629831450478,-35.85448294750733,-38.54941453036567,-33.12403406064555
traffic,40000,SHARED_WIDE,0.9464113208305256,1.2699305992369618,-34.183792108755746,,
traffic,40001,SHARED_WIDE,0.9742657960948764,1.3393953670531338,-37.47740836451372,,
traffic,mean,GROUP4,1.0529038298174818,1.3046629831450478,-23.910935281829854,-25.68281872158835,-22.252315182488605
traffic,40000,GROUP4,0.8548791115632121,1.2699305992369618,-48.55089825680689,,
traffic,40001,GROUP4,1.2509285480717516,1.3393953670531338,-7.072092096526992,,
