dataset,seed,arm,origin_index,mse
electricity,40001,SPECIFIC,0,0.5523408969494528
electricity,40001,SPECIFIC,1,0.550053481455687
electricity,40001,SPECIFIC,2,0.5548945193459774
electricity,40001,SPECIFIC,3,0.5562117370445883
electricity,40001,SPECIFIC,4,0.6221613022678251
electricity,40001,SPECIFIC,5,0.6497256524120858
electricity,40001,SPECIFIC,6,0.5957859689053021
electricity,40001,SPECIFIC,7,0.5507150002601876
electricity,40001,SPECIFIC,8,0.547226427701847
electricity,40001,SPECIFIC,9,0.5411367117824324
electricity,40001,SPECIFIC,10,0.5346438852275421
electricity,40001,SPECIFIC,11,0.7398996475154427
electricity,40001,SPECIFIC,12,0.9626486982521939
electricity,40001,SPECIFIC,13,0.938808578565971
electricity,40001,SPECIFIC,14,0.7078528545508238
electricity,40001,SPECIFIC,15,0.8760313233188334
electricity,40001,SPECIFIC,16,0.8752260125633996
electricity,40001,SPECIFIC,17,0.7144723274949913
electricity,40001,SPECIFIC,18,0.7234142068744617
electricity,40001,SPECIFIC,19,0.623225445283146
electricity,40001,SPECIFIC,20,0.7108167464813073
electricity,40001,SPECIFIC,21,0.6196534733555336
electricity,40001,SPECIFIC,22,0.5775026796771314
electricity,40001,SPECIFIC,23,0.5401319655213686
electricity,40001,SPECIFIC,24,0.6879761993849416
electricity,40001,SPECIFIC,25,0.590343100793883
electricity,40001,SPECIFIC,26,0.650810535739379
electricity,40001,SPECIFIC,27,0.5477709728101277
electricity,40001,SPECIFIC,28,0.6424994633875093
electricity,40001,SPECIFIC,29,0.5998712287641714
electricity,40001,SPECIFIC,30,0.5832518151520873
electricity,40001,SPECIFIC,31,0.5279178519410754
electricity,40001,SPECIFIC,32,0.5826727255815283
electricity,40001,SPECIFIC,33,0.6033007872045609
electricity,40001,SPECIFIC,34,0.6207505218020962
electricity,40001,SPECIFIC,35,0.6933185915644678
electricity,40001,SPECIFIC,36,0.6493867405660252
electricity,40001,SPECIFIC,37,0.6220055587246778
electricity,40001,SPECIFIC,38,0.7333298886100648
electricity,40001,SPECIFIC,39,0.7126116896863663
electricity,40001,SPECIFIC,40,0.8893832348077269
electricity,40001,SPECIFIC,41,0.9918440179970194
electricity,40001,SPECIFIC,42,1.0049727363833063
electricity,40001,SPECIFIC,43,1.0349249502910534
electricity,40001,SPECIFIC,44,0.9830821973527029
electricity,40001,SPECIFIC,45,0.8642145412206558
electricity,40001,SPECIFIC,46,0.9450557209888403
electricity,40001,SPECIFIC,47,0.9014084405128222
electricity,40001,SPECIFIC,48,1.0856000430590003
electricity,40001,SPECIFIC,49,1.2221161090879102
electricity,40001,SPECIFIC,50,1.2042056025924643
electricity,40001,SPECIFIC,51,1.1987255711248461
electricity,40001,SPECIFIC,52,1.2855734990435383
electricity,40001,SPECIFIC,53,1.4046981748383405
traffic,40001,SPECIFIC,0,1.603191634792825
traffic,40001,SPECIFIC,1,1.5282142810960315
traffic,40001,SPECIFIC,2,1.8213162467602309
traffic,40001,SPECIFIC,3,1.4510936563540362
traffic,40001,SPECIFIC,4,1.6847573173614816
traffic,40001,SPECIFIC,5,1.7102035707988423
traffic,40001,SPECIFIC,6,1.5106010779341137
traffic,40001,SPECIFIC,7,1.955226860351064
traffic,40001,SPECIFIC,8,1.5069211621921639
traffic,40001,SPECIFIC,9,2.1841319087531024
traffic,40001,SPECIFIC,10,1.7174482610981043
traffic,40001,SPECIFIC,11,2.1598290959242092
traffic,40001,SPECIFIC,12,2.0067513008629625
