channels,arm,channel_parameters
16,SPECIFIC,2368768
16,SHARED,395008
16,SHARED_WIDE,790017
16,GROUP4,789760
16,BASIS4,789824
32,SPECIFIC,4474112
32,SHARED,395008
32,SHARED_WIDE,790017
32,GROUP4,789760
32,BASIS4,789888
64,SPECIFIC,8684800
64,SHARED,395008
64,SHARED_WIDE,790017
64,GROUP4,789760
64,BASIS4,790016
128,SPECIFIC,17106176
128,SHARED,395008
128,SHARED_WIDE,790017
128,GROUP4,789760
128,BASIS4,790272
