fit,dataset,seed,arm,step,active_seconds,mse,mae
00_electricity_40001_SPECIFIC,electricity,40001,SPECIFIC,0,0,1.4235804844875526,0.9304129793885498
00_electricity_40001_SPECIFIC,electricity,40001,SPECIFIC,128,20.73557884003094,1.6995193147030765,0.9784312894183953
00_electricity_40001_SPECIFIC,electricity,40001,SPECIFIC,256,41.61708611797076,1.4740515904137539,0.9249421656437153
00_electricity_40001_SPECIFIC,electricity,40001,SPECIFIC,512,83.30843381406157,1.4956260960211856,0.9426213654501123
00_electricity_40001_SPECIFIC,electricity,40001,SPECIFIC,1024,166.95768257706368,1.2399845609059206,0.8458875512262443
01_traffic_40001_SPECIFIC,traffic,40001,SPECIFIC,0,0,1.5827786414787306,0.9434193314670115
01_traffic_40001_SPECIFIC,traffic,40001,SPECIFIC,128,20.878875336013152,2.0795786940516727,1.0970022863494262
01_traffic_40001_SPECIFIC,traffic,40001,SPECIFIC,256,41.755419869950856,1.737667964461592,0.9949769319232148
01_traffic_40001_SPECIFIC,traffic,40001,SPECIFIC,512,83.66263909709232,1.6753785324095554,0.990607922640357
01_traffic_40001_SPECIFIC,traffic,40001,SPECIFIC,1024,167.63955131832336,1.5122092422951328,0.9377420077767753
02_traffic_40000_SHARED,traffic,40000,SHARED,0,0,1.4101658941692312,0.8823958863057483
02_traffic_40000_SHARED,traffic,40000,SHARED,128,15.733523183967918,1.4596172442763093,0.9220078488000365
02_traffic_40000_SHARED,traffic,40000,SHARED,256,31.454112274906947,1.0499836971324887,0.7098904184751527
02_traffic_40000_SHARED,traffic,40000,SHARED,512,62.936668417969486,0.997309119686439,0.6902389226041197
02_traffic_40000_SHARED,traffic,40000,SHARED,1024,125.87438365585695,1.051764646683191,0.7487867537255071
03_traffic_40001_SHARED,traffic,40001,SHARED,0,0,1.582778643445446,0.9434193322848845
03_traffic_40001_SHARED,traffic,40001,SHARED,128,15.761490925957332,1.7677103087113841,1.0179474973915879
03_traffic_40001_SHARED,traffic,40001,SHARED,256,31.64243666504626,1.1855066414962376,0.7957624354638455
03_traffic_40001_SHARED,traffic,40001,SHARED,512,63.1588418391475,1.4143834651957627,0.8959765589223322
03_traffic_40001_SHARED,traffic,40001,SHARED,1024,126.25857634205022,1.257229505942298,0.8483173336523688
04_traffic_40001_SHARED_WIDE,traffic,40001,SHARED_WIDE,0,0,1.5827786446501948,0.9434193323340847
04_traffic_40001_SHARED_WIDE,traffic,40001,SHARED_WIDE,128,15.981754224936594,1.5683508065419791,0.9535195482226461
04_traffic_40001_SHARED_WIDE,traffic,40001,SHARED_WIDE,256,31.958944422891364,1.2593509235067457,0.8447500824267951
04_traffic_40001_SHARED_WIDE,traffic,40001,SHARED_WIDE,512,63.91022941393021,1.0871573933373244,0.75312388282757
04_traffic_40001_SHARED_WIDE,traffic,40001,SHARED_WIDE,1024,127.68068214508821,1.0513487273299256,0.7623728252850962
05_electricity_40001_SHARED,electricity,40001,SHARED,0,0,1.4235804828293874,0.9304129792045082
05_electricity_40001_SHARED,electricity,40001,SHARED,128,15.732775190030225,0.9788325890214873,0.7569641824209198
05_electricity_40001_SHARED,electricity,40001,SHARED,256,31.45645743604109,0.7818730615083904,0.6770171050017646
