fit,dataset,seed,arm,updates,wall_seconds,active_seconds,median_step_seconds,peak_allocated,peak_reserved,budget_limited
00_electricity_40001_SPECIFIC,electricity,40001,SPECIFIC,1024,263.52632413600804,166.95768257706368,0.16275373450480402,3257760256,3443523584,True
01_traffic_40001_SPECIFIC,traffic,40001,SPECIFIC,1024,261.0593228409998,167.63955131832336,0.16344504600419896,3257760256,3443523584,True
02_traffic_40000_SHARED,traffic,40000,SHARED,1024,218.59125400900666,125.87438365585695,0.12277900850313017,3149894144,3279945728,False
03_traffic_40001_SHARED,traffic,40001,SHARED,1024,219.5347750519868,126.25857634205022,0.1228558225047891,3149894144,3279945728,False
04_traffic_40001_SHARED_WIDE,traffic,40001,SHARED_WIDE,1024,221.69950697600143,127.68068214508821,0.12443748000077903,3178013696,3330277376,True
05_electricity_40001_SHARED,electricity,40001,SHARED,1024,222.11243067399482,125.87776636698982,0.1225674870001967,3149894144,3279945728,True
06_electricity_40000_SPECIFIC,electricity,40000,SPECIFIC,1024,264.2513543279929,167.6339161068754,0.16340832299465546,3257760256,3443523584,True
07_traffic_40000_SHARED_WIDE,traffic,40000,SHARED_WIDE,1024,217.56246318398917,129.08395598291827,0.12596705650503282,3178013696,3330277376,False
08_traffic_40000_LORA_HEAD,traffic,40000,LORA_HEAD,1024,208.68477962599718,120.73499658270157,0.11785383700043894,3048825856,3191865344,False
09_electricity_40001_LORA_HEAD,electricity,40001,LORA_HEAD,1024,210.7951209669991,119.92329390977102,0.11694991600234061,3048825856,3191865344,True
10_electricity_40000_SHARED_WIDE,electricity,40000,SHARED_WIDE,1024,219.99734902600176,129.13639502703154,0.12607806149753742,3178013696,3330277376,False
11_traffic_40000_GROUP4,traffic,40000,GROUP4,1024,237.2207933949976,147.672197723703,0.1443583430009312,3163020288,3305111552,True
12_electricity_40000_LORA_HEAD,electricity,40000,LORA_HEAD,1024,211.2207968859875,120.32056553788425,0.1173934764956357,3048825856,3191865344,True
13_electricity_40000_BASIS4,electricity,40000,BASIS4,1024,223.28594183600217,132.1442604003969,0.12905405800120207,3305630208,3416260608,False
14_electricity_40001_BASIS4,electricity,40001,BASIS4,1024,223.1903491569974,131.75557358578953,0.1286119005017099,3305630208,3416260608,True
15_traffic_40001_BASIS4,traffic,40001,BASIS4,1024,220.80446931401093,132.05563824772253,0.1289443459972972,3305630208,3416260608,True
16_traffic_40001_GROUP4,traffic,40001,GROUP4,1024,237.31966594899131,147.49827658305003,0.14406250700267265,3163020288,3305111552,True
17_electricity_40000_GROUP4,electricity,40000,GROUP4,1024,241.11230547100422,148.06159073393792,0.1446189245034475,3163020288,3305111552,False
18_traffic_40000_SPECIFIC,traffic,40000,SPECIFIC,1024,252.92529859900242,162.95001971817692,0.15906707249814644,3257760256,3443523584,False
19_traffic_40001_LORA_HEAD,traffic,40001,LORA_HEAD,1024,209.8532511759986,121.40642399787612,0.11858236699481495,3048825856,3191865344,True
20_electricity_40001_GROUP4,electricity,40001,GROUP4,1024,241.09167085800436,146.9225411311054,0.14333040999918012,3163020288,3305111552,True
21_electricity_40001_SHARED_WIDE,electricity,40001,SHARED_WIDE,1024,221.0477351150039,128.8829087557824,0.12574850550299743,3178013696,3330277376,True
22_electricity_40000_SHARED,electricity,40000,SHARED,1024,220.92672143799427,127.8858396813448,0.12476275849621743,3149894144,3279945728,False
23_traffic_40000_BASIS4,traffic,40000,BASIS4,1024,222.59427357699315,132.20094341824006,0.1289199059974635,3305630208,3416260608,False
