step,ZS_stock,NZ_stock,gap_pct,delta_vs_prev,note
L0,16.3807,9.2086,43.7842,,v1 그대로 (ZS-best=ZS-Q90)
L1,263296.5128,265979.1933,-1.0189,-44.8030,"+ 단위가중 (U,I)"
L2,263319.5426,265980.0927,-1.0104,+0.0085,+ sigma_clip (음수분위수 제거)
L3,263357.3628,265840.1110,-0.9427,+0.0677,+ QMEAN21
L4,263695.5243,265840.1110,-0.8133,+0.1294,+ ZS->ZS_alpha_class
L5,220758.6905,223357.6119,-1.1773,-0.3640,"ERP 로 교체 (L=7,R=1, alpha 없음)"
L6,216737.4365,217908.7639,-0.5404,+0.6368,EVAL 8창 평균
