window,I@90_TSB,I@90_ZS-Q,delta_pct
d_1718-d_1745,220693.1713,202051.2041,-8.4470
d_1746-d_1773,209950.3038,204430.0147,-2.6293
d_1774-d_1801,234522.6512,231159.6567,-1.4340
d_1802-d_1829,245842.9202,215477.9893,-12.3514
d_1830-d_1857,229535.2705,226734.0098,-1.2204
d_1858-d_1885,224522.3205,222259.3398,-1.0079
d_1886-d_1913,217079.6505,211028.5874,-2.7875
d_1914-d_1941,223035.6850,220758.6905,-1.0209
MEAN,,,-3.8623
t_low_95,,,-7.3931
n_pos,,,0
T_stock,,,3.0000
PASS,,,False
