window,I@90_ZS-Q,I@90_REF-LGB-U,delta_pct
d_1718-d_1745,202051.2041,207299.5180,-2.5975
d_1746-d_1773,204430.0147,208652.4281,-2.0655
d_1774-d_1801,231159.6567,237337.3047,-2.6725
d_1802-d_1829,215477.9893,236728.8596,-9.8622
d_1830-d_1857,226734.0098,229499.0367,-1.2195
d_1858-d_1885,222259.3398,224978.2885,-1.2233
d_1886-d_1913,211028.5874,217383.1407,-3.0112
d_1914-d_1941,220758.6905,226049.5008,-2.3966
MEAN,,,-3.1310
t_low_95,,,-5.4699
n_pos,,,0
T_stock,,,3.0000
PASS,,,False
