panel,arm,seed,stage,step,pulse_nmae,paired_shift_nmae,pair_nmae,oracle_pair_floor_nmae,avoidable_excess_nmae,floor_fraction_pct,oracle_joint_improvement_upper_bound_pct,prediction_inside_target_interval_fraction,same_prediction_bitwise,max_identity_error
electricity,ANCHOR,81551,fixed1024,1024,2.9935713055057027,0.21141691447561933,1.602494109990661,1.5064564022245115,0.09603770776614967,94.00698528828232,5.993014711717683,0.607666015625,True,5.684341886080802e-14
electricity,ANCHOR,81551,selected,1024,2.9935713055057027,0.21141691447561933,1.602494109990661,1.5064564022245115,0.09603770776614967,94.00698528828232,5.993014711717683,0.607666015625,True,5.684341886080802e-14
electricity,ANCHOR,81552,fixed1024,1024,2.9513016346422485,0.21439431680233073,1.5828479757222897,1.5064564022245115,0.0763915734977782,95.17378960775315,4.8262103922468595,0.635986328125,True,5.684341886080802e-14
electricity,ANCHOR,81552,selected,0,2.9513351355726445,0.21438705495349572,1.5828610952630702,1.5064564022245115,0.07640469303855878,95.17300076000288,4.826999239997138,0.63592529296875,True,5.684341886080802e-14
electricity,B0,81551,fixed1024,768,2.993564815341061,0.21142078463748248,1.6024927999892717,1.5064564022245115,0.09603639776476035,94.0070621368531,5.992937863146922,0.607666015625,True,5.684341886080802e-14
electricity,B0,81551,selected,768,2.993564815341061,0.21142078463748248,1.6024927999892717,1.5064564022245115,0.09603639776476035,94.0070621368531,5.992937863146922,0.607666015625,True,5.684341886080802e-14
electricity,B0,81552,fixed1024,512,2.9513351355726445,0.21438705495349572,1.5828610952630702,1.5064564022245115,0.07640469303855878,95.17300076000288,4.826999239997138,0.63592529296875,True,5.684341886080802e-14
electricity,B0,81552,selected,512,2.9513351355726445,0.21438705495349572,1.5828610952630702,1.5064564022245115,0.07640469303855878,95.17300076000288,4.826999239997138,0.63592529296875,True,5.684341886080802e-14
electricity,C3,81551,fixed1024,1024,2.9864796282574626,0.20549214519604123,1.5959858867267518,1.5064564022245115,0.08952948450224049,94.39033357081506,5.609666429184959,0.59869384765625,True,5.684341886080802e-14
electricity,C3,81551,selected,768,2.998005954676623,0.204783318382283,1.6013946365294534,1.5064564022245115,0.09493823430494185,94.07152789579138,5.928472104208631,0.570068359375,True,5.684341886080802e-14
electricity,C3,81552,fixed1024,1024,2.9794661049227735,0.20594848758418766,1.5927072962534807,1.5064564022245115,0.08625089402896924,94.58463622086389,5.415363779136122,0.6007080078125,True,5.684341886080802e-14
electricity,C3,81552,selected,768,2.9906015840521265,0.20495632134116137,1.5977789526966437,1.5064564022245115,0.09132255047213242,94.28440646824124,5.715593531758772,0.56494140625,True,5.684341886080802e-14
electricity,IDEAL,81551,fixed1024,1024,3.025132644512433,0.20233094539212623,1.6137317949522796,1.5064564022245115,0.10727539272776829,93.35234063905023,6.64765936094979,0.455291748046875,True,5.684341886080802e-14
electricity,IDEAL,81551,selected,512,3.030673492132893,0.2037390705288425,1.6172062813308679,1.5064564022245115,0.11074987910635652,93.15177782915761,6.848222170842407,0.43939208984375,True,5.684341886080802e-14
electricity,IDEAL,81552,fixed1024,1024,3.0365136672934776,0.20451271013647812,1.6205131887149777,1.5064564022245115,0.11405678649046636,92.96168724298319,7.038312757016821,0.43145751953125,True,1.1368683772161603e-13
electricity,IDEAL,81552,selected,512,3.0319981672693315,0.20400594168119698,1.6180020544752645,1.5064564022245115,0.11154565225075308,93.10596349725104,6.894036502748974,0.443450927734375,True,5.684341886080802e-14
electricity,MAG_ONLY,81551,fixed1024,1024,2.9855637756850477,0.20558481886616045,1.5955742972756042,1.5064564022245115,0.08911789505109288,94.41468221171156,5.585317788288458,0.603851318359375,True,5.684341886080802e-14
electricity,MAG_ONLY,81551,selected,768,2.9983701589588705,0.204623093178736,1.6014966260688035,1.5064564022245115,0.09504022384429207,94.06553705469943,5.934462945300576,0.570404052734375,True,5.684341886080802e-14
electricity,MAG_ONLY,81552,fixed1024,1024,2.980330714815212,0.20588890323084488,1.5931098090230287,1.5064564022245115,0.08665340679851707,94.56073860648331,5.4392613935166905,0.601409912109375,True,5.684341886080802e-14
electricity,MAG_ONLY,81552,selected,768,2.9921740200159164,0.20470281626954887,1.5984384181427327,1.5064564022245115,0.0919820159182214,94.24550768586397,5.75449231413605,0.5638427734375,True,5.684341886080802e-14
electricity,PLAIN,81551,fixed1024,1024,2.965597166711496,0.2088059125347873,1.5872015396231416,1.5064564022245115,0.08074513739863025,94.9127356934267,5.087264306573319,0.63482666015625,True,5.684341886080802e-14
electricity,PLAIN,81551,selected,512,2.9881707809660645,0.20505801983541475,1.5966144004007394,1.5064564022245115,0.09015799817622805,94.35317643674023,5.646823563259795,0.56402587890625,True,5.684341886080802e-14
