panel,stage,arm,pulse_nmae,paired_shift_nmae,pair_nmae,oracle_pair_floor_nmae,avoidable_excess_nmae,prediction_inside_target_interval_fraction,floor_fraction_pct,oracle_joint_improvement_upper_bound_pct
electricity,fixed1024,ANCHOR,2.9724364700739754,0.21290561563897503,1.5926710428564754,1.5064564022245115,0.08621464063196393,0.621826171875,94.58678921685318,5.413210783146838
electricity,fixed1024,B0,2.9724499754568527,0.21290391979548912,1.5926769476261708,1.5064564022245115,0.08622054540165956,0.621795654296875,94.58643854108846,5.413561458911568
electricity,fixed1024,C3,2.982972866590118,0.20572031639011445,1.5943465914901163,1.5064564022245115,0.08789018926560486,0.599700927734375,94.48738500557396,5.5126149944260545
electricity,fixed1024,IDEAL,3.0308231559029553,0.20342182776430218,1.6171224918336287,1.5064564022245115,0.11066608960911732,0.4433746337890625,93.15660439033071,6.8433956096693
electricity,fixed1024,MAG_ONLY,2.9829472452501298,0.20573686104850267,1.5943420531493164,1.5064564022245115,0.08788565092480498,0.602630615234375,94.48765396665016,5.512346033349855
electricity,fixed1024,PLAIN,2.963317921346202,0.20948298854041514,1.5864004549433086,1.5064564022245115,0.07994405271879731,0.6405181884765625,94.96066378008862,5.039336219911396
electricity,fixed1024,SHUFFLE,2.9735974002637535,0.21256571306739097,1.593081556665572,1.5064564022245115,0.08662515444106078,0.6193695068359375,94.5624155851523,5.4375844148477315
electricity,fixed1024,TRP,2.9724539303282285,0.21290529039178696,1.5926796103600078,1.5064564022245115,0.08622320813549642,0.6218109130859375,94.58628040601296,5.413719593987055
electricity,selected,ANCHOR,2.9724532205391734,0.2129019847145575,1.5926776026268656,1.5064564022245115,0.08622120040235423,0.621795654296875,94.58639964170112,5.413600358298893
electricity,selected,B0,2.9724499754568527,0.21290391979548912,1.5926769476261708,1.5064564022245115,0.08622054540165956,0.621795654296875,94.58643854108846,5.413561458911568
electricity,selected,C3,2.994303769364375,0.2048698198617222,1.5995867946130486,1.5064564022245115,0.09313039238853713,0.5675048828125,94.17784688507223,5.822153114927785
