fit,dataset,seed,arm,epoch,updates,origins,train_standardized_mse,lr,active_seconds
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,1,64,512,0.804846522398293,0.001,3.4639869530219585
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,2,64,512,0.4092189851216972,0.001,3.4062452770449454
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,3,64,512,0.3847002452239394,0.001,3.3712536439416
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,4,64,512,0.366873977240175,0.001,3.3923483940016013
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,5,64,512,0.36002738727256656,0.001,3.4173380219726823
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,6,64,512,0.3390339445322752,0.0005,3.4179897091089515
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,7,64,512,0.33226513816043735,0.0005,3.413081072983914
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,8,64,512,0.3280691758263856,0.0005,3.356283327957499
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,1,63,504,0.9174494435862889,0.001,4.390582840977004
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,2,63,504,0.5142779757106115,0.001,4.356434052984696
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,3,63,504,0.48722247613800895,0.001,4.365232382013346
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,4,63,504,0.4748809067975907,0.001,4.450869196007261
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,5,63,504,0.4542599476519085,0.001,4.402027235002606
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,1,63,504,0.9022087795393807,0.001,4.4011515459860675
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,2,63,504,0.43273943804559256,0.001,4.393332675055717
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,3,63,504,0.3992279999785953,0.001,4.378590555963456
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,4,63,504,0.3771356613863082,0.001,4.363141701047425
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,5,63,504,0.36652888475902495,0.001,4.325688088036259
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,1,63,504,1.0094188886975486,0.001,3.354136239984655
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,2,63,504,0.4680641113765656,0.001,3.313938214982045
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,3,63,504,0.4293343822161357,0.001,3.393023273019935
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,4,63,504,0.40929074419869316,0.001,3.3799064040067606
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,5,63,504,0.3996307849884033,0.001,3.3899041460681474
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,1,64,512,0.8286025612615049,0.001,3.4169809040613472
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,2,64,512,0.4219341673888266,0.001,3.382988077995833
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,3,64,512,0.38763816747814417,0.001,3.4233291360287694
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,4,64,512,0.3781295861117542,0.001,3.375758646026952
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,5,64,512,0.3615777352824807,0.001,3.424379514923203
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,6,64,512,0.3376878290437162,0.0005,3.4331074570509372
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,7,64,512,0.32925783679820597,0.0005,3.414768341972376
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,8,64,512,0.32826430536806583,0.0005,3.419738988930476
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,9,64,512,0.32714554434642196,0.0005,3.4239947680034675
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,10,64,512,0.3202035464346409,0.0005,3.461067115960759
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,11,64,512,0.31138422596268356,0.00025,3.4288248099037446
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,12,64,512,0.30612067971378565,0.00025,3.441983190990868
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,13,64,512,0.3034558044746518,0.00025,3.4038236549531575
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,14,64,512,0.3052787824999541,0.00025,3.4454688359837746
