dataset,seed,arm,role,channel,valid_count,standardized_mse,standardized_mae,raw_mae
electricity,41000,SHARED_BUDGET,selected,column_012,5184,0.271155068511151,0.38040722265703397,29.041290665605608
electricity,41000,SHARED_BUDGET,selected,column_013,5184,0.3543654617522979,0.4682993834689406,21.613769709883318
electricity,41000,SHARED_BUDGET,selected,column_014,5184,0.3408712552663646,0.47469743703381767,25.52935114074111
electricity,41000,SHARED_BUDGET,selected,column_015,5184,0.4784019723282806,0.5676354732276655,196.56723018343033
electricity,41000,SHARED_BUDGET,selected,column_016,5184,0.3959626121819851,0.49751594021932916,4.966063058257455
electricity,41000,SHARED_BUDGET,selected,column_017,5184,0.5364195795315214,0.5802716163231741,25.483795359059243
electricity,41000,SHARED_BUDGET,selected,column_018,5184,0.24923352510899158,0.4034319360745412,82.22917899956413
electricity,41000,SHARED_BUDGET,selected,column_019,5184,1.0095570515671302,0.7570593903886523,35.21879807259209
electricity,41000,SHARED_BUDGET,selected,column_020,5184,0.9497290561443619,0.7981182311874969,11.70034073525893
electricity,41000,SHARED_BUDGET,selected,column_021,5184,0.382758205946169,0.4974645821366047,148.6708219717972
electricity,41000,SHARED_BUDGET,selected,column_022,5184,0.31225634669597047,0.42044697929803215,14.616923090479462
electricity,41000,SHARED_BUDGET,selected,column_023,5184,0.34755218038147306,0.46384878931272444,13.936949264902697
electricity,41000,SHARED_BUDGET,selected,column_024,5184,0.35772807907242166,0.471520485598982,40.967306197288885
electricity,41000,SHARED_BUDGET,selected,column_025,5184,0.989732268739605,0.7700704766607543,94.07031219096574
electricity,41000,SHARED_BUDGET,selected,column_026,5184,0.3223656697729153,0.45131670380479916,47.39059626489189
electricity,41000,SHARED_BUDGET,selected,column_027,5184,0.5170174330828582,0.5582245442584045,9.485606821075615
electricity,41000,SHARED_BUDGET,selected,column_028,5184,0.5122594529341631,0.5750524910766183,73.69390151002904
electricity,41000,SHARED_BUDGET,selected,column_029,5184,1.0039312942832006,0.7535526889441376,75.69833386882883
electricity,41000,SHARED_BUDGET,selected,column_030,5184,0.5189800284705345,0.5351919644423712,79.76761942103266
electricity,41000,SHARED_BUDGET,selected,column_031,5184,0.47562095270783844,0.5522339152114315,64.44633758765221
electricity,41001,SHARED_BUDGET,INIT,column_000,5184,0.42412386022019355,0.362330539628287,8.931187666004435
electricity,41001,SHARED_BUDGET,INIT,column_001,5184,0.5700748778091818,0.5929526257512205,15.577868967111229
electricity,41001,SHARED_BUDGET,INIT,column_002,5184,0.0007931434070038735,0.01705857917499717,0.9956914097173872
electricity,41001,SHARED_BUDGET,INIT,column_003,5184,0.786852675358847,0.6837281748995326,104.81884228183459
electricity,41001,SHARED_BUDGET,INIT,column_004,5184,0.7072291944740855,0.6511669187024336,45.36638975175408
electricity,41001,SHARED_BUDGET,INIT,column_005,5184,0.6644878859616913,0.6317655311593873,161.06759864017204
electricity,41001,SHARED_BUDGET,INIT,column_006,5184,0.8864123044655702,0.5159335372389947,14.71120766546651
electricity,41001,SHARED_BUDGET,INIT,column_007,5184,0.8639291882770308,0.7304255369458419,173.20494142770048
electricity,41001,SHARED_BUDGET,INIT,column_008,5184,0.5612115994556583,0.5794175953860646,51.998903796418745
electricity,41001,SHARED_BUDGET,INIT,column_009,5184,1.2157179619477578,0.853908830700181,89.55333929259741
electricity,41001,SHARED_BUDGET,INIT,column_010,5184,0.6022163147792423,0.5945676201289767,30.28003927654019
electricity,41001,SHARED_BUDGET,INIT,column_011,5184,2.496475919565308,1.3063318105281116,192.95431066179452
electricity,41001,SHARED_BUDGET,INIT,column_012,5184,0.513380337546085,0.5438447729785917,41.51854430819003
electricity,41001,SHARED_BUDGET,INIT,column_013,5184,0.7847979292552496,0.6942442429460389,32.04197083988511
electricity,41001,SHARED_BUDGET,INIT,column_014,5184,0.7654962184853024,0.6968515271765222,37.47685566076429
electricity,41001,SHARED_BUDGET,INIT,column_015,5184,0.8762447878525544,0.7493871014153733,259.506239141134
electricity,41001,SHARED_BUDGET,INIT,column_016,5184,0.7891692220789964,0.6913027026135684,6.900387577550431
