fit,dataset,seed,arm,epoch,updates,mse,mae
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,1,64,0.7966893708475594,0.6500469707128509
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,2,128,0.8482172951255952,0.6641585817660518
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,3,192,1.0086120553557845,0.7405921268130657
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,4,256,0.9408919057685374,0.7163938542507903
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,5,320,1.0083374555207048,0.7211871835153467
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,6,384,0.9521974272779423,0.7063293414212348
23_traffic_41000_LH,traffic,41000,LH,0,0,0.9800923596408937,0.7028393650113227
23_traffic_41000_LH,traffic,41000,LH,1,63,0.9467436671226543,0.7077981087809241
23_traffic_41000_LH,traffic,41000,LH,2,126,0.9795191711027821,0.7219616867382288
23_traffic_41000_LH,traffic,41000,LH,3,189,1.0193451409429701,0.7410619196302859
23_traffic_41000_LH,traffic,41000,LH,4,252,1.0236810737321562,0.7387169866934715
23_traffic_41000_LH,traffic,41000,LH,5,315,1.0026258026211172,0.7281262114540362
23_traffic_41000_LH,traffic,41000,LH,6,378,1.0034856363913922,0.7272575500556058
