fit,dataset,seed,arm,epoch,updates,mse,mae
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,0,0,1.144291377370569,0.8197911052183916
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,1,64,0.5573307865609698,0.5295570596584116
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,2,128,0.5409745472372132,0.5317060641088867
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,3,192,0.5151110154998428,0.5124593046970745
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,4,256,0.5936552174658356,0.5449332802634266
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,5,320,0.525104066825634,0.5258170641929731
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,6,384,0.5621630429943367,0.5265093977157382
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,7,448,0.5575111578605223,0.5316289092449079
00_electricity_41000_SHARED_BUDGET,electricity,41000,SHARED_BUDGET,8,512,0.5857678547468476,0.5405115054672652
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,0,0,1.2253477830973947,0.8263564044318136
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,1,63,2.5522481875527294,1.2722865688131908
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,2,126,3.0360124801191244,1.3859736819378607
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,3,189,3.086576499958313,1.3835217065753327
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,4,252,2.8063180671841095,1.311451937962815
01_traffic_41001_INDIV_BUDGET,traffic,41001,INDIV_BUDGET,5,315,3.467219142180765,1.4632277929480884
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,0,0,1.327346319197119,0.8595287145451962
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,1,63,2.1961959936342907,1.1312293337642636
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,2,126,2.1588896458878852,1.129707446565965
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,3,189,2.1607653964125366,1.12697908096287
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,4,252,1.969177524304919,1.076113610169407
02_traffic_41001_INDIV_REF,traffic,41001,INDIV_REF,5,315,1.9971205357080024,1.0900435006674005
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,0,0,1.1997851475162622,0.798947350684926
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,1,63,1.541176965698193,0.9660952845433453
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,2,126,1.6028748240585053,0.9690015571612712
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,3,189,1.515536919137229,0.9537468650374523
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,4,252,1.3801475697317833,0.899005499751607
03_traffic_41001_SHARED_BUDGET,traffic,41001,SHARED_BUDGET,5,315,1.4770199050593025,0.9471355531550243
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,0,0,1.089282505517677,0.793108700607591
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,1,64,0.6074917289148926,0.5631278601391059
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,2,128,0.6594527373307917,0.586886611479196
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,3,192,0.6152565241892056,0.5596199558873391
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,4,256,0.5917890025468402,0.5430677545195222
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,5,320,0.5771251336849034,0.5394678097787817
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,6,384,0.6162035260176855,0.5504576621028472
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,7,448,0.6004571652427402,0.5469193686728662
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,8,512,0.6165501574283954,0.5530106781508624
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,9,576,0.5846663307371496,0.5423595164901451
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,10,640,0.5527372950942052,0.5226672752243142
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,11,704,0.5613944443890461,0.5343957357470325
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,12,768,0.5641144416405033,0.5335792156914602
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,13,832,0.6125632904341777,0.5506098180811905
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,14,896,0.5828799933780751,0.5464859885349147
04_electricity_41001_SHARED_BUDGET,electricity,41001,SHARED_BUDGET,15,960,0.61562092963504,0.5561651993546216
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,0,0,1.1806512510680383,0.8281134785238008
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,1,64,0.822451610350121,0.6552773279460007
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,2,128,0.8905564258644081,0.6852464429637408
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,3,192,1.0086715035155804,0.72387958211166
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,4,256,0.919827063947948,0.7048718945553305
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,5,320,1.0413137479207646,0.7449806814732776
05_electricity_41001_INDIV_BUDGET,electricity,41001,INDIV_BUDGET,6,384,0.9976319601420134,0.7286140583522933
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,0,0,1.337264946696563,0.836224138477825
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,1,63,2.0161313926891316,1.0818570522027389
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,2,126,1.9932839072713762,1.0892753460373115
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,3,189,2.003767242039471,1.1149375313763907
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,4,252,1.8868468164654,1.0723551262059594
06_traffic_41000_FACTOR_BUDGET,traffic,41000,FACTOR_BUDGET,5,315,1.9733048953045476,1.0842561037366152
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,0,0,1.1951761408584283,0.8140934978375872
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,1,63,1.8461705859383892,1.0382526373699839
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,2,126,2.2552737485802137,1.176712692232626
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,3,189,2.503660616869159,1.2424025557217204
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,4,252,2.64856103726855,1.2875863985635319
07_traffic_41000_INDIV_BUDGET,traffic,41000,INDIV_BUDGET,5,315,3.1102155139550707,1.3977027579696117
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,0,0,1.1161251106020385,0.8005472334457191
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,1,64,0.7358666111541555,0.6039877049093778
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,2,128,0.7610147772433593,0.6282171381840995
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,3,192,0.7820211956118497,0.6433605412752752
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,4,256,0.7609030276706373,0.6286783566664816
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,5,320,0.7613160420270337,0.6287904686187471
08_electricity_41000_FACTOR_BUDGET,electricity,41000,FACTOR_BUDGET,6,384,0.8073331202400461,0.6415470077705497
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,0,0,1.2637860537358985,0.8167939243292485
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,1,63,2.024060792946295,1.1195790431056136
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,2,126,2.1312769592509477,1.1570802884222102
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,3,189,2.1126606686288962,1.157556563468273
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,4,252,1.8285934772494319,1.0655673124533345
09_traffic_41001_FACTOR_BUDGET,traffic,41001,FACTOR_BUDGET,5,315,1.8532861259103683,1.0727061189368126
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,0,0,1.049336911907504,0.7801008603557658
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,1,64,0.8875718171576724,0.6893704784910359
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,2,128,0.8888305889370238,0.6829013756838476
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,3,192,1.0036329460450926,0.7332459486433583
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,4,256,0.9576983555079903,0.7085995558801312
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,5,320,0.9117783475130061,0.695240442114109
10_electricity_41001_INDIV_REF,electricity,41001,INDIV_REF,6,384,0.9572490121606219,0.7017526028083532
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,0,0,1.2424333607822549,0.8165364104172678
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,1,63,1.6348179168309669,0.952457111637514
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,2,126,1.7601380415158636,1.0005785751853007
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,3,189,1.7296322769099368,0.9984216061563891
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,4,252,1.7849612225041502,1.0271732844587727
11_traffic_41000_BASIS_BUDGET,traffic,41000,BASIS_BUDGET,5,315,1.9188353134732234,1.068979696762114
12_electricity_41000_LH,electricity,41000,LH,0,0,0.848024961321334,0.7044639315070468
12_electricity_41000_LH,electricity,41000,LH,1,64,0.4711742656500038,0.48243119857005823
12_electricity_41000_LH,electricity,41000,LH,2,128,0.5475486437359223,0.5155957322973925
12_electricity_41000_LH,electricity,41000,LH,3,192,0.5536341980908084,0.5220841624798902
12_electricity_41000_LH,electricity,41000,LH,4,256,0.5563456787594034,0.5224504819384737
12_electricity_41000_LH,electricity,41000,LH,5,320,0.5374427920297924,0.5244718395932249
12_electricity_41000_LH,electricity,41000,LH,6,384,0.5390117202135751,0.5153477554445539
13_electricity_41001_LH,electricity,41001,LH,0,0,0.8383321692591228,0.7009848382629043
13_electricity_41001_LH,electricity,41001,LH,1,64,0.5137907535877417,0.4992264131837544
13_electricity_41001_LH,electricity,41001,LH,2,128,0.5223886314058946,0.5034197743034696
13_electricity_41001_LH,electricity,41001,LH,3,192,0.4779625692796134,0.4870666706339276
13_electricity_41001_LH,electricity,41001,LH,4,256,0.5222263386168459,0.5067010177809337
13_electricity_41001_LH,electricity,41001,LH,5,320,0.5331999758983428,0.5095034817856199
13_electricity_41001_LH,electricity,41001,LH,6,384,0.5224005539975971,0.5066984481424552
13_electricity_41001_LH,electricity,41001,LH,7,448,0.5485827512607103,0.5220795279741999
13_electricity_41001_LH,electricity,41001,LH,8,512,0.5474804331923842,0.5208293982972605
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,0,0,1.2057246277973026,0.8079877821408319
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,1,63,1.4978028032647992,0.9387192639311692
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,2,126,1.8233176626945922,1.036345333331491
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,3,189,1.8495115458587084,1.0513837738422893
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,4,252,1.6995719924006454,1.0070933871192536
14_traffic_41001_BASIS_BUDGET,traffic,41001,BASIS_BUDGET,5,315,1.6570531786940954,0.9921688779072037
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,0,0,1.0644125477843533,0.7809673438125369
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,1,64,0.6341577249167789,0.5739383389915778
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,2,128,0.6528466758838789,0.5752819381188088
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,3,192,0.7249594880791859,0.6040020950890201
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,4,256,0.6990046317598142,0.5872809450774017
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,5,320,0.6958268314963216,0.589107655199046
15_electricity_41001_BASIS_BUDGET,electricity,41001,BASIS_BUDGET,6,384,0.6845822044008182,0.5774901926640643
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,0,0,1.0790827296825745,0.7846422078568821
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,1,64,0.7424180285319679,0.6106920082758122
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,2,128,0.7968003899359024,0.6468336027405683
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,3,192,0.8628084753140957,0.6619851870059721
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,4,256,0.8039332791171001,0.643572415926105
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,5,320,0.7965206890553063,0.6469541905300757
16_electricity_41001_FACTOR_BUDGET,electricity,41001,FACTOR_BUDGET,6,384,0.8798385472818212,0.6677403154338002
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,0,0,1.4179431455647005,0.8794606673497651
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,1,63,1.4860978249866603,0.9181930148987989
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,2,126,1.6111849441436052,0.966487882848281
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,3,189,1.577184503306474,0.9550340583870581
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,4,252,1.57505015548397,0.9639915004140418
17_traffic_41000_SHARED_BUDGET,traffic,41000,SHARED_BUDGET,5,315,1.6645413091100372,0.999252559776783
18_traffic_41001_LH,traffic,41001,LH,0,0,1.0306974713457309,0.7308741210698226
18_traffic_41001_LH,traffic,41001,LH,1,63,0.9804992151280939,0.7269275802963451
18_traffic_41001_LH,traffic,41001,LH,2,126,0.9915043218759826,0.7265724719144135
18_traffic_41001_LH,traffic,41001,LH,3,189,1.0047099098123242,0.7347778812991
18_traffic_41001_LH,traffic,41001,LH,4,252,1.0202636392022866,0.7418960153494543
18_traffic_41001_LH,traffic,41001,LH,5,315,0.9981938547200202,0.7257718589988363
18_traffic_41001_LH,traffic,41001,LH,6,378,0.9979909863376728,0.7252318560245536
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,0,0,1.1618410233181384,0.8088083807501627
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,1,64,0.5610467400398687,0.5401437664544124
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,2,128,0.5455302135999673,0.5299713635300303
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,3,192,0.5486037577007384,0.5246514671232676
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,4,256,0.5907881693703503,0.5387433999564538
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,5,320,0.6111458815856371,0.5532128746813081
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,6,384,0.6535650183319484,0.5670914199328502
19_electricity_41000_BASIS_BUDGET,electricity,41000,BASIS_BUDGET,7,448,0.6034187535092852,0.5484928433823232
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,0,0,1.1991558320264502,0.7927754339952042
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,1,63,2.2508334175862164,1.1401071549364685
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,2,126,2.1537149220211087,1.123678557697295
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,3,189,1.9693518941542432,1.07145372586709
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,4,252,1.9545649806313348,1.0825173522454774
20_traffic_41000_INDIV_REF,traffic,41000,INDIV_REF,5,315,2.059663830201351,1.110325979954101
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,0,0,1.0550018613485572,0.77134020168888
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,1,64,0.8677293182221879,0.674923616644505
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,2,128,0.917844516141917,0.6944410901421262
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,3,192,0.87525039606031,0.6758367001768142
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,4,256,0.8243845689548075,0.6534130026420264
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,5,320,0.8523429294756648,0.674893548217224
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,6,384,0.8303262788403556,0.6563194927818854
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,7,448,0.847289271655087,0.6622704306188305
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,8,512,0.8803868542358253,0.6723450077465121
21_electricity_41000_INDIV_REF,electricity,41000,INDIV_REF,9,576,0.8717090914156858,0.6777531260473948
22_electricity_41000_INDIV_BUDGET,electricity,41000,INDIV_BUDGET,0,0,1.0912484081184641,0.7992762736058567
