dataset,seed,role,epoch,updates,baseline,mse,baseline_mse,gain_percent,mae,baseline_mae,raw_mae,baseline_raw_mae,peak_mib,baseline_peak_mib,fit_active_seconds
electricity,41000,selected,16,1024,LH,0.2782832353239307,0.465861103308871,40.264762748516944,0.3536111853314478,0.48103583429264624,35.85855305994083,50.229639000429,1069.60009765625,1068.10009765625,61.89577064884361
electricity,41000,selected,16,1024,SEASONAL_NAIVE,0.2782832353239307,0.5256090952856125,47.055095161031524,0.3536111853314478,0.4456026747733812,35.85855305994083,46.8871407117185,1069.60009765625,0,61.89577064884361
electricity,41000,matched_old_epoch,1,64,LH,0.3217427022293644,0.465861103308871,30.93591631837838,0.38189383389567777,0.48103583429264624,39.30932375012256,50.229639000429,1069.60009765625,1068.10009765625,61.89577064884361
electricity,41000,matched_old_epoch,1,64,SEASONAL_NAIVE,0.3217427022293644,0.5256090952856125,38.786694310430164,0.38189383389567777,0.4456026747733812,39.30932375012256,46.8871407117185,1069.60009765625,0,61.89577064884361
electricity,41001,selected,8,512,LH,0.28173688138016956,0.4728988286472915,40.423434292263565,0.3580261500237164,0.495081530629835,36.42566299950786,51.55786004965365,1069.10009765625,1072.60009765625,40.371176269691205
electricity,41001,selected,8,512,SEASONAL_NAIVE,0.28173688138016956,0.5256090952856125,46.39802014326339,0.3580261500237164,0.4456026747733812,36.42566299950786,46.8871407117185,1069.10009765625,0,40.371176269691205
electricity,41001,matched_old_epoch,3,192,LH,0.3029703911916921,0.4728988286472915,35.93335977204109,0.3759399778141429,0.495081530629835,38.41199744622621,51.55786004965365,1069.10009765625,1072.60009765625,40.371176269691205
electricity,41001,matched_old_epoch,3,192,SEASONAL_NAIVE,0.3029703911916921,0.5256090952856125,42.35822897488865,0.3759399778141429,0.4456026747733812,38.41199744622621,46.8871407117185,1069.10009765625,0,40.371176269691205
traffic,41000,selected,17,1071,LH,0.38590845762630666,1.2202585133997836,68.37486045877931,0.3268420018469298,0.7939525135288578,0.017181649686479575,0.04042788344229952,1067.10009765625,1070.85009765625,61.109586471488
traffic,41000,selected,17,1071,SEASONAL_NAIVE,0.38590845762630666,0.9814488091024985,60.679716145439436,0.3268420018469298,0.4887845378201704,0.017181649686479575,0.02545441171014752,1067.10009765625,0,61.109586471488
traffic,41000,matched_old_epoch,1,63,LH,0.5092211071594134,1.2202585133997836,58.2694075421229,0.41105849199839534,0.7939525135288578,0.021507216579214384,0.04042788344229952,1067.10009765625,1070.85009765625,61.109586471488
traffic,41000,matched_old_epoch,1,63,SEASONAL_NAIVE,0.5092211071594134,0.9814488091024985,48.115367563074564,0.41105849199839534,0.4887845378201704,0.021507216579214384,0.02545441171014752,1067.10009765625,0,61.109586471488
traffic,41001,selected,18,1134,LH,0.38718695174144047,1.2504652887958343,69.03656941055186,0.31966774616876503,0.8061045795327129,0.016784660113393513,0.041060269688288985,1069.85009765625,1070.85009765625,61.04811163668637
traffic,41001,selected,18,1134,SEASONAL_NAIVE,0.38718695174144047,0.9814488091024985,60.549450144474704,0.31966774616876503,0.4887845378201704,0.016784660113393513,0.02545441171014752,1069.85009765625,0,61.04811163668637
traffic,41001,matched_old_epoch,1,63,LH,0.5049074319486706,1.2504652887958343,59.62243522689995,0.41113918607883937,0.8061045795327129,0.02153446432969953,0.041060269688288985,1069.85009765625,1070.85009765625,61.04811163668637
traffic,41001,matched_old_epoch,1,63,SEASONAL_NAIVE,0.5049074319486706,0.9814488091024985,48.554888725129615,0.41113918607883937,0.4887845378201704,0.02153446432969953,0.02545441171014752,1069.85009765625,0,61.04811163668637
