dataset,seed,role,mse,level_mse,daily_mse,remainder_mse,daily_share_percent
electricity,41000,selected,0.2782832353239306,0.07533485385145534,0.06837115625693536,0.13457722521554003,24.568909505938848
electricity,41000,matched_old_epoch,0.32174270222936435,0.0869732674645771,0.08248040177847364,0.15228903298631363,25.635515959480852
electricity,41001,selected,0.28173688138016956,0.07476550081324568,0.06974305268853223,0.13722832787839162,24.754676188249025
electricity,41001,matched_old_epoch,0.30297039119169206,0.08180313714102389,0.07643840486383026,0.14472884918683795,25.229661737957425
traffic,41000,selected,0.3859084576263067,0.03620933389932562,0.13924960434194103,0.21044951938504003,36.08358448489433
traffic,41000,matched_old_epoch,0.5092211071594134,0.044680884465600375,0.20526911916831134,0.25927110352550164,40.310410602059186
traffic,41001,selected,0.3871869517414404,0.03597826209147606,0.14095072356507957,0.21025796608488484,36.40378967605423
traffic,41001,matched_old_epoch,0.5049074319486707,0.040194401037559065,0.20722173887122594,0.25749129203988563,41.04153073593345
